Metric,Value
ROC-AUC,0.6908052884615383
PR-AUC,0.7418371529639792
Balanced Acc.,0.6478365384615384
Sensitivity,0.71875
Specificity,0.5769230769230769
PPV,0.6764705882352942
NPV,0.625
Kappa,0.29782082324455206
