,SVM_Linear,LogisticRegression,GradientBoosting,XGBoost,LightGBM,KNN,SVM_RBF,ExtraTrees,RandomForest,NaiveBayes
SVM_Linear,1.0,0.1714663291410251,0.4014709721820765,0.62432209329055,0.5660496095045737,0.46328884361617595,0.0024635525930262825,0.03040527357752022,0.1272786203881051,0.0022411515825949825
LogisticRegression,0.1714663291410251,1.0,0.6593988657024472,0.9247420473251445,0.8505881358744567,0.8462347163615384,0.052422629825332995,0.07706539388759995,0.21204169764560565,0.009079565102911342
GradientBoosting,0.4014709721820765,0.6593988657024472,1.0,0.7054730222297706,0.81081363297771,0.8200374797895453,0.601686465597673,0.2977674957320833,0.24420022593919766,0.0656762777142455
XGBoost,0.62432209329055,0.9247420473251445,0.7054730222297706,1.0,0.8536173756294029,0.951868019774604,0.4792833742782907,0.20301598288403733,0.18091718209941,0.0632649916467498
LightGBM,0.5660496095045737,0.8505881358744567,0.81081363297771,0.8536173756294029,1.0,0.972948920564211,0.5369937810320196,0.2672919805996963,0.28688875289290994,0.0738758155144909
KNN,0.46328884361617595,0.8462347163615384,0.8200374797895453,0.951868019774604,0.972948920564211,1.0,0.32429511609845896,0.2162352210364198,0.3305318847020725,0.037950349635787466
SVM_RBF,0.0024635525930262825,0.052422629825332995,0.601686465597673,0.4792833742782907,0.5369937810320196,0.32429511609845896,1.0,0.6115917598231333,0.7760122642021726,0.05737417806789254
ExtraTrees,0.03040527357752022,0.07706539388759995,0.2977674957320833,0.20301598288403733,0.2672919805996963,0.2162352210364198,0.6115917598231333,1.0,0.9317162001045016,0.18048651776507474
RandomForest,0.1272786203881051,0.21204169764560565,0.24420022593919766,0.18091718209941,0.28688875289290994,0.3305318847020725,0.7760122642021726,0.9317162001045016,1.0,0.282918152216577
NaiveBayes,0.0022411515825949825,0.009079565102911342,0.0656762777142455,0.0632649916467498,0.0738758155144909,0.037950349635787466,0.05737417806789254,0.18048651776507474,0.282918152216577,1.0
