,SVM_Linear,LogisticRegression,GradientBoosting,XGBoost,LightGBM,KNN,SVM_RBF,ExtraTrees,RandomForest,NaiveBayes
SVM_Linear,0.0,1.367507368838496,0.8389970372432433,0.489734064984285,0.5738791110302857,0.73344207720108,3.027782585669301,2.164770388324115,1.5249217331920502,3.0562622249317304
LogisticRegression,-1.367507368838496,0.0,0.4407432723447371,0.09446215070486029,0.18836806005225684,0.19392486174810702,1.9396467940754925,1.7679731414793756,1.2479709450714016,2.609043683067873
GradientBoosting,-0.8389970372432433,-0.4407432723447371,0.0,-0.37794288669682125,-0.23937652280402666,-0.22749677099910912,0.5219768262786901,1.0412328443726544,1.1645523878174397,1.8406267309550375
XGBoost,-0.489734064984285,-0.09446215070486029,0.37794288669682125,0.0,0.1845049100384864,0.0603611251956006,0.7074556338535328,1.2730058023737414,1.3379363632600252,1.8573245642804814
LightGBM,-0.5738791110302857,-0.18836806005225684,0.23937652280402666,-0.1845049100384864,0.0,-0.03390999794880732,0.6173653354535811,1.10932041642086,1.0649716638019933,1.787381711104241
KNN,-0.73344207720108,-0.19392486174810702,0.22749677099910912,-0.0603611251956006,0.03390999794880732,0.0,0.9856699173841451,1.2366010739086215,0.9730430938519062,2.07539058964424
SVM_RBF,-3.027782585669301,-1.9396467940754925,-0.5219768262786901,-0.7074556338535328,-0.6173653354535811,-0.9856699173841451,0.0,0.5078026376696273,0.2845195368270769,1.9004493332137968
ExtraTrees,-2.164770388324115,-1.7679731414793756,-1.0412328443726544,-1.2730058023737414,-1.10932041642086,-1.2366010739086215,-0.5078026376696273,0.0,-0.08568578800312256,1.3392585494499516
RandomForest,-1.5249217331920502,-1.2479709450714016,-1.1645523878174397,-1.3379363632600252,-1.0649716638019933,-0.9730430938519062,-0.2845195368270769,0.08568578800312256,0.0,1.0737870123840643
NaiveBayes,-3.0562622249317304,-2.609043683067873,-1.8406267309550375,-1.8573245642804814,-1.787381711104241,-2.07539058964424,-1.9004493332137968,-1.3392585494499516,-1.0737870123840643,0.0
