Model_A,Model_B,AUC_A,AUC_B,ΔAUC,Z_stat,p_value,Significant (α=0.05),Significant (α=0.01),p_value_bonferroni,Significant Bonf. (α=0.05)
SVM_Linear,NaiveBayes,0.7196874999999999,0.6021875,0.11749999999999994,3.0562622249317304,0.0022411515825949825,✓,✓,0.10085182121677422,✗
SVM_Linear,SVM_RBF,0.7196874999999999,0.6728124999999999,0.046875,3.027782585669301,0.0024635525930262825,✓,✓,0.11085986668618271,✗
LogisticRegression,NaiveBayes,0.7043750000000001,0.6021875,0.1021875000000001,2.609043683067873,0.009079565102911342,✓,✓,0.4085804296310104,✗
SVM_Linear,ExtraTrees,0.7196874999999999,0.66,0.05968749999999989,2.164770388324115,0.03040527357752022,✓,✗,1.0,✗
KNN,NaiveBayes,0.6987499999999999,0.6021875,0.09656249999999988,2.07539058964424,0.037950349635787466,✓,✗,1.0,✗
LogisticRegression,SVM_RBF,0.7043750000000001,0.6728124999999999,0.03156250000000016,1.9396467940754925,0.052422629825332995,✗,✗,1.0,✗
SVM_RBF,NaiveBayes,0.6728124999999999,0.6021875,0.07062499999999994,1.9004493332137968,0.05737417806789254,✗,✗,1.0,✗
XGBoost,NaiveBayes,0.7009374999999999,0.6021875,0.0987499999999999,1.8573245642804814,0.0632649916467498,✗,✗,1.0,✗
GradientBoosting,NaiveBayes,0.6904687500000001,0.6021875,0.08828125000000009,1.8406267309550375,0.0656762777142455,✗,✗,1.0,✗
LightGBM,NaiveBayes,0.6974999999999999,0.6021875,0.09531249999999991,1.787381711104241,0.0738758155144909,✗,✗,1.0,✗
LogisticRegression,ExtraTrees,0.7043750000000001,0.66,0.04437500000000005,1.7679731414793756,0.07706539388759995,✗,✗,1.0,✗
SVM_Linear,RandomForest,0.7196874999999999,0.6623437499999999,0.05734375000000003,1.5249217331920502,0.1272786203881051,✗,✗,1.0,✗
SVM_Linear,LogisticRegression,0.7196874999999999,0.7043750000000001,0.01531249999999984,1.367507368838496,0.1714663291410251,✗,✗,1.0,✗
ExtraTrees,NaiveBayes,0.66,0.6021875,0.057812500000000044,1.3392585494499516,0.18048651776507474,✗,✗,1.0,✗
XGBoost,RandomForest,0.7009374999999999,0.6623437499999999,0.03859374999999998,1.3379363632600252,0.18091718209941,✗,✗,1.0,✗
XGBoost,ExtraTrees,0.7009374999999999,0.66,0.04093749999999985,1.2730058023737414,0.20301598288403733,✗,✗,1.0,✗
LogisticRegression,RandomForest,0.7043750000000001,0.6623437499999999,0.042031250000000187,1.2479709450714016,0.21204169764560565,✗,✗,1.0,✗
KNN,ExtraTrees,0.6987499999999999,0.66,0.03874999999999984,1.2366010739086215,0.2162352210364198,✗,✗,1.0,✗
GradientBoosting,RandomForest,0.6904687500000001,0.6623437499999999,0.028125000000000178,1.1645523878174397,0.24420022593919766,✗,✗,1.0,✗
LightGBM,ExtraTrees,0.6974999999999999,0.66,0.03749999999999987,1.10932041642086,0.2672919805996963,✗,✗,1.0,✗
RandomForest,NaiveBayes,0.6623437499999999,0.6021875,0.06015624999999991,1.0737870123840643,0.282918152216577,✗,✗,1.0,✗
LightGBM,RandomForest,0.6974999999999999,0.6623437499999999,0.03515625,1.0649716638019933,0.28688875289290994,✗,✗,1.0,✗
GradientBoosting,ExtraTrees,0.6904687500000001,0.66,0.030468750000000044,1.0412328443726544,0.2977674957320833,✗,✗,1.0,✗
KNN,SVM_RBF,0.6987499999999999,0.6728124999999999,0.025937499999999947,0.9856699173841451,0.32429511609845896,✗,✗,1.0,✗
KNN,RandomForest,0.6987499999999999,0.6623437499999999,0.03640624999999997,0.9730430938519062,0.3305318847020725,✗,✗,1.0,✗
SVM_Linear,GradientBoosting,0.7196874999999999,0.6904687500000001,0.02921874999999985,0.8389970372432433,0.4014709721820765,✗,✗,1.0,✗
SVM_Linear,KNN,0.7196874999999999,0.6987499999999999,0.020937500000000053,0.73344207720108,0.46328884361617595,✗,✗,1.0,✗
XGBoost,SVM_RBF,0.7009374999999999,0.6728124999999999,0.028124999999999956,0.7074556338535328,0.4792833742782907,✗,✗,1.0,✗
LightGBM,SVM_RBF,0.6974999999999999,0.6728124999999999,0.024687499999999973,0.6173653354535811,0.5369937810320196,✗,✗,1.0,✗
SVM_Linear,LightGBM,0.7196874999999999,0.6974999999999999,0.022187500000000027,0.5738791110302857,0.5660496095045737,✗,✗,1.0,✗
GradientBoosting,SVM_RBF,0.6904687500000001,0.6728124999999999,0.01765625000000015,0.5219768262786901,0.601686465597673,✗,✗,1.0,✗
SVM_RBF,ExtraTrees,0.6728124999999999,0.66,0.012812499999999893,0.5078026376696273,0.6115917598231333,✗,✗,1.0,✗
SVM_Linear,XGBoost,0.7196874999999999,0.7009374999999999,0.018750000000000044,0.489734064984285,0.62432209329055,✗,✗,1.0,✗
LogisticRegression,GradientBoosting,0.7043750000000001,0.6904687500000001,0.013906250000000009,0.4407432723447371,0.6593988657024472,✗,✗,1.0,✗
GradientBoosting,XGBoost,0.6904687500000001,0.7009374999999999,-0.010468749999999805,-0.37794288669682125,0.7054730222297706,✗,✗,1.0,✗
SVM_RBF,RandomForest,0.6728124999999999,0.6623437499999999,0.010468750000000027,0.2845195368270769,0.7760122642021726,✗,✗,1.0,✗
GradientBoosting,LightGBM,0.6904687500000001,0.6974999999999999,-0.007031249999999822,-0.23937652280402666,0.81081363297771,✗,✗,1.0,✗
GradientBoosting,KNN,0.6904687500000001,0.6987499999999999,-0.008281249999999796,-0.22749677099910912,0.8200374797895453,✗,✗,1.0,✗
LogisticRegression,KNN,0.7043750000000001,0.6987499999999999,0.005625000000000213,0.19392486174810702,0.8462347163615384,✗,✗,1.0,✗
LogisticRegression,LightGBM,0.7043750000000001,0.6974999999999999,0.0068750000000001865,0.18836806005225684,0.8505881358744567,✗,✗,1.0,✗
XGBoost,LightGBM,0.7009374999999999,0.6974999999999999,0.0034374999999999822,0.1845049100384864,0.8536173756294029,✗,✗,1.0,✗
LogisticRegression,XGBoost,0.7043750000000001,0.7009374999999999,0.0034375000000002043,0.09446215070486029,0.9247420473251445,✗,✗,1.0,✗
ExtraTrees,RandomForest,0.66,0.6623437499999999,-0.0023437499999998668,-0.08568578800312256,0.9317162001045016,✗,✗,1.0,✗
XGBoost,KNN,0.7009374999999999,0.6987499999999999,0.002187500000000009,0.0603611251956006,0.951868019774604,✗,✗,1.0,✗
LightGBM,KNN,0.6974999999999999,0.6987499999999999,-0.0012499999999999734,-0.03390999794880732,0.972948920564211,✗,✗,1.0,✗
