Fold,Repeat,Fold_Within_Repeat,Split_Random_State,Outer_CV_Strategy,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,train_class_distribution,test_class_distribution,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,Decision_Threshold,BestInnerAUC
1,1,1,100,repeated_stratified_group_kfold,90,27,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 47, np.int64(0): 43}","{np.int64(1): 18, np.int64(0): 9}","['T2_P1', 'T2_P10', 'T2_P16', 'T2_P20', 'T2_P22', 'T2_P25', 'T2_P3', 'T2_P31', 'T2_P4', 'T2_P49', 'T2_P7']",SVM_RBF,0.6419753086419753,0.6296296296296297,0.6111111111111112,0.7369951154240203,0.75,0.6666666666666666,0.7058823529411765,0.5555555555555556,0.56560462159866,0.69
2,1,2,100,repeated_stratified_group_kfold,97,20,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 54, np.int64(0): 43}","{np.int64(0): 9, np.int64(1): 11}","['T2_P13', 'T2_P14', 'T2_P24', 'T2_P26', 'T2_P29', 'T2_P30', 'T2_P33', 'T2_P36', 'T2_P40', 'T2_P48', 'T2_P5']",SVM_RBF,0.5656565656565656,0.55,0.5707070707070707,0.6943950387730292,0.6666666666666666,0.3636363636363636,0.4705882352941176,0.7777777777777778,0.6200752528132881,0.7443859649122807
3,1,3,100,repeated_stratified_group_kfold,86,31,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 49, np.int64(0): 37}","{np.int64(1): 16, np.int64(0): 15}","['T2_P15', 'T2_P18', 'T2_P27', 'T2_P41', 'T2_P43', 'T2_P46', 'T2_P47', 'T2_P50', 'T2_P6']",SVM_RBF,0.8500000000000001,0.6451612903225806,0.6541666666666667,0.8669245684870686,0.8571428571428571,0.375,0.5217391304347826,0.9333333333333332,0.7094567145399738,0.6207189542483661
4,1,4,100,repeated_stratified_group_kfold,91,26,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 49, np.int64(0): 42}","{np.int64(1): 16, np.int64(0): 10}","['T2_P11', 'T2_P12', 'T2_P17', 'T2_P19', 'T2_P21', 'T2_P34', 'T2_P35', 'T2_P39']",SVM_RBF,0.6,0.4615384615384615,0.50625,0.6943189616923884,0.625,0.3125,0.4166666666666667,0.7,0.6952825299072277,0.8102614379084967
5,1,5,100,repeated_stratified_group_kfold,104,13,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 61, np.int64(0): 43}","{np.int64(1): 4, np.int64(0): 9}","['T2_P2', 'T2_P23', 'T2_P28', 'T2_P32', 'T2_P37', 'T2_P42', 'T2_P44', 'T2_P45', 'T2_P9']",SVM_RBF,0.75,0.6153846153846154,0.6527777777777778,0.6527777777777778,0.4285714285714285,0.75,0.5454545454545454,0.5555555555555556,0.6033733376773497,0.7373684210526316
6,2,1,101,repeated_stratified_group_kfold,98,19,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 55, np.int64(0): 43}","{np.int64(1): 10, np.int64(0): 9}","['T2_P1', 'T2_P11', 'T2_P17', 'T2_P23', 'T2_P28', 'T2_P30', 'T2_P31', 'T2_P37', 'T2_P47', 'T2_P6', 'T2_P7']",SVM_RBF,0.7111111111111111,0.6842105263157895,0.6944444444444444,0.7066865079365079,0.8333333333333334,0.5,0.625,0.8888888888888888,0.5953241790026832,0.7491036414565826
7,2,2,101,repeated_stratified_group_kfold,86,31,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 44, np.int64(0): 42}","{np.int64(1): 21, np.int64(0): 10}","['T2_P16', 'T2_P19', 'T2_P24', 'T2_P27', 'T2_P29', 'T2_P39', 'T2_P40', 'T2_P41', 'T2_P42', 'T2_P48', 'T2_P50']",SVM_RBF,0.8142857142857143,0.4516129032258064,0.5952380952380952,0.9079086404937802,1.0,0.1904761904761904,0.32,1.0,0.6467349218711749,0.64
8,2,3,101,repeated_stratified_group_kfold,80,37,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 43, np.int64(0): 37}","{np.int64(1): 22, np.int64(0): 15}","['T2_P12', 'T2_P14', 'T2_P15', 'T2_P18', 'T2_P2', 'T2_P26', 'T2_P3', 'T2_P33', 'T2_P34', 'T2_P45', 'T2_P49']",SVM_RBF,0.603030303030303,0.5675675675675675,0.5727272727272728,0.6971355997687082,0.6666666666666666,0.5454545454545454,0.6,0.6,0.5128987086653277,0.7677777777777778
9,2,4,101,repeated_stratified_group_kfold,110,7,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 63, np.int64(0): 47}","{np.int64(0): 5, np.int64(1): 2}","['T2_P10', 'T2_P21', 'T2_P32', 'T2_P35', 'T2_P44']",SVM_RBF,0.7,0.7142857142857143,0.8,0.5,0.5,1.0,0.6666666666666666,0.6,0.6084927984315999,0.7375
10,2,5,101,repeated_stratified_group_kfold,94,23,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 55, np.int64(0): 39}","{np.int64(1): 10, np.int64(0): 13}","['T2_P13', 'T2_P20', 'T2_P22', 'T2_P25', 'T2_P36', 'T2_P4', 'T2_P43', 'T2_P46', 'T2_P5', 'T2_P9']",SVM_RBF,0.8153846153846154,0.782608695652174,0.773076923076923,0.7931564707222601,0.7777777777777778,0.7,0.7368421052631579,0.8461538461538461,0.6555674503893445,0.70875
11,3,1,102,repeated_stratified_group_kfold,90,27,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 55, np.int64(0): 35}","{np.int64(1): 10, np.int64(0): 17}","['T2_P1', 'T2_P13', 'T2_P20', 'T2_P26', 'T2_P28', 'T2_P3', 'T2_P35', 'T2_P43', 'T2_P48', 'T2_P6']",SVM_RBF,0.888235294117647,0.7407407407407407,0.7735294117647059,0.8557783882783881,0.6,0.9,0.72,0.6470588235294118,0.583105923191559,0.7409157509157509
12,3,2,102,repeated_stratified_group_kfold,89,28,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 47, np.int64(0): 42}","{np.int64(0): 10, np.int64(1): 18}","['T2_P14', 'T2_P18', 'T2_P19', 'T2_P21', 'T2_P24', 'T2_P32', 'T2_P33', 'T2_P37', 'T2_P39', 'T2_P42', 'T2_P45', 'T2_P5']",SVM_RBF,0.5833333333333333,0.4642857142857143,0.538888888888889,0.721809681785172,0.7142857142857143,0.2777777777777778,0.4,0.8,0.5202069515444812,0.8094444444444445
13,3,3,102,repeated_stratified_group_kfold,90,27,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 48, np.int64(0): 42}","{np.int64(1): 17, np.int64(0): 10}","['T2_P17', 'T2_P22', 'T2_P23', 'T2_P25', 'T2_P27', 'T2_P30', 'T2_P4', 'T2_P46', 'T2_P49', 'T2_P50']",SVM_RBF,0.7529411764705882,0.6296296296296297,0.5205882352941177,0.8821131814376888,0.64,0.9411764705882352,0.7619047619047619,0.1,0.3851115433229117,0.7051515151515152
14,3,4,102,repeated_stratified_group_kfold,101,16,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 61, np.int64(0): 40}","{np.int64(1): 4, np.int64(0): 12}","['T2_P10', 'T2_P11', 'T2_P31', 'T2_P34', 'T2_P40', 'T2_P41', 'T2_P44', 'T2_P7', 'T2_P9']",SVM_RBF,0.6458333333333333,0.625,0.6666666666666667,0.4206730769230769,0.375,0.75,0.5,0.5833333333333334,0.6613263378771215,0.778
15,3,5,102,repeated_stratified_group_kfold,98,19,10,10,10,fixed,elasticnet_then_mrmr,"{np.int64(1): 49, np.int64(0): 49}","{np.int64(1): 16, np.int64(0): 3}","['T2_P12', 'T2_P15', 'T2_P16', 'T2_P2', 'T2_P29', 'T2_P36', 'T2_P47']",SVM_RBF,1.0,0.5789473684210527,0.75,1.0,1.0,0.5,0.6666666666666666,1.0,0.5564818361937146,0.6233333333333333
