Model,ROC_AUC,PR_AUC,Accuracy,Balanced_Accuracy,Sensitivity,Specificity,PPV,NPV,F1,Cohen_Kappa,Brier_Score,Mean_Selected_Features,Std_Selected_Features
XGBoost,0.6047337278106508,0.6504616700725306,0.5982905982905983,0.5865384615384616,0.6923076923076923,0.4807692307692308,0.625,0.5555555555555556,0.656934306569343,0.17543859649122806,0.285117806494939,16.0,0.0
ExtraTrees,0.5967455621301775,0.6167721864707584,0.5641025641025641,0.5615384615384615,0.5846153846153846,0.5384615384615384,0.6129032258064516,0.509090909090909,0.5984251968503937,0.12237093690248568,0.2525107588555286,16.0,0.0
LightGBM,0.5763313609467455,0.644949671740763,0.5641025641025641,0.5653846153846154,0.5538461538461539,0.5769230769230769,0.6206896551724138,0.5084745762711864,0.5853658536585366,0.12903225806451613,0.3036425144082561,16.0,0.0
LogisticRegression,0.5414201183431954,0.5892149333486866,0.5128205128205128,0.5230769230769231,0.4307692307692308,0.6153846153846154,0.5833333333333334,0.463768115942029,0.49557522123893805,0.04469273743016766,0.2808274097863743,16.0,0.0
SVM_Linear,0.5334319526627219,0.5743190434222585,0.5384615384615384,0.5288461538461539,0.6153846153846154,0.4423076923076923,0.5797101449275363,0.4791666666666667,0.5970149253731343,0.05813953488372092,0.2838731016502186,16.0,0.0
RandomForest,0.5325443786982249,0.5800937424740246,0.5555555555555556,0.551923076923077,0.5846153846153846,0.5192307692307693,0.6031746031746031,0.5,0.59375,0.10344827586206895,0.2725523225228666,16.0,0.0
SVM_RBF,0.5318047337278107,0.5964850706759035,0.5299145299145299,0.5057692307692307,0.7230769230769231,0.28846153846153844,0.5595238095238095,0.45454545454545453,0.6308724832214765,0.011976047904191711,0.27525417172098005,16.0,0.0
GradientBoosting,0.5289940828402366,0.57623528812212,0.5299145299145299,0.5288461538461539,0.5384615384615384,0.5192307692307693,0.5833333333333334,0.47368421052631576,0.56,0.05714285714285716,0.28766714512533853,16.0,0.0
NaiveBayes,0.505621301775148,0.5568539477456452,0.5384615384615384,0.5115384615384615,0.7538461538461538,0.2692307692307692,0.5632183908045977,0.4666666666666667,0.6447368421052632,0.02409638554216864,0.42730538137329777,16.0,0.0
KNN,0.4695266272189349,0.5332288576473434,0.49572649572649574,0.47692307692307695,0.6461538461538462,0.3076923076923077,0.5384615384615384,0.41025641025641024,0.5874125874125874,-0.047337278106508895,0.3100176723427138,16.0,0.0
