Metric,Baseline,RFE
Sensitivity,0.7384615384615385,0.7230769230769231
Specificity,0.25,0.28846153846153844
PPV,0.5517241379310345,0.5595238095238095
NPV,0.43333333333333335,0.45454545454545453
Kappa,-0.012048192771084487,0.011976047904191711
