Model,Baseline_ROC_AUC,RFE_ROC_AUC,Delta_ROC_AUC_RFE_minus_Baseline,Paired_Bootstrap_Delta_ROC_AUC_Mean,Paired_Bootstrap_Delta_ROC_AUC_CI95_Low,Paired_Bootstrap_Delta_ROC_AUC_CI95_High,Baseline_PR_AUC,RFE_PR_AUC,Delta_PR_AUC_RFE_minus_Baseline,Paired_Bootstrap_Delta_PR_AUC_Mean,Paired_Bootstrap_Delta_PR_AUC_CI95_Low,Paired_Bootstrap_Delta_PR_AUC_CI95_High,Baseline_Balanced_Accuracy,RFE_Balanced_Accuracy,Delta_Balanced_Accuracy,Baseline_Sensitivity,RFE_Sensitivity,Delta_Sensitivity,Baseline_Specificity,RFE_Specificity,Delta_Specificity,Baseline_PPV,RFE_PPV,Delta_PPV,Baseline_NPV,RFE_NPV,Delta_NPV,Baseline_Kappa,RFE_Kappa,Delta_Kappa,Baseline_Brier,RFE_Brier,Delta_Brier_RFE_minus_Baseline,Baseline_Mean_Selected_Features,RFE_Mean_Selected_Features,Foldwise_Wilcoxon_AUC_Statistic,Foldwise_Wilcoxon_AUC_p_value,Same_OOF_Order_For_Paired_Bootstrap,Foldwise_Wilcoxon_AUC_q_value_FDR
ExtraTrees,0.5967455621301775,0.5967455621301775,0.0,0.0,0.0,0.0,0.6167721864707584,0.6167721864707584,0.0,0.0,0.0,0.0,0.5615384615384615,0.5615384615384615,0.0,0.5846153846153846,0.5846153846153846,0.0,0.5384615384615384,0.5384615384615384,0.0,0.6129032258064516,0.6129032258064516,0.0,0.509090909090909,0.509090909090909,0.0,0.12237093690248568,0.12237093690248568,0.0,0.2525107588555286,0.2525107588555286,0.0,16.0,16.0,0.0,1.0,True,1.0
GradientBoosting,0.5289940828402366,0.5289940828402366,0.0,0.0,0.0,0.0,0.57623528812212,0.57623528812212,0.0,0.0,0.0,0.0,0.5288461538461539,0.5288461538461539,0.0,0.5384615384615384,0.5384615384615384,0.0,0.5192307692307693,0.5192307692307693,0.0,0.5833333333333334,0.5833333333333334,0.0,0.47368421052631576,0.47368421052631576,0.0,0.05714285714285716,0.05714285714285716,0.0,0.28766714512533853,0.28766714512533853,0.0,16.0,16.0,0.0,1.0,True,1.0
KNN,0.4695266272189349,0.4695266272189349,0.0,0.0,0.0,0.0,0.5332288576473434,0.5332288576473434,0.0,0.0,0.0,0.0,0.47692307692307695,0.47692307692307695,0.0,0.6461538461538462,0.6461538461538462,0.0,0.3076923076923077,0.3076923076923077,0.0,0.5384615384615384,0.5384615384615384,0.0,0.41025641025641024,0.41025641025641024,0.0,-0.047337278106508895,-0.047337278106508895,0.0,0.3100176723427138,0.3100176723427138,0.0,16.0,16.0,0.0,1.0,True,1.0
LightGBM,0.5763313609467455,0.5763313609467455,0.0,0.0,0.0,0.0,0.644949671740763,0.644949671740763,0.0,0.0,0.0,0.0,0.5653846153846154,0.5653846153846154,0.0,0.5538461538461539,0.5538461538461539,0.0,0.5769230769230769,0.5769230769230769,0.0,0.6206896551724138,0.6206896551724138,0.0,0.5084745762711864,0.5084745762711864,0.0,0.12903225806451613,0.12903225806451613,0.0,0.3036425144082561,0.3036425144082561,0.0,16.0,16.0,0.0,1.0,True,1.0
LogisticRegression,0.5414201183431954,0.5414201183431954,0.0,0.0,0.0,0.0,0.5892149333486866,0.5892149333486866,0.0,0.0,0.0,0.0,0.5230769230769231,0.5230769230769231,0.0,0.4307692307692308,0.4307692307692308,0.0,0.6153846153846154,0.6153846153846154,0.0,0.5833333333333334,0.5833333333333334,0.0,0.463768115942029,0.463768115942029,0.0,0.04469273743016766,0.04469273743016766,0.0,0.2808274097863743,0.2808274097863743,0.0,16.0,16.0,0.0,1.0,True,1.0
NaiveBayes,0.505621301775148,0.505621301775148,0.0,0.0,0.0,0.0,0.5568539477456452,0.5568539477456452,0.0,0.0,0.0,0.0,0.5115384615384615,0.5115384615384615,0.0,0.7538461538461538,0.7538461538461538,0.0,0.2692307692307692,0.2692307692307692,0.0,0.5632183908045977,0.5632183908045977,0.0,0.4666666666666667,0.4666666666666667,0.0,0.02409638554216864,0.02409638554216864,0.0,0.42730538137329777,0.42730538137329777,0.0,16.0,16.0,0.0,1.0,True,1.0
RandomForest,0.5325443786982249,0.5325443786982249,0.0,0.0,0.0,0.0,0.5800937424740246,0.5800937424740246,0.0,0.0,0.0,0.0,0.551923076923077,0.551923076923077,0.0,0.5846153846153846,0.5846153846153846,0.0,0.5192307692307693,0.5192307692307693,0.0,0.6031746031746031,0.6031746031746031,0.0,0.5,0.5,0.0,0.10344827586206895,0.10344827586206895,0.0,0.2725523225228666,0.2725523225228666,0.0,16.0,16.0,0.0,1.0,True,1.0
SVM_Linear,0.5334319526627219,0.5334319526627219,0.0,0.0,0.0,0.0,0.5743190434222585,0.5743190434222585,0.0,0.0,0.0,0.0,0.5288461538461539,0.5288461538461539,0.0,0.6153846153846154,0.6153846153846154,0.0,0.4423076923076923,0.4423076923076923,0.0,0.5797101449275363,0.5797101449275363,0.0,0.4791666666666667,0.4791666666666667,0.0,0.05813953488372092,0.05813953488372092,0.0,0.2838731016502186,0.2838731016502186,0.0,16.0,16.0,0.0,1.0,True,1.0
SVM_RBF,0.5318047337278107,0.5318047337278107,0.0,0.0,0.0,0.0,0.5964850706759035,0.5964850706759035,0.0,0.0,0.0,0.0,0.5057692307692307,0.5057692307692307,0.0,0.7230769230769231,0.7230769230769231,0.0,0.28846153846153844,0.28846153846153844,0.0,0.5595238095238095,0.5595238095238095,0.0,0.45454545454545453,0.45454545454545453,0.0,0.011976047904191711,0.011976047904191711,0.0,0.27525417172098005,0.27525417172098005,0.0,16.0,16.0,0.0,1.0,True,1.0
XGBoost,0.6047337278106508,0.6047337278106508,0.0,0.0,0.0,0.0,0.6504616700725306,0.6504616700725306,0.0,0.0,0.0,0.0,0.5865384615384616,0.5865384615384616,0.0,0.6923076923076923,0.6923076923076923,0.0,0.4807692307692308,0.4807692307692308,0.0,0.625,0.625,0.0,0.5555555555555556,0.5555555555555556,0.0,0.17543859649122806,0.17543859649122806,0.0,0.285117806494939,0.285117806494939,0.0,16.0,16.0,0.0,1.0,True,1.0
