precision,recall,threshold
0.5517241379310345,1.0,0.07142857142857142
0.5478260869565217,0.984375,0.14285714285714285
0.5446428571428571,0.953125,0.2
0.5495495495495496,0.953125,0.21428571428571427
0.5471698113207547,0.90625,0.26666666666666666
0.5523809523809524,0.90625,0.2857142857142857
0.5862068965517241,0.796875,0.3333333333333333
0.6,0.796875,0.35714285714285715
0.6142857142857143,0.671875,0.4
0.6323529411764706,0.671875,0.42857142857142855
0.6545454545454545,0.5625,0.4666666666666667
0.6666666666666666,0.5625,0.5
0.7209302325581395,0.484375,0.5333333333333333
0.75,0.46875,0.5714285714285714
0.8529411764705882,0.453125,0.6428571428571429
1.0,0.28125,0.7142857142857143
1.0,0.234375,0.7333333333333333
1.0,0.21875,0.7857142857142857
1.0,0.140625,0.8571428571428571
1.0,0.0625,0.8666666666666667
1.0,0.046875,0.9285714285714286
1.0,0.0,
