precision,recall,threshold
0.5614035087719298,1.0,0.16384801927900533
0.5663716814159292,1.0,0.1717935100278491
0.5625,0.984375,0.1904040046470208
0.5585585585585585,0.96875,0.21235522726246844
0.5636363636363636,0.96875,0.2145759725057882
0.5688073394495413,0.96875,0.22771561226640138
0.5648148148148148,0.953125,0.23206027710128083
0.5700934579439252,0.953125,0.23314360649439558
0.5754716981132075,0.953125,0.2623849982341545
0.5714285714285714,0.9375,0.28539686915779017
0.5769230769230769,0.9375,0.28804308600251094
0.5728155339805825,0.921875,0.3001317670695602
0.5784313725490197,0.921875,0.3059521242758027
0.5841584158415841,0.921875,0.31014182939394946
0.59,0.921875,0.31091488087430574
0.5858585858585859,0.90625,0.3163349483127648
0.5816326530612245,0.890625,0.31651970223376474
0.5876288659793815,0.890625,0.32968998078661693
0.59375,0.890625,0.3320672052038971
0.5894736842105263,0.875,0.35493682336494425
0.5957446808510638,0.875,0.35529202312531494
0.6021505376344086,0.875,0.3715466065410158
0.6086956521739131,0.875,0.37445124496556903
0.6153846153846154,0.875,0.3782491621751713
0.6111111111111112,0.859375,0.38549776610333525
0.6179775280898876,0.859375,0.3872230618673444
0.625,0.859375,0.39244893218425203
0.632183908045977,0.859375,0.3942223468818164
0.6395348837209303,0.859375,0.3967411987837701
0.6470588235294118,0.859375,0.40367244701964544
0.6547619047619048,0.859375,0.4127835098161715
0.6626506024096386,0.859375,0.42534917190064236
0.6707317073170732,0.859375,0.42849616125820283
0.6790123456790124,0.859375,0.4323306788783198
0.6875,0.859375,0.43280859713085695
0.6962025316455697,0.859375,0.43361324340200286
0.7051282051282052,0.859375,0.44195164156810135
0.7142857142857143,0.859375,0.44400191077926593
0.7105263157894737,0.84375,0.4498864145732412
0.72,0.84375,0.4521442376177479
0.7162162162162162,0.828125,0.45601770237141465
0.7123287671232876,0.8125,0.4618153905934179
0.7083333333333334,0.796875,0.46997154662903884
0.704225352112676,0.78125,0.47795874658137194
0.7,0.765625,0.48029573214422994
0.7101449275362319,0.765625,0.4837002469140563
0.7205882352941176,0.765625,0.48605466276916026
0.7164179104477612,0.75,0.48788292257511806
0.7272727272727273,0.75,0.4900887596722701
0.7384615384615385,0.75,0.49067937349830126
0.75,0.75,0.4928135501531132
0.746031746031746,0.734375,0.4962682590513299
0.7580645161290323,0.734375,0.5002044297165115
0.7704918032786885,0.734375,0.5011303286557376
0.7666666666666667,0.71875,0.5023517369156962
0.7627118644067796,0.703125,0.5026971673284245
0.7758620689655172,0.703125,0.509065226196209
0.7719298245614035,0.6875,0.511087456647536
0.7678571428571429,0.671875,0.5134386544784203
0.7636363636363637,0.65625,0.5151720027940381
0.7592592592592593,0.640625,0.5177618717769205
0.7735849056603774,0.640625,0.519103257172701
0.7884615384615384,0.640625,0.5322478795092759
0.7843137254901961,0.625,0.535976001932209
0.78,0.609375,0.5412462415771142
0.7755102040816326,0.59375,0.5416837207261304
0.7916666666666666,0.59375,0.5545911214705976
0.8085106382978723,0.59375,0.5578116353329932
0.8043478260869565,0.578125,0.5621074724115435
0.8,0.5625,0.5782869550738013
0.8181818181818182,0.5625,0.5806821019120619
0.813953488372093,0.546875,0.5881970980586091
0.8095238095238095,0.53125,0.588382984688156
0.8048780487804879,0.515625,0.5921854910966351
0.8,0.5,0.6012174029880561
0.7948717948717948,0.484375,0.6040135987546021
0.7894736842105263,0.46875,0.6090580621924221
0.8108108108108109,0.46875,0.6102871162585511
0.8055555555555556,0.453125,0.6215178254289695
0.8,0.4375,0.6260345072513211
0.7941176470588235,0.421875,0.6275671103456466
0.7878787878787878,0.40625,0.6329161269944383
0.8125,0.40625,0.6371082572543139
0.8064516129032258,0.390625,0.6371168243574347
0.8,0.375,0.6433497338734233
0.7931034482758621,0.359375,0.6460524566515032
0.7857142857142857,0.34375,0.6471399152040952
0.7777777777777778,0.328125,0.6471773242095549
0.7692307692307693,0.3125,0.6554645255299077
0.76,0.296875,0.6569069436844601
0.75,0.28125,0.6681492506545724
0.7391304347826086,0.265625,0.6743725730855608
0.7272727272727273,0.25,0.6785818477773391
0.7619047619047619,0.25,0.6814214078270002
0.75,0.234375,0.6902129351929708
0.7368421052631579,0.21875,0.6986113486789531
0.7222222222222222,0.203125,0.7097169963334276
0.7058823529411765,0.1875,0.7124802200539034
0.6875,0.171875,0.7148690182380623
0.7333333333333333,0.171875,0.725322607742872
0.7142857142857143,0.15625,0.7274656039367307
0.7692307692307693,0.15625,0.7293751291034971
0.75,0.140625,0.7465643684791029
0.7272727272727273,0.125,0.7466365495317073
0.7,0.109375,0.754058524475778
0.7777777777777778,0.109375,0.7597409393479282
0.875,0.109375,0.7676612413152885
0.8571428571428571,0.09375,0.7798679584245861
0.8333333333333334,0.078125,0.7974779958333329
0.8,0.0625,0.7998783558015018
0.75,0.046875,0.8037552855325358
0.6666666666666666,0.03125,0.8485088537088591
1.0,0.03125,0.8583496086563052
1.0,0.015625,0.9058249783183773
1.0,0.0,
