Single_Tag,Run_Status,Executed_Notebook,Parameters_File,Stdout_Log,Stderr_Log,Return_Code,Error,Started_At,Finished_At
ADC,completed,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/ADC__Main_executed_on_single_dataset.ipynb,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/ADC__papermill_parameters.json,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/ADC__papermill_stdout.log,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/ADC__papermill_stderr.log,0,,2026-07-23T21:14:10,2026-07-23T21:25:09
Post1,completed,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/Post1__Main_executed_on_single_dataset.ipynb,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/Post1__papermill_parameters.json,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/Post1__papermill_stdout.log,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/Post1__papermill_stderr.log,0,,2026-07-23T21:25:09,2026-07-23T21:36:31
Post2,completed,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/Post2__Main_executed_on_single_dataset.ipynb,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/Post2__papermill_parameters.json,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/Post2__papermill_stdout.log,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/Post2__papermill_stderr.log,0,,2026-07-23T21:36:31,2026-07-23T21:47:56
Pre,completed,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/Pre__Main_executed_on_single_dataset.ipynb,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/Pre__papermill_parameters.json,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/Pre__papermill_stdout.log,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/Pre__papermill_stderr.log,0,,2026-07-23T21:47:56,2026-07-23T21:59:50
T2,completed,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/T2__Main_executed_on_single_dataset.ipynb,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/T2__papermill_parameters.json,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/T2__papermill_stdout.log,batch_single_dataset_runner_artifacts_smote_compare/executed_Main_notebooks_on_single_datasets/T2__papermill_stderr.log,0,,2026-07-23T21:59:50,2026-07-23T22:10:46
