Model,Threshold,Net_Benefit
LogisticRegression,0.01,0.5471960989202368
LogisticRegression,0.02,0.5425756509500351
LogisticRegression,0.03,0.5378599360113757
LogisticRegression,0.04,0.5334051724137931
LogisticRegression,0.05,0.528584392014519
LogisticRegression,0.060000000000000005,0.5236610418195158
LogisticRegression,0.06999999999999999,0.5186318131256952
LogisticRegression,0.08,0.5048725637181409
LogisticRegression,0.09,0.49962106858658584
LogisticRegression,0.09999999999999999,0.49425287356321845
LogisticRegression,0.11,0.48876404494382025
LogisticRegression,0.12,0.4831504702194358
LogisticRegression,0.13,0.4774078478002378
LogisticRegression,0.14,0.47153167602245394
LogisticRegression,0.15000000000000002,0.4584178498985801
LogisticRegression,0.16,0.44376026272577995
LogisticRegression,0.17,0.43757789779808887
LogisticRegression,0.18000000000000002,0.43313708999158956
LogisticRegression,0.19,0.4328437633035334
LogisticRegression,0.2,0.42887931034482757
LogisticRegression,0.21000000000000002,0.4227411610650371
LogisticRegression,0.22,0.4078249336870027
LogisticRegression,0.23,0.4013658755038066
LogisticRegression,0.24000000000000002,0.39473684210526316
LogisticRegression,0.25,0.3793103448275862
LogisticRegression,0.26,0.37534948741845287
LogisticRegression,0.27,0.3747047709022201
LogisticRegression,0.28,0.36781609195402293
LogisticRegression,0.29000000000000004,0.3607333657115104
LogisticRegression,0.3,0.3571428571428571
LogisticRegression,0.31,0.34895052473763116
LogisticRegression,0.32,0.34178498985801214
LogisticRegression,0.33,0.33440555841482245
LogisticRegression,0.34,0.3356844305120167
LogisticRegression,0.35000000000000003,0.3335543766578249
LogisticRegression,0.36000000000000004,0.34105603448275856
LogisticRegression,0.37,0.3394909688013136
LogisticRegression,0.38,0.33815350389321464
LogisticRegression,0.39,0.3229225551158847
LogisticRegression,0.4,0.3160919540229885
LogisticRegression,0.41000000000000003,0.31502045587375804
LogisticRegression,0.42000000000000004,0.31183115338882283
LogisticRegression,0.43,0.29431336963097404
LogisticRegression,0.44,0.27032019704433496
LogisticRegression,0.45,0.2601880877742947
LogisticRegression,0.46,0.23627075351213278
LogisticRegression,0.47000000000000003,0.22836694860117113
LogisticRegression,0.48000000000000004,0.21286472148541113
LogisticRegression,0.49,0.19709263015551048
LogisticRegression,0.5,0.2068965517241379
LogisticRegression,0.51,0.20056298381421533
LogisticRegression,0.52,0.1867816091954023
LogisticRegression,0.53,0.18176815847395447
LogisticRegression,0.54,0.2061469265367316
LogisticRegression,0.55,0.20306513409961685
LogisticRegression,0.56,0.19827586206896552
LogisticRegression,0.5700000000000001,0.19326383319967924
LogisticRegression,0.5800000000000001,0.18267651888341538
LogisticRegression,0.59,0.16904962153069805
LogisticRegression,0.6,0.14224137931034486
LogisticRegression,0.61,0.15075154730327145
LogisticRegression,0.62,0.16016333938294014
LogisticRegression,0.63,0.18522833178005593
LogisticRegression,0.64,0.18199233716475097
LogisticRegression,0.65,0.17857142857142858
LogisticRegression,0.66,0.1577079107505071
LogisticRegression,0.67,0.13662486938349006
LogisticRegression,0.68,0.09806034482758617
LogisticRegression,0.6900000000000001,0.09566184649610678
LogisticRegression,0.7000000000000001,0.08333333333333331
LogisticRegression,0.7100000000000001,0.09185493460166466
LogisticRegression,0.72,0.07142857142857144
LogisticRegression,0.73,0.06800766283524905
LogisticRegression,0.74,0.05570291777188331
LogisticRegression,0.75,0.0603448275862069
LogisticRegression,0.76,0.048850574712643674
LogisticRegression,0.77,0.0457271364317841
LogisticRegression,0.78,0.04231974921630093
LogisticRegression,0.79,0.07101806239737274
LogisticRegression,0.8,0.060344827586206885
LogisticRegression,0.81,0.04945553539019963
LogisticRegression,0.8200000000000001,0.046934865900383135
LogisticRegression,0.8300000000000001,0.0354969574036511
LogisticRegression,0.8400000000000001,0.02370689655172411
LogisticRegression,0.85,0.011494252873563225
LogisticRegression,0.86,0.0603448275862069
LogisticRegression,0.87,0.0603448275862069
LogisticRegression,0.88,0.0603448275862069
LogisticRegression,0.89,0.04310344827586207
LogisticRegression,0.9,0.034482758620689655
LogisticRegression,0.91,0.034482758620689655
LogisticRegression,0.92,0.034482758620689655
LogisticRegression,0.93,0.02586206896551724
LogisticRegression,0.9400000000000001,0.02586206896551724
LogisticRegression,0.9500000000000001,0.02586206896551724
LogisticRegression,0.9600000000000001,0.017241379310344827
LogisticRegression,0.97,0.008620689655172414
LogisticRegression,0.98,0.008620689655172414
LogisticRegression,0.99,0.0
SVM_RBF,0.01,0.5471960989202368
SVM_RBF,0.02,0.5425756509500351
SVM_RBF,0.03,0.5378599360113757
SVM_RBF,0.04,0.5330459770114943
SVM_RBF,0.05,0.5281306715063521
SVM_RBF,0.060000000000000005,0.5231107850330154
SVM_RBF,0.06999999999999999,0.5179829440118651
SVM_RBF,0.08,0.512743628185907
SVM_RBF,0.09,0.5073891625615763
SVM_RBF,0.09999999999999999,0.5019157088122606
SVM_RBF,0.11,0.49631925610228594
SVM_RBF,0.12,0.49059561128526646
SVM_RBF,0.13,0.4847403884264764
SVM_RBF,0.14,0.4787489975942261
SVM_RBF,0.15000000000000002,0.4726166328600405
SVM_RBF,0.16,0.4663382594417077
SVM_RBF,0.17,0.459908599916909
SVM_RBF,0.18000000000000002,0.4484861227922624
SVM_RBF,0.19,0.4460408684546616
SVM_RBF,0.2,0.43965517241379315
SVM_RBF,0.21000000000000002,0.4267786992579659
SVM_RBF,0.22,0.4029619805481875
SVM_RBF,0.23,0.39621585311240487
SVM_RBF,0.24000000000000002,0.3920145190562614
SVM_RBF,0.25,0.38505747126436785
SVM_RBF,0.26,0.369291705498602
SVM_RBF,0.27,0.3683278223901747
SVM_RBF,0.28,0.36111111111111105
SVM_RBF,0.29000000000000004,0.3607333657115104
SVM_RBF,0.3,0.36453201970443344
SVM_RBF,0.31,0.34895052473763116
SVM_RBF,0.32,0.34178498985801214
SVM_RBF,0.33,0.3342768914050437
SVM_RBF,0.34,0.32706374085684425
SVM_RBF,0.35000000000000003,0.3242705570291777
SVM_RBF,0.36000000000000004,0.3313577586206896
SVM_RBF,0.37,0.3293650793650793
SVM_RBF,0.38,0.3328698553948832
SVM_RBF,0.39,0.3425664217071792
SVM_RBF,0.4,0.33333333333333337
SVM_RBF,0.41000000000000003,0.3131209818819404
SVM_RBF,0.42000000000000004,0.31331747919143876
SVM_RBF,0.43,0.29007864488808227
SVM_RBF,0.44,0.2733990147783252
SVM_RBF,0.45,0.25
SVM_RBF,0.46,0.25830140485312897
SVM_RBF,0.47000000000000003,0.25130123617436567
SVM_RBF,0.48000000000000004,0.23673740053050396
SVM_RBF,0.49,0.2385057471264368
SVM_RBF,0.5,0.23275862068965517
SVM_RBF,0.51,0.20953553835327235
SVM_RBF,0.52,0.19540229885057472
SVM_RBF,0.53,0.19900953778429933
SVM_RBF,0.54,0.1757871064467766
SVM_RBF,0.55,0.19061302681992331
SVM_RBF,0.56,0.17633228840125392
SVM_RBF,0.5700000000000001,0.18183640737770648
SVM_RBF,0.5800000000000001,0.21182266009852216
SVM_RBF,0.59,0.19869638351555932
SVM_RBF,0.6,0.1853448275862069
SVM_RBF,0.61,0.16312997347480107
SVM_RBF,0.62,0.14927404718693285
SVM_RBF,0.63,0.13513513513513511
SVM_RBF,0.64,0.15134099616858238
SVM_RBF,0.65,0.16995073891625614
SVM_RBF,0.66,0.1577079107505071
SVM_RBF,0.67,0.14524555903866246
SVM_RBF,0.68,0.12392241379310341
SVM_RBF,0.6900000000000001,0.11957730812013344
SVM_RBF,0.7000000000000001,0.10919540229885055
SVM_RBF,0.7100000000000001,0.0793697978596908
SVM_RBF,0.72,0.07512315270935961
SVM_RBF,0.73,0.08524904214559388
SVM_RBF,0.74,0.05570291777188331
SVM_RBF,0.75,0.07758620689655174
SVM_RBF,0.76,0.06609195402298851
SVM_RBF,0.77,0.05434782608695652
SVM_RBF,0.78,0.08150470219435736
SVM_RBF,0.79,0.07101806239737274
SVM_RBF,0.8,0.060344827586206885
SVM_RBF,0.81,0.058076225045372035
SVM_RBF,0.8200000000000001,0.046934865900383135
SVM_RBF,0.8300000000000001,0.0354969574036511
SVM_RBF,0.8400000000000001,0.02370689655172411
SVM_RBF,0.85,-0.005747126436781602
SVM_RBF,0.86,-0.018472906403940885
SVM_RBF,0.87,0.02586206896551724
SVM_RBF,0.88,0.02586206896551724
SVM_RBF,0.89,0.017241379310344827
SVM_RBF,0.9,0.0
SVM_RBF,0.91,0.0
SVM_RBF,0.92,0.0
SVM_RBF,0.93,0.0
SVM_RBF,0.9400000000000001,0.0
SVM_RBF,0.9500000000000001,0.0
SVM_RBF,0.9600000000000001,0.0
SVM_RBF,0.97,0.0
SVM_RBF,0.98,0.0
SVM_RBF,0.99,0.0
SVM_Linear,0.01,0.5471960989202368
SVM_Linear,0.02,0.5425756509500351
SVM_Linear,0.03,0.5378599360113757
SVM_Linear,0.04,0.5330459770114943
SVM_Linear,0.05,0.5281306715063521
SVM_Linear,0.060000000000000005,0.5231107850330154
SVM_Linear,0.06999999999999999,0.5179829440118651
SVM_Linear,0.08,0.512743628185907
SVM_Linear,0.09,0.5073891625615763
SVM_Linear,0.09999999999999999,0.5019157088122606
SVM_Linear,0.11,0.49738473459899263
SVM_Linear,0.12,0.4917711598746082
SVM_Linear,0.13,0.4860285374554102
SVM_Linear,0.14,0.4801523656776263
SVM_Linear,0.15000000000000002,0.47565922920892495
SVM_Linear,0.16,0.47126436781609193
SVM_Linear,0.17,0.4565849605317823
SVM_Linear,0.18000000000000002,0.45227081581160644
SVM_Linear,0.19,0.4480630055342699
SVM_Linear,0.2,0.44181034482758624
SVM_Linear,0.21000000000000002,0.4353993889131384
SVM_Linear,0.22,0.42882404951370473
SVM_Linear,0.23,0.4160322436184505
SVM_Linear,0.24000000000000002,0.3920145190562614
SVM_Linear,0.25,0.38505747126436785
SVM_Linear,0.26,0.38094128611369993
SVM_Linear,0.27,0.3769485120453472
SVM_Linear,0.28,0.36111111111111105
SVM_Linear,0.29000000000000004,0.3536911121903836
SVM_Linear,0.3,0.3374384236453202
SVM_Linear,0.31,0.3334582708645677
SVM_Linear,0.32,0.3296146044624746
SVM_Linear,0.33,0.32166752444673186
SVM_Linear,0.34,0.32236154649947746
SVM_Linear,0.35000000000000003,0.32824933687002644
SVM_Linear,0.36000000000000004,0.33028017241379304
SVM_Linear,0.37,0.3329228243021346
SVM_Linear,0.38,0.3414905450500556
SVM_Linear,0.39,0.33154324477105707
SVM_Linear,0.4,0.3160919540229885
SVM_Linear,0.41000000000000003,0.3063997662185856
SVM_Linear,0.42000000000000004,0.29934601664684896
SVM_Linear,0.43,0.29431336963097404
SVM_Linear,0.44,0.26847290640394084
SVM_Linear,0.45,0.25862068965517243
SVM_Linear,0.46,0.25223499361430396
SVM_Linear,0.47000000000000003,0.22739102147039686
SVM_Linear,0.48000000000000004,0.2201591511936339
SVM_Linear,0.49,0.2129817444219067
SVM_Linear,0.5,0.20689655172413793
SVM_Linear,0.51,0.2188599577762139
SVM_Linear,0.52,0.1788793103448276
SVM_Linear,0.53,0.2120322817314747
SVM_Linear,0.54,0.20764617691154424
SVM_Linear,0.55,0.20306513409961685
SVM_Linear,0.56,0.2006269592476489
SVM_Linear,0.5700000000000001,0.19607056936647954
SVM_Linear,0.5800000000000001,0.18267651888341538
SVM_Linear,0.59,0.19386038687973087
SVM_Linear,0.6,0.1853448275862069
SVM_Linear,0.61,0.18147656940760387
SVM_Linear,0.62,0.16016333938294014
SVM_Linear,0.63,0.13863000931966452
SVM_Linear,0.64,0.16475095785440613
SVM_Linear,0.65,0.16133004926108374
SVM_Linear,0.66,0.14908722109533468
SVM_Linear,0.67,0.11076280041797282
SVM_Linear,0.68,0.1066810344827586
SVM_Linear,0.6900000000000001,0.10428253615127918
SVM_Linear,0.7000000000000001,0.09482758620689655
SVM_Linear,0.7100000000000001,0.07461355529131983
SVM_Linear,0.72,0.07142857142857144
SVM_Linear,0.73,0.0913154533844189
SVM_Linear,0.74,0.08023872679045094
SVM_Linear,0.75,0.10344827586206898
SVM_Linear,0.76,0.08477011494252873
SVM_Linear,0.77,0.08320839580209895
SVM_Linear,0.78,0.08150470219435736
SVM_Linear,0.79,0.07963875205254514
SVM_Linear,0.8,0.06896551724137931
SVM_Linear,0.81,0.058076225045372035
SVM_Linear,0.8200000000000001,0.046934865900383135
SVM_Linear,0.8300000000000001,0.0354969574036511
SVM_Linear,0.8400000000000001,0.015086206896551699
SVM_Linear,0.85,0.002873563218390808
SVM_Linear,0.86,-0.0012315270935960576
SVM_Linear,0.87,0.05172413793103448
SVM_Linear,0.88,0.05172413793103448
SVM_Linear,0.89,0.04310344827586207
SVM_Linear,0.9,0.034482758620689655
SVM_Linear,0.91,0.034482758620689655
SVM_Linear,0.92,0.034482758620689655
SVM_Linear,0.93,0.034482758620689655
SVM_Linear,0.9400000000000001,0.02586206896551724
SVM_Linear,0.9500000000000001,0.02586206896551724
SVM_Linear,0.9600000000000001,0.017241379310344827
SVM_Linear,0.97,0.0
SVM_Linear,0.98,0.0
SVM_Linear,0.99,0.0
RandomForest,0.01,0.5471960989202368
RandomForest,0.02,0.5425756509500351
RandomForest,0.03,0.5378599360113757
RandomForest,0.04,0.5330459770114943
RandomForest,0.05,0.5281306715063521
RandomForest,0.060000000000000005,0.5231107850330154
RandomForest,0.06999999999999999,0.5179829440118651
RandomForest,0.08,0.512743628185907
RandomForest,0.09,0.5073891625615763
RandomForest,0.09999999999999999,0.5019157088122606
RandomForest,0.11,0.49631925610228594
RandomForest,0.12,0.49059561128526646
RandomForest,0.13,0.4847403884264764
RandomForest,0.14,0.4787489975942261
RandomForest,0.15000000000000002,0.4726166328600405
RandomForest,0.16,0.4577175697865353
RandomForest,0.17,0.44266722060656416
RandomForest,0.18000000000000002,0.43608074011774595
RandomForest,0.19,0.4293316304810557
RandomForest,0.2,0.41379310344827586
RandomForest,0.21000000000000002,0.40037101702313405
RandomForest,0.22,0.39323607427055707
RandomForest,0.23,0.3859158083296015
RandomForest,0.24000000000000002,0.3838475499092559
RandomForest,0.25,0.37931034482758624
RandomForest,0.26,0.3576421248835042
RandomForest,0.27,0.35333018422295703
RandomForest,0.28,0.3457854406130268
RandomForest,0.29000000000000004,0.3415492957746479
RandomForest,0.3,0.3411330049261083
RandomForest,0.31,0.32483758120939527
RandomForest,0.32,0.31237322515212984
RandomForest,0.33,0.2999227997941327
RandomForest,0.34,0.29258098223615464
RandomForest,0.35000000000000003,0.2990716180371353
RandomForest,0.36000000000000004,0.3017241379310345
RandomForest,0.37,0.2963875205254516
RandomForest,0.38,0.2917130144605117
RandomForest,0.39,0.28222159412097225
RandomForest,0.4,0.27873563218390807
RandomForest,0.41000000000000003,0.2613968439509059
RandomForest,0.42000000000000004,0.24673008323424495
RandomForest,0.43,0.2383545069570478
RandomForest,0.44,0.24568965517241378
RandomForest,0.45,0.24529780564263323
RandomForest,0.46,0.23116219667943808
RandomForest,0.47000000000000003,0.2330839297332466
RandomForest,0.48000000000000004,0.22745358090185677
RandomForest,0.49,0.20436105476673427
RandomForest,0.5,0.20689655172413793
RandomForest,0.51,0.20091484869809992
RandomForest,0.52,0.194683908045977
RandomForest,0.53,0.1709464416727806
RandomForest,0.54,0.174287856071964
RandomForest,0.55,0.17816091954022983
RandomForest,0.56,0.17163009404388713
RandomForest,0.5700000000000001,0.16479550922213307
RandomForest,0.5800000000000001,0.160919540229885
RandomForest,0.59,0.13666947014297734
RandomForest,0.6,0.11637931034482762
RandomForest,0.61,0.10919540229885058
RandomForest,0.62,0.11569872958257715
RandomForest,0.63,0.13769804287045667
RandomForest,0.64,0.14655172413793102
RandomForest,0.65,0.13054187192118227
RandomForest,0.66,0.09888438133874236
RandomForest,0.67,0.08411703239289445
RandomForest,0.68,0.06896551724137928
RandomForest,0.6900000000000001,0.08314794215795325
RandomForest,0.7000000000000001,0.06896551724137927
RandomForest,0.7100000000000001,0.06688466111771696
RandomForest,0.72,0.06157635467980298
RandomForest,0.73,0.05332056194125161
RandomForest,0.74,0.04840848806366048
RandomForest,0.75,0.04310344827586206
RandomForest,0.76,0.020114942528735635
RandomForest,0.77,0.025487256371814093
RandomForest,0.78,0.04231974921630093
RandomForest,0.79,0.10344827586206896
RandomForest,0.8,0.10344827586206896
RandomForest,0.81,0.10344827586206896
RandomForest,0.8200000000000001,0.10344827586206896
RandomForest,0.8300000000000001,0.08620689655172414
RandomForest,0.8400000000000001,0.07758620689655173
RandomForest,0.85,0.06896551724137931
RandomForest,0.86,0.06896551724137931
RandomForest,0.87,0.04310344827586207
RandomForest,0.88,0.04310344827586207
RandomForest,0.89,0.02586206896551724
RandomForest,0.9,0.02586206896551724
RandomForest,0.91,0.017241379310344827
RandomForest,0.92,0.017241379310344827
RandomForest,0.93,0.008620689655172414
RandomForest,0.9400000000000001,0.008620689655172414
RandomForest,0.9500000000000001,0.008620689655172414
RandomForest,0.9600000000000001,0.008620689655172414
RandomForest,0.97,0.0
RandomForest,0.98,0.0
RandomForest,0.99,0.0
GradientBoosting,0.01,0.5471960989202368
GradientBoosting,0.02,0.5425756509500351
GradientBoosting,0.03,0.5378599360113757
GradientBoosting,0.04,0.5330459770114943
GradientBoosting,0.05,0.5281306715063521
GradientBoosting,0.060000000000000005,0.5231107850330154
GradientBoosting,0.06999999999999999,0.5179829440118651
GradientBoosting,0.08,0.512743628185907
GradientBoosting,0.09,0.5073891625615763
GradientBoosting,0.09999999999999999,0.5019157088122606
GradientBoosting,0.11,0.49738473459899263
GradientBoosting,0.12,0.4917711598746082
GradientBoosting,0.13,0.4860285374554102
GradientBoosting,0.14,0.4801523656776263
GradientBoosting,0.15000000000000002,0.47413793103448276
GradientBoosting,0.16,0.46798029556650245
GradientBoosting,0.17,0.46167428334025756
GradientBoosting,0.18000000000000002,0.4552144659377628
GradientBoosting,0.19,0.44859514687100893
GradientBoosting,0.2,0.4418103448275862
GradientBoosting,0.21000000000000002,0.43485377564382366
GradientBoosting,0.22,0.4277188328912467
GradientBoosting,0.23,0.4203985669502911
GradientBoosting,0.24000000000000002,0.4128856624319419
GradientBoosting,0.25,0.4051724137931034
GradientBoosting,0.26,0.39468779123951536
GradientBoosting,0.27,0.3868682097307511
GradientBoosting,0.28,0.3788314176245211
GradientBoosting,0.29000000000000004,0.37408936376881985
GradientBoosting,0.3,0.3694581280788177
GradientBoosting,0.31,0.36106946526736633
GradientBoosting,0.32,0.3438133874239351
GradientBoosting,0.33,0.339166237776634
GradientBoosting,0.34,0.32157784743991635
GradientBoosting,0.35000000000000003,0.31233421750663126
GradientBoosting,0.36000000000000004,0.30280172413793094
GradientBoosting,0.37,0.29296661193212914
GradientBoosting,0.38,0.2900444938820912
GradientBoosting,0.39,0.2857546636517807
GradientBoosting,0.4,0.27586206896551724
GradientBoosting,0.41000000000000003,0.26563413208649916
GradientBoosting,0.42000000000000004,0.2550535077288942
GradientBoosting,0.43,0.21188747731397461
GradientBoosting,0.44,0.2044334975369458
GradientBoosting,0.45,0.21551724137931036
GradientBoosting,0.46,0.2203065134099617
GradientBoosting,0.47000000000000003,0.2025048796356539
GradientBoosting,0.48000000000000004,0.20358090185676395
GradientBoosting,0.49,0.18779580797836376
GradientBoosting,0.5,0.16379310344827586
GradientBoosting,0.51,0.15710767065446868
GradientBoosting,0.52,0.16882183908045975
GradientBoosting,0.53,0.1537050623624358
GradientBoosting,0.54,0.14992503748125935
GradientBoosting,0.55,0.14367816091954017
GradientBoosting,0.56,0.13949843260188083
GradientBoosting,0.5700000000000001,0.1158781074578989
GradientBoosting,0.5800000000000001,0.1309523809523809
GradientBoosting,0.59,0.125946173254836
GradientBoosting,0.6,0.08620689655172414
GradientBoosting,0.61,0.07206012378426171
GradientBoosting,0.62,0.06624319419237748
GradientBoosting,0.63,0.05848089468779123
GradientBoosting,0.64,0.03544061302681992
GradientBoosting,0.65,0.032019704433497526
GradientBoosting,0.66,0.01977687626774846
GradientBoosting,0.67,0.00731452455590384
GradientBoosting,0.68,0.021551724137931022
GradientBoosting,0.6900000000000001,0.009454949944382632
GradientBoosting,0.7000000000000001,0.02586206896551723
GradientBoosting,0.7100000000000001,0.014268727705112935
GradientBoosting,0.72,0.011083743842364546
GradientBoosting,0.73,0.007662835249042155
GradientBoosting,0.74,0.003978779840848823
GradientBoosting,0.75,0.0
GradientBoosting,0.76,-0.0043103448275862155
GradientBoosting,0.77,-0.01761619190404798
GradientBoosting,0.78,0.021159874608150466
GradientBoosting,0.79,0.04310344827586207
GradientBoosting,0.8,0.04310344827586207
GradientBoosting,0.81,0.04310344827586207
GradientBoosting,0.8200000000000001,0.04310344827586207
GradientBoosting,0.8300000000000001,0.04310344827586207
GradientBoosting,0.8400000000000001,0.034482758620689655
GradientBoosting,0.85,0.02586206896551724
GradientBoosting,0.86,0.017241379310344827
GradientBoosting,0.87,0.017241379310344827
GradientBoosting,0.88,0.017241379310344827
GradientBoosting,0.89,0.017241379310344827
GradientBoosting,0.9,0.008620689655172414
GradientBoosting,0.91,0.008620689655172414
GradientBoosting,0.92,0.008620689655172414
GradientBoosting,0.93,0.008620689655172414
GradientBoosting,0.9400000000000001,0.008620689655172414
GradientBoosting,0.9500000000000001,0.0
GradientBoosting,0.9600000000000001,0.0
GradientBoosting,0.97,0.0
GradientBoosting,0.98,0.0
GradientBoosting,0.99,0.0
ExtraTrees,0.01,0.5471960989202368
ExtraTrees,0.02,0.5425756509500351
ExtraTrees,0.03,0.5378599360113757
ExtraTrees,0.04,0.5330459770114943
ExtraTrees,0.05,0.5281306715063521
ExtraTrees,0.060000000000000005,0.5231107850330154
ExtraTrees,0.06999999999999999,0.5179829440118651
ExtraTrees,0.08,0.512743628185907
ExtraTrees,0.09,0.5073891625615763
ExtraTrees,0.09999999999999999,0.5019157088122606
