Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.763 ± 0.138,0.817 ± 0.043,0.670 ± 0.061,0.699 ± 0.045,0.742 ± 0.244,0.715 ± 0.230,0.667 ± 0.106,0.683 ± 0.256,5.600 ± 2.608
SVM_Linear,0.759 ± 0.108,0.808 ± 0.041,0.658 ± 0.009,0.684 ± 0.060,0.729 ± 0.211,0.680 ± 0.230,0.649 ± 0.066,0.689 ± 0.217,5.600 ± 2.608
LogisticRegression,0.749 ± 0.111,0.796 ± 0.059,0.635 ± 0.088,0.667 ± 0.034,0.679 ± 0.205,0.715 ± 0.230,0.645 ± 0.125,0.619 ± 0.230,5.600 ± 2.608
ExtraTrees,0.742 ± 0.084,0.819 ± 0.043,0.628 ± 0.084,0.644 ± 0.053,0.714 ± 0.265,0.593 ± 0.195,0.594 ± 0.162,0.695 ± 0.222,5.600 ± 2.608
LightGBM,0.719 ± 0.072,0.799 ± 0.037,0.645 ± 0.114,0.654 ± 0.084,0.664 ± 0.222,0.649 ± 0.171,0.631 ± 0.177,0.660 ± 0.157,5.600 ± 2.608
RandomForest,0.713 ± 0.122,0.806 ± 0.052,0.636 ± 0.097,0.648 ± 0.061,0.676 ± 0.224,0.625 ± 0.179,0.615 ± 0.161,0.670 ± 0.183,5.600 ± 2.608
NaiveBayes,0.705 ± 0.092,0.723 ± 0.185,0.638 ± 0.056,0.647 ± 0.023,0.702 ± 0.212,0.578 ± 0.201,0.594 ± 0.137,0.715 ± 0.206,5.600 ± 2.608
GradientBoosting,0.700 ± 0.155,0.757 ± 0.067,0.592 ± 0.088,0.623 ± 0.063,0.631 ± 0.186,0.656 ± 0.250,0.597 ± 0.123,0.590 ± 0.202,5.600 ± 2.608
KNN,0.681 ± 0.105,0.765 ± 0.038,0.633 ± 0.119,0.649 ± 0.094,0.694 ± 0.265,0.613 ± 0.198,0.608 ± 0.174,0.684 ± 0.200,5.600 ± 2.608
XGBoost,0.666 ± 0.148,0.718 ± 0.049,0.589 ± 0.126,0.615 ± 0.110,0.591 ± 0.150,0.660 ± 0.337,0.576 ± 0.197,0.569 ± 0.139,5.600 ± 2.608
