,SVM_RBF,KNN,SVM_Linear,LogisticRegression,ExtraTrees,RandomForest,XGBoost,NaiveBayes,GradientBoosting,LightGBM
SVM_RBF,1.0,0.1756371679786236,0.18226590358972383,0.31619781501511945,0.3948460257265194,0.7653238266343381,0.024744749121973234,0.00495087308678132,0.013312599593914303,0.00181506952069681
KNN,0.1756371679786236,1.0,0.062007266307772965,0.054736270350607,0.04068342788877973,0.1697108242696619,0.005135795406411046,0.0006050234907161761,0.0013503008648379148,0.00017957348029686227
SVM_Linear,0.18226590358972383,0.062007266307772965,1.0,0.8991343774641731,0.917067334196288,0.7066167923131274,0.1210730057604625,0.013258472403425843,0.052537862367139546,0.013506429891474226
LogisticRegression,0.31619781501511945,0.054736270350607,0.8991343774641731,1.0,0.8429684529197219,0.7108334530658911,0.0884377025785761,0.01280709031657044,0.03521768897611699,0.007718899916709513
ExtraTrees,0.3948460257265194,0.04068342788877973,0.917067334196288,0.8429684529197219,1.0,0.5263373467663719,0.11461009618079547,0.03816802083401197,0.04493924841417313,0.0059411269334872846
RandomForest,0.7653238266343381,0.1697108242696619,0.7066167923131274,0.7108334530658911,0.5263373467663719,1.0,0.027971117144996817,0.0229806736858621,0.01082893608006065,0.000995860717280535
XGBoost,0.024744749121973234,0.005135795406411046,0.1210730057604625,0.0884377025785761,0.11461009618079547,0.027971117144996817,1.0,0.36808750743398844,0.5494382383612679,0.01094049953773517
NaiveBayes,0.00495087308678132,0.0006050234907161761,0.013258472403425843,0.01280709031657044,0.03816802083401197,0.0229806736858621,0.36808750743398844,1.0,0.5394689928998083,0.9664872920152413
GradientBoosting,0.013312599593914303,0.0013503008648379148,0.052537862367139546,0.03521768897611699,0.04493924841417313,0.01082893608006065,0.5494382383612679,0.5394689928998083,1.0,0.30723081175677924
LightGBM,0.00181506952069681,0.00017957348029686227,0.013506429891474226,0.007718899916709513,0.0059411269334872846,0.000995860717280535,0.01094049953773517,0.9664872920152413,0.30723081175677924,1.0
