Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.802 ± 0.045,0.842 ± 0.065,0.738 ± 0.147,0.761 ± 0.091,0.852 ± 0.106,0.703 ± 0.248,0.735 ± 0.157,0.819 ± 0.175,11.600 ± 4.561
KNN,0.792 ± 0.091,0.802 ± 0.131,0.723 ± 0.137,0.727 ± 0.110,0.742 ± 0.157,0.781 ± 0.220,0.743 ± 0.140,0.672 ± 0.164,11.600 ± 4.561
SVM_Linear,0.777 ± 0.059,0.831 ± 0.085,0.701 ± 0.133,0.723 ± 0.091,0.781 ± 0.133,0.721 ± 0.270,0.709 ± 0.151,0.726 ± 0.207,11.600 ± 4.561
LogisticRegression,0.761 ± 0.066,0.814 ± 0.083,0.711 ± 0.139,0.733 ± 0.097,0.816 ± 0.122,0.708 ± 0.267,0.715 ± 0.143,0.759 ± 0.224,11.600 ± 4.561
ExtraTrees,0.760 ± 0.049,0.782 ± 0.075,0.692 ± 0.146,0.704 ± 0.094,0.752 ± 0.083,0.667 ± 0.290,0.675 ± 0.184,0.740 ± 0.108,11.600 ± 4.561
RandomForest,0.752 ± 0.047,0.773 ± 0.082,0.724 ± 0.095,0.717 ± 0.096,0.748 ± 0.066,0.747 ± 0.249,0.729 ± 0.141,0.687 ± 0.126,11.600 ± 4.561
XGBoost,0.708 ± 0.063,0.778 ± 0.048,0.648 ± 0.135,0.644 ± 0.115,0.697 ± 0.106,0.727 ± 0.236,0.684 ± 0.117,0.562 ± 0.224,11.600 ± 4.561
NaiveBayes,0.702 ± 0.145,0.773 ± 0.094,0.575 ± 0.166,0.549 ± 0.158,0.586 ± 0.175,0.867 ± 0.188,0.686 ± 0.143,0.231 ± 0.281,11.600 ± 4.561
GradientBoosting,0.702 ± 0.091,0.753 ± 0.082,0.630 ± 0.133,0.647 ± 0.114,0.698 ± 0.061,0.640 ± 0.244,0.642 ± 0.120,0.653 ± 0.127,11.600 ± 4.561
LightGBM,0.646 ± 0.079,0.737 ± 0.056,0.593 ± 0.133,0.589 ± 0.124,0.641 ± 0.109,0.674 ± 0.228,0.634 ± 0.120,0.505 ± 0.217,11.600 ± 4.561
