,SVM_RBF,KNN,SVM_Linear,LogisticRegression,ExtraTrees,RandomForest,XGBoost,NaiveBayes,GradientBoosting,LightGBM
SVM_RBF,0.0,-1.354311032093641,1.333810699404162,1.0023018796323768,0.8508619822942861,0.29849705089069994,2.245364395950669,2.8102129466535937,2.4752954497761372,3.11893345058361
KNN,1.354311032093641,0.0,1.8662437810229886,1.9209638083982947,2.04674195139695,1.3731335774316,2.798390662372947,3.4293523638635524,3.205069042393405,3.7461440786141402
SVM_Linear,-1.333810699404162,-1.8662437810229886,0.0,-0.12675491875575154,0.1041285502366628,-0.37640370458140776,1.550285501104554,2.4767500288763964,1.9387001337912058,2.4701290999755865
LogisticRegression,-1.0023018796323768,-1.9209638083982947,0.12675491875575154,0.0,0.19809791906278945,-0.3707369678144123,1.703697033824279,2.4890889938519494,2.1058464905883953,2.664124455815724
ExtraTrees,-0.8508619822942861,-2.04674195139695,-0.1041285502366628,-0.19809791906278945,0.0,-0.6336069764391372,1.5778063865580418,2.0730457629431016,2.005222661962291,2.7510130893246565
RandomForest,-0.29849705089069994,-1.3731335774316,0.37640370458140776,0.3707369678144123,0.6336069764391372,0.0,2.197691227200651,2.2737557907429777,2.5481710483830295,3.291693526841939
XGBoost,-2.245364395950669,-2.798390662372947,-1.550285501104554,-1.703697033824279,-1.5778063865580418,-2.197691227200651,0.0,0.9000615294650414,0.5986021254669988,2.5445935701863416
NaiveBayes,-2.8102129466535937,-3.4293523638635524,-2.4767500288763964,-2.4890889938519494,-2.0730457629431016,-2.2737557907429777,-0.9000615294650414,0.0,-0.613616174209968,-0.04201430804886065
GradientBoosting,-2.4752954497761372,-3.205069042393405,-1.9387001337912058,-2.1058464905883953,-2.005222661962291,-2.5481710483830295,-0.5986021254669988,0.613616174209968,0.0,1.0210498702970365
LightGBM,-3.11893345058361,-3.7461440786141402,-2.4701290999755865,-2.664124455815724,-2.7510130893246565,-3.291693526841939,-2.5445935701863416,0.04201430804886065,-1.0210498702970365,0.0
