Feature_Original,Feature_Sanitized,MeanAbsSHAP,Selection_Count
GLSZM_SmallZoneEmphasis,GLSZM_SmallZoneEmphasis,0.04175556188748639,2
GLCM_ClusterTendency,GLCM_ClusterTendency,0.025748447395523094,4
GLSZM_SmallZoneHighGreyLevelEmphasis,GLSZM_SmallZoneHighGreyLevelEmphasis,0.011475487974024274,2
Morph_SphereDiameter_mm,Morph_SphereDiameter_mm,0.007807237522787428,2
Morph_SurfaceToVolumeRatio_cm,Morph_SurfaceToVolumeRatio_cm,0.005079200212818993,5
GLSZM_LargeZoneEmphasis,GLSZM_LargeZoneEmphasis,0.004938733639837253,2
Morph_Sphericity,Morph_Sphericity,0.004652855021752992,4
Morph_Compactness2,Morph_Compactness2,0.004646599571653516,5
IH_IntensityHistogramMedian_Intensity,IH_IntensityHistogramMedian_Intensity,0.0021945163805728815,2
IB_MedianIntensity,IB_MedianIntensity,0.002189036644442628,3
GLRLM_RunEntropy,GLRLM_RunEntropy,0.0017698056247985186,2
