Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
SVM_RBF,0.6261,+0.1449,9.59e-03,4.32e-01,✓,✗
LogisticRegression,0.6705,+0.1005,5.71e-02,1.00e+00,✗,✗
GradientBoosting,0.7101,+0.0610,3.65e-01,1.00e+00,✗,✗
NaiveBayes,0.7128,+0.0582,6.43e-03,2.89e-01,✓,✗
LightGBM,0.7292,+0.0418,2.40e-01,1.00e+00,✗,✗
ExtraTrees,0.7294,+0.0416,3.03e-02,1.00e+00,✓,✗
SVM_Linear,0.7360,+0.0350,1.55e-01,1.00e+00,✗,✗
RandomForest,0.7483,+0.0227,6.13e-01,1.00e+00,✗,✗
KNN,0.7552,+0.0158,3.94e-01,1.00e+00,✗,✗
