,XGBoost,KNN,RandomForest,SVM_Linear,ExtraTrees,LightGBM,NaiveBayes,GradientBoosting,LogisticRegression,SVM_RBF
XGBoost,0.0,0.8517051975774318,0.5059743172792583,1.42273358209337,2.1655302647880434,1.1750810026455676,2.725170835003974,0.9067363103827292,1.9023088023454469,2.5901248037858253
KNN,-0.8517051975774318,0.0,-0.5985057189314661,0.3700018079325517,1.0691768755597018,0.2804659341245916,1.5907386174760658,-0.2089949371774671,0.8114244544013094,1.4390177821699188
RandomForest,-0.5059743172792583,0.5985057189314661,0.0,1.0682020443219529,1.974969731069988,1.016123301647829,2.318150879012971,0.4741319287487728,1.5024776680504432,2.260825723301636
SVM_Linear,-1.42273358209337,-0.3700018079325517,-1.0682020443219529,0.0,0.7484694384565448,-0.04910798482922582,1.8018765239247523,-0.6334260572285143,1.2217497646150626,2.201917051367752
ExtraTrees,-2.1655302647880434,-1.0691768755597018,-1.974969731069988,-0.7484694384565448,0.0,-0.5479615526818898,1.0065929415287402,-1.261100461195797,0.041692354422092924,0.9054863719457564
LightGBM,-1.1750810026455676,-0.2804659341245916,-1.016123301647829,0.04910798482922582,0.5479615526818898,0.0,1.1773492303202078,-0.5666261035076381,0.4582311062250439,1.0553621734285679
NaiveBayes,-2.725170835003974,-1.5907386174760658,-2.318150879012971,-1.8018765239247523,-1.0065929415287402,-1.1773492303202078,0.0,-1.8976019567494367,-0.8593381722688438,0.04596337147168797
GradientBoosting,-0.9067363103827292,0.2089949371774671,-0.4741319287487728,0.6334260572285143,1.261100461195797,0.5666261035076381,1.8976019567494367,0.0,1.136330780782517,1.8074152440444406
LogisticRegression,-1.9023088023454469,-0.8114244544013094,-1.5024776680504432,-1.2217497646150626,-0.041692354422092924,-0.4582311062250439,0.8593381722688438,-1.136330780782517,0.0,1.8317618556790707
SVM_RBF,-2.5901248037858253,-1.4390177821699188,-2.260825723301636,-2.201917051367752,-0.9054863719457564,-1.0553621734285679,-0.04596337147168797,-1.8074152440444406,-1.8317618556790707,0.0
