feature,n_valid,mean_benign,mean_malignant,median_benign,median_malignant,shapiro_p_benign,shapiro_p_malignant,normal_in_both_classes,correlation_method,correlation_coefficient,correlation_p_value,class_difference_test,class_difference_stat,class_difference_p_value,cohen_d_malignant_minus_benign,correlation_q_value_fdr,class_difference_q_value_fdr
Morph_Compacity,117,15.733224072692307,17.656030941384618,15.726982465,16.57329673,0.0011088525128623429,1.6220618431416688e-09,False,Spearman,0.3279805893939201,0.0003062541128559953,Mann_Whitney_U,1046.0,0.0004160052390580208,0.6209199222096236,0.007401141060686554,0.010053459943902169
Morph_Compactness1,117,0.03633646703846154,0.033017636215384616,0.035873995000000006,0.034042085,0.1165560838418218,0.00023339519938779643,False,Spearman,-0.3279805893939201,0.0003062541128559953,Mann_Whitney_U,2334.0,0.0004160052390580208,-0.6985694567289472,0.007401141060686554,0.010053459943902169
Morph_Compactness2,117,0.47498507290384623,0.3968413330461538,0.4572585355,0.411750904,0.13726865171881403,0.05070067683500229,True,Pearson_point_biserial_equivalent,-0.3373393901539539,0.00019974201961573575,Welch_t_test,3.870784324662122,0.0001827235323496777,-0.7149639761448179,0.007401141060686554,0.010053459943902169
Morph_SphericalDisproportion,117,1.2963838939807693,1.3960909799538463,1.298014273,1.344172934,0.0033029010888285517,9.708484153679496e-09,False,Spearman,0.3279805893939201,0.0003062541128559953,Mann_Whitney_U,1046.0,0.0004160052390580208,0.6377115520608789,0.007401141060686554,0.010053459943902169
Morph_Sphericity,117,0.7759152110000002,0.7267317558769231,0.7704076195,0.743951894,0.07894829458887315,2.9447717865153814e-05,False,Spearman,-0.3279805893939201,0.0003062541128559953,Mann_Whitney_U,2334.0,0.0004160052390580208,-0.6898075948839215,0.007401141060686554,0.010053459943902169
Morph_Asphericity,117,0.29638389398076925,0.3960909799538461,0.298014273,0.344172934,0.003302901088828627,9.708484153679388e-09,False,Spearman,0.3279805893939201,0.0003062541128559953,Mann_Whitney_U,1046.0,0.0004160052390580208,0.6377115520608776,0.007401141060686554,0.010053459943902169
IB_IntensitySkewness,117,0.19904835021153844,-0.17011968561538462,0.041912542000000004,-0.278676255,0.004003964978249781,2.2927836224206488e-07,False,Spearman,-0.23834614260303513,0.00965810541806838,Mann_Whitney_U,2158.0,0.010337701546114703,-0.44266917966776903,0.17505316070248939,0.187370840523329
IH_IntensityHistogramSkewness_Intensity,117,0.19534961140384613,-0.1641619844923077,0.0329740885,-0.256290522,0.003767146579814657,1.908806036874229e-07,False,Spearman,-0.2398740024915161,0.009189454221673492,Mann_Whitney_U,2161.0,0.009857752826067389,-0.43613851954195265,0.17505316070248939,0.187370840523329
Morph_Volume_cm3,117,3.942735577480769,1.8104121795846153,0.37675000000000003,0.354291667,1.0213467348819386e-15,4.240995657479598e-15,False,Spearman,0.06213308518904554,0.5057309348525638,Mann_Whitney_U,1568.0,0.505122739469944,-0.1409642558878334,0.9401423250869302,0.9390117037724306
Morph_ApproximateVolume_cm3,117,3.9564999999999992,1.8256461538461544,0.3875,0.365,1.0247497080898169e-15,4.326044345396582e-15,False,Spearman,0.06315284338129121,0.49875885578879064,Mann_Whitney_U,1566.0,0.4981304480866461,-0.14077275905404812,0.9401423250869302,0.9390117037724306
