,SVM_RBF,LogisticRegression,NaiveBayes,SVM_Linear,ExtraTrees,LightGBM,RandomForest,GradientBoosting,KNN,XGBoost
SVM_RBF,0.0,-0.5757108798848737,0.996706585147945,-1.0595943515215551,0.47972952248486045,1.4405990130129869,0.08292136736897386,1.7214167865412715,0.911348218827283,1.6916541326324646
LogisticRegression,0.5757108798848737,0.0,1.727771352215544,-0.8260883531084076,1.0655764400912804,1.7351498853316072,0.5083148919844068,2.1816305610311058,1.2337751612155967,2.0195181946083576
NaiveBayes,-0.996706585147945,-1.727771352215544,0.0,-1.8006479015990027,-0.7222697992039734,0.47927272964821205,-0.8067716040451162,0.31930305219528077,-0.0796743041688531,0.5249383288338638
SVM_Linear,1.0595943515215551,0.8260883531084076,1.8006479015990027,0.0,1.4426654091235112,1.9946473624876069,0.8898922098445912,2.399022785419486,1.5419850786174323,2.2606824200958653
ExtraTrees,-0.47972952248486045,-1.0655764400912804,0.7222697992039734,-1.4426654091235112,0.0,1.2971399835399315,-0.3073262469348361,1.4372410963336852,0.6244998377635506,1.6628383334157886
LightGBM,-1.4405990130129869,-1.7351498853316072,-0.47927272964821205,-1.9946473624876069,-1.2971399835399315,0.0,-1.6323865471007823,-0.33927939264814155,-0.6088711876675005,0.04885996300110709
RandomForest,-0.08292136736897386,-0.5083148919844068,0.8067716040451162,-0.8898922098445912,0.3073262469348361,1.6323865471007823,0.0,1.6713338245009148,0.9047317192230292,2.061592633872968
GradientBoosting,-1.7214167865412715,-2.1816305610311058,-0.31930305219528077,-2.399022785419486,-1.4372410963336852,0.33927939264814155,-1.6713338245009148,0.0,-0.4216143893750922,0.47924102999348506
KNN,-0.911348218827283,-1.2337751612155967,0.0796743041688531,-1.5419850786174323,-0.6244998377635506,0.6088711876675005,-0.9047317192230292,0.4216143893750922,0.0,0.7723420246456163
XGBoost,-1.6916541326324646,-2.0195181946083576,-0.5249383288338638,-2.2606824200958653,-1.6628383334157886,-0.04885996300110709,-2.061592633872968,-0.47924102999348506,-0.7723420246456163,0.0
