Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.805 ± 0.087,0.843 ± 0.129,0.677 ± 0.111,0.689 ± 0.118,0.736 ± 0.138,0.675 ± 0.219,0.684 ± 0.133,0.702 ± 0.185,12.800 ± 6.261
SVM_Linear,0.783 ± 0.102,0.805 ± 0.150,0.687 ± 0.109,0.706 ± 0.114,0.741 ± 0.169,0.699 ± 0.259,0.691 ± 0.150,0.712 ± 0.191,12.800 ± 6.261
LogisticRegression,0.772 ± 0.101,0.798 ± 0.152,0.651 ± 0.101,0.675 ± 0.112,0.714 ± 0.176,0.673 ± 0.261,0.660 ± 0.135,0.677 ± 0.209,12.800 ± 6.261
NaiveBayes,0.768 ± 0.165,0.765 ± 0.237,0.610 ± 0.132,0.612 ± 0.145,0.640 ± 0.222,0.864 ± 0.155,0.704 ± 0.100,0.360 ± 0.398,12.800 ± 6.261
ExtraTrees,0.753 ± 0.125,0.812 ± 0.126,0.716 ± 0.115,0.725 ± 0.115,0.780 ± 0.088,0.698 ± 0.194,0.723 ± 0.112,0.752 ± 0.146,12.800 ± 6.261
GradientBoosting,0.742 ± 0.130,0.815 ± 0.124,0.671 ± 0.097,0.686 ± 0.093,0.725 ± 0.117,0.688 ± 0.207,0.685 ± 0.106,0.684 ± 0.142,12.800 ± 6.261
RandomForest,0.740 ± 0.085,0.786 ± 0.119,0.703 ± 0.067,0.711 ± 0.082,0.737 ± 0.107,0.739 ± 0.148,0.727 ± 0.066,0.682 ± 0.133,12.800 ± 6.261
LightGBM,0.715 ± 0.108,0.812 ± 0.087,0.652 ± 0.052,0.663 ± 0.050,0.712 ± 0.114,0.663 ± 0.215,0.660 ± 0.101,0.664 ± 0.168,12.800 ± 6.261
KNN,0.709 ± 0.143,0.755 ± 0.146,0.633 ± 0.102,0.648 ± 0.130,0.703 ± 0.172,0.611 ± 0.179,0.636 ± 0.113,0.686 ± 0.225,12.800 ± 6.261
XGBoost,0.709 ± 0.105,0.802 ± 0.086,0.644 ± 0.081,0.662 ± 0.082,0.697 ± 0.119,0.694 ± 0.194,0.673 ± 0.073,0.629 ± 0.160,12.800 ± 6.261
