file_name,old_column_name,cleaned_column_name,final_column_name
Post1_ADC_M1_pairwise_random_label.csv,Post1__MORPHOLOGICAL_MaxIntensityCoor-PerimeterCoor-2DSagittalSmallestDist(IBSI:No)[mm],Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,Post1_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm
Post1_ADC_M1_pairwise_random_label.csv,Post1__MORPHOLOGICAL_RadiusSphereNorm-MaxIntensityCoor-PerimeterCoor-2DSagittalSmallestDist(IBSI:No)[],Post1_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,Post1_Morph_RadiusSphereNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist
Post1_ADC_M1_pairwise_random_label.csv,Post1__MORPHOLOGICAL_RadiusRoiNorm-MaxIntensityCoor-PerimeterCoor-2DSagittalSmallestDist(IBSI:No)[],Post1_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist,Post1_Morph_RadiusRoiNorm_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist
Post1_ADC_M1_pairwise_random_label.csv,Post1__MORPHOLOGICAL_Maximum3DDiameter(IBSI:L0JK)[mm],Post1_Morph_Maximum3DDiameter_mm,Post1_Morph_Maximum3DDiameter_mm
Post1_ADC_M1_pairwise_random_label.csv,Post1__MORPHOLOGICAL_SphereDiameter(IBSI:No)[mm],Post1_Morph_SphereDiameter_mm,Post1_Morph_SphereDiameter_mm
Post1_ADC_M1_pairwise_random_label.csv,Post1__MORPHOLOGICAL_IntegratedIntensity(IBSI:99N0)[Intensity],Post1_Morph_IntegratedIntensity_Intensity,Post1_Morph_IntegratedIntensity_Intensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_MeanIntensity(IBSI:Q4LE)[],Post1_IB_MeanIntensity,Post1_IB_MeanIntensity
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_IntensityVariance(IBSI:ECT3)[],Post1_IB_IntensityVariance,Post1_IB_IntensityVariance
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_IntensitySkewness(IBSI:KE2A)[],Post1_IB_IntensitySkewness,Post1_IB_IntensitySkewness
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_IntensityKurtosis(IBSI:IPH6)[],Post1_IB_IntensityKurtosis,Post1_IB_IntensityKurtosis
Post1_ADC_M1_pairwise_random_label.csv,Post1__INTENSITY-BASED_MedianIntensity(IBSI:Y12H)[],Post1_IB_MedianIntensity,Post1_IB_MedianIntensity
