model,mean_auc,std_auc,pooled_auc,mean_pr_auc,std_pr_auc,pooled_pr_auc,mean_accuracy,std_accuracy,pooled_accuracy,mean_bal_accuracy,std_bal_accuracy,pooled_bal_accuracy,mean_f1,std_f1,pooled_f1,mean_precision,std_precision,pooled_precision,mean_recall,std_recall,pooled_recall,n_samples,n_folds
SVM_Linear,0.7531372549019608,0.1257709957510366,0.7145432692307693,0.8165204529848851,0.061156804561630765,0.7934181365468993,0.6912870901191257,0.04717671867429013,0.6810344827586207,0.6972222222222222,0.037302171594142584,0.6856971153846154,0.6635341669824427,0.06660778352479578,0.6890756302521008,0.753030303030303,0.16525573581134523,0.7454545454545455,0.6333333333333333,0.13691835490271442,0.640625,116,5
LogisticRegression,0.737450980392157,0.12461836311780408,0.7166466346153846,0.8103599955921494,0.05687920327698548,0.796437275816829,0.661616896266507,0.05803221159834558,0.646551724137931,0.6658636788048553,0.056393560466531004,0.6508413461538461,0.6320802005012531,0.06535464369175542,0.6554621848739496,0.7315018315018316,0.17493517621405122,0.7090909090909091,0.6015686274509804,0.12550490109921245,0.609375,116,5
SVM_RBF,0.713719654528478,0.14064328375185234,0.6793870192307693,0.7962492564129686,0.06229964328277055,0.7767531199570011,0.6465830980291492,0.07467591185992457,0.6293103448275862,0.650408496732026,0.06806021412234609,0.6334134615384616,0.6244239559756801,0.06555763560491426,0.6386554621848739,0.6864102564102564,0.12983983457705894,0.6909090909090909,0.5980392156862745,0.10811018629090367,0.59375,116,5
KNN,0.7001684562713975,0.15990677276419896,0.666015625,0.7801619390025891,0.07335841681797665,0.7589965425384786,0.6188053202513715,0.13316284368091355,0.603448275862069,0.6400513538748832,0.14609630499047985,0.6081730769230769,0.5947167487684729,0.1660886421175522,0.6101694915254238,0.64,0.11035296904831235,0.6666666666666666,0.6047058823529412,0.2593150413251022,0.5625,116,5
LightGBM,0.6955897914721445,0.1208319757872246,0.6793870192307692,0.7397337738701836,0.07546302628322894,0.7334615193595696,0.6689232100244336,0.09600953157109543,0.6637931034482759,0.681783380018674,0.1139145395902776,0.6592548076923077,0.6735064935064935,0.11042148763065669,0.6976744186046512,0.6679824561403509,0.12033540384393343,0.6923076923076923,0.7270588235294119,0.19578959117849146,0.703125,116,5
ExtraTrees,0.6651774042950513,0.16753433413577534,0.606971153846154,0.7637081256908183,0.08863990625648602,0.6861289559392002,0.6583896637289295,0.1281635078484556,0.6293103448275862,0.6793767507002801,0.14738121221202552,0.6316105769230769,0.6568995765275257,0.1067397813954889,0.6446280991735537,0.7015018315018315,0.14653252694947644,0.6842105263157895,0.6647058823529411,0.20680465683819937,0.609375,116,5
RandomForest,0.6637931839402427,0.13846195718462073,0.6514423076923077,0.7280166688201979,0.10970687168960355,0.7215821913437599,0.6209007158951542,0.11172450226250051,0.6206896551724138,0.61578197945845,0.11013111733246402,0.6147836538461539,0.6183037808424806,0.13714722297739868,0.6615384615384615,0.6107422969187676,0.15255527648104403,0.6515151515151515,0.6486274509803922,0.14822491923440323,0.671875,116,5
NaiveBayes,0.6570852785558668,0.07750522901407687,0.6709735576923078,0.7132674589249289,0.13762347410175163,0.7538248008162848,0.6470869817365924,0.07854517687495244,0.6379310344827587,0.6317133520074696,0.07283982600022737,0.6304086538461539,0.6455456823877876,0.09992551729096348,0.6818181818181818,0.6434523809523809,0.10088188239228756,0.6617647058823529,0.672156862745098,0.141276652907232,0.703125,116,5
GradientBoosting,0.6348062558356675,0.14248296420844936,0.6054687500000001,0.7003024513670122,0.10853537370358896,0.6344277446665564,0.5518377494462033,0.1255812486856224,0.5517241379310345,0.5804084967320262,0.14393854194582736,0.5486778846153846,0.5612076648841355,0.14465857046096542,0.5873015873015873,0.5659803921568628,0.16497748381315866,0.5967741935483871,0.6247058823529412,0.24123098379613803,0.578125,116,5
XGBoost,0.6256201369436664,0.11211291524147424,0.6358173076923076,0.7053192464523423,0.10923936566007554,0.7167388001809729,0.5771341376458172,0.10506228415302102,0.5689655172413793,0.5790196078431372,0.0998361787695775,0.5697115384615384,0.5536559139784946,0.13283395905240108,0.5901639344262295,0.5863157894736841,0.13420949432007773,0.6206896551724138,0.5580392156862745,0.16940813358490572,0.5625,116,5
