Model,Baseline_ROC_AUC,SMOTE_ROC_AUC,Delta_ROC_AUC_SMOTE_minus_Baseline,Paired_Bootstrap_Delta_ROC_AUC_Mean,Paired_Bootstrap_Delta_ROC_AUC_CI95_Low,Paired_Bootstrap_Delta_ROC_AUC_CI95_High,Baseline_PR_AUC,SMOTE_PR_AUC,Delta_PR_AUC_SMOTE_minus_Baseline,Paired_Bootstrap_Delta_PR_AUC_Mean,Paired_Bootstrap_Delta_PR_AUC_CI95_Low,Paired_Bootstrap_Delta_PR_AUC_CI95_High,Baseline_Balanced_Accuracy,SMOTE_Balanced_Accuracy,Delta_Balanced_Accuracy,Baseline_Sensitivity,SMOTE_Sensitivity,Delta_Sensitivity,Baseline_Specificity,SMOTE_Specificity,Delta_Specificity,Baseline_PPV,SMOTE_PPV,Delta_PPV,Baseline_NPV,SMOTE_NPV,Delta_NPV,Baseline_Kappa,SMOTE_Kappa,Delta_Kappa,Baseline_Brier,SMOTE_Brier,Delta_Brier_SMOTE_minus_Baseline,Baseline_Mean_Selected_Features,SMOTE_Mean_Selected_Features,Foldwise_Wilcoxon_AUC_Statistic,Foldwise_Wilcoxon_AUC_p_value,Same_OOF_Order_For_Paired_Bootstrap,Foldwise_Wilcoxon_AUC_q_value_FDR
SVM_Linear,0.48801775147928994,0.6047337278106509,0.116715976331361,0.11865592824733923,0.006390746228292731,0.22728739002932546,0.5785619352724249,0.6566026983374388,0.07804076306501384,0.08265996861829496,-0.004615799683909336,0.1772790530371373,0.47500000000000003,0.5807692307692307,0.10576923076923067,0.7384615384615385,0.8153846153846154,0.07692307692307687,0.21153846153846154,0.34615384615384615,0.1346153846153846,0.5393258426966292,0.6091954022988506,0.06986955960222141,0.39285714285714285,0.6,0.20714285714285713,-0.05241935483870952,0.1686746987951806,0.22109405363389012,0.25844872306024413,0.2405800851214381,-0.017868637938806026,16.0,16.0,3.0,0.3125,True,0.875
SVM_RBF,0.47751479289940824,0.558284023668639,0.08076923076923082,0.08153232766323765,0.011707417982884867,0.14941464709050775,0.551538550022894,0.645256541069454,0.09371799104655998,0.0877445892672865,0.026354637948184028,0.1547941141084472,0.49423076923076925,0.5307692307692308,0.03653846153846152,0.7384615384615385,0.7538461538461538,0.01538461538461533,0.25,0.3076923076923077,0.05769230769230771,0.5517241379310345,0.5764705882352941,0.024746450304259593,0.43333333333333335,0.5,0.06666666666666665,-0.012048192771084487,0.06400000000000006,0.07604819277108454,0.26707977458523474,0.2530213995341556,-0.014058375051079153,16.0,16.0,0.0,0.0625,True,0.625
LogisticRegression,0.5390532544378699,0.5997041420118343,0.06065088757396442,0.06158409417531448,-0.01977894130265371,0.14439242234611444,0.6010500094060838,0.6673510769638304,0.06630106755774667,0.06479552365810036,0.006132181040099003,0.1272067960521515,0.5346153846153846,0.5942307692307692,0.059615384615384626,0.4153846153846154,0.5538461538461539,0.13846153846153847,0.6538461538461539,0.6346153846153846,-0.019230769230769273,0.6,0.6545454545454545,0.054545454545454564,0.4722222222222222,0.532258064516129,0.060035842293906794,0.06666666666666665,0.18490566037735845,0.1182389937106918,0.2528935971593573,0.2561455570387296,0.0032519598793723237,16.0,16.0,3.0,0.625,True,1.0
KNN,0.5329881656804734,0.5775147928994083,0.04452662721893497,0.045868654844112816,-0.07579369905857078,0.1697189788087861,0.5845366928917421,0.6235051588999456,0.03896846600820347,0.03667489378533673,-0.0634762766327237,0.136978184153586,0.5230769230769231,0.5826923076923077,0.059615384615384626,0.6615384615384615,0.8,0.13846153846153852,0.38461538461538464,0.36538461538461536,-0.019230769230769273,0.5733333333333334,0.611764705882353,0.03843137254901963,0.47619047619047616,0.59375,0.11755952380952384,0.04705882352941182,0.17200000000000004,0.12494117647058822,0.27884357364923384,0.24915562425465154,-0.029687949394582303,16.0,16.0,4.0,0.875,True,1.0
RandomForest,0.5526627218934912,0.5742603550295858,0.02159763313609464,0.022551176723679595,-0.04793980128579784,0.09260249554367193,0.6165389959540448,0.6560571311850134,0.03951813523096859,0.03278440161517491,-0.032235503764236756,0.09994940224002057,0.5769230769230769,0.5615384615384615,-0.01538461538461533,0.6153846153846154,0.5076923076923077,-0.10769230769230775,0.5384615384615384,0.6153846153846154,0.07692307692307698,0.625,0.6226415094339622,-0.002358490566037763,0.5283018867924528,0.5,-0.028301886792452824,0.15355086372360838,0.12030075187969924,-0.033250111843909136,0.26018820655964076,0.2536982599950629,-0.006489946564577853,16.0,16.0,4.0,0.4375,True,0.875
LightGBM,0.5596153846153847,0.5745562130177515,0.014940828402366768,0.014762421030703073,-0.07233707143629674,0.1037006865608366,0.6690524633361712,0.6130899103560898,-0.05596255298008135,-0.050764317678055705,-0.14497454403881946,0.0438519961187423,0.5076923076923077,0.5365384615384615,0.028846153846153855,0.47692307692307695,0.47692307692307695,0.0,0.5384615384615384,0.5961538461538461,0.05769230769230771,0.5636363636363636,0.5961538461538461,0.03251748251748254,0.45161290322580644,0.47692307692307695,0.02531017369727051,0.015094339622641506,0.07129455909943727,0.056200219476795765,0.2699316213161555,0.2818313718471147,0.011899750530959208,16.0,16.0,4.0,0.4375,True,0.875
NaiveBayes,0.5902366863905325,0.5976331360946746,0.007396449704142105,0.007996880948059344,-0.08036331052460093,0.09291057504873289,0.6651341896472192,0.6560831224574235,-0.009051067189795647,-0.0027199586632623562,-0.08431242669007284,0.07456893950578054,0.55,0.5884615384615385,0.038461538461538436,0.7538461538461538,0.8307692307692308,0.07692307692307698,0.34615384615384615,0.34615384615384615,0.0,0.5903614457831325,0.6136363636363636,0.023274917853231103,0.5294117647058824,0.6206896551724138,0.09127789046653145,0.10358565737051784,0.18511066398390352,0.08152500661338569,0.38958356728993215,0.35079452556976626,-0.038789041720165895,16.0,16.0,3.0,0.3125,True,0.875
GradientBoosting,0.5318047337278107,0.49837278106508875,-0.03343195266272192,-0.032520804425303765,-0.11520035420084768,0.04792153430378963,0.6168143875181504,0.553488202203263,-0.06332618531488743,-0.06334791789992693,-0.15729418735647668,0.034762389163309516,0.5480769230769231,0.4865384615384616,-0.06153846153846154,0.6153846153846154,0.6461538461538462,0.03076923076923077,0.4807692307692308,0.3269230769230769,-0.15384615384615385,0.5970149253731343,0.5454545454545454,-0.05156037991858886,0.5,0.425,-0.07500000000000001,0.09652509652509655,-0.027559055118110187,-0.12408415164320674,0.2744415700497192,0.27498078516370733,0.000539215113988134,16.0,16.0,7.0,1.0,True,1.0
ExtraTrees,0.5775147928994083,0.5396449704142012,-0.037869822485207094,-0.03672766088195449,-0.12342642052893425,0.05173477675670661,0.6381416105172156,0.6083126420792835,-0.029828968437932146,-0.033340690166300785,-0.12701959006632463,0.05793174829672665,0.5153846153846153,0.5230769230769231,0.007692307692307776,0.5692307692307692,0.5846153846153846,0.015384615384615441,0.46153846153846156,0.46153846153846156,0.0,0.5692307692307692,0.5757575757575758,0.0065268065268065945,0.46153846153846156,0.47058823529411764,0.009049773755656076,0.03076923076923077,0.046242774566473965,0.015473543797243194,0.2519284442733957,0.25328585950331006,0.0013574152299143383,16.0,16.0,6.0,0.8125,True,1.0
XGBoost,0.598224852071006,0.5535502958579882,-0.044674556213017746,-0.044369304766702415,-0.13407654668927577,0.04452299968318777,0.6698497100959377,0.6593053474141706,-0.010544362681767172,-0.011277971358896877,-0.0892012406139995,0.07067207881476287,0.5538461538461539,0.5557692307692308,0.0019230769230769162,0.5692307692307692,0.5538461538461539,-0.01538461538461533,0.5384615384615384,0.5576923076923077,0.019230769230769273,0.6065573770491803,0.6101694915254238,0.003612114476243433,0.5,0.5,0.0,0.10687022900763354,0.11026615969581743,0.00339593068818389,0.302066601268872,0.3199116038042953,0.01784500253542326,16.0,16.0,7.0,1.0,True,1.0
