Model,Delta_ROC_AUC,Delta_PR_AUC,Delta_Sensitivity,Delta_Specificity,Delta_Brier,Recommendation
SVM_RBF,0.13727810650887584,0.1323202587192347,-0.04615384615384621,0.28846153846153844,-0.012527143158490517,SMOTE favorable
SVM_Linear,0.11789940828402357,0.10221755348284445,-0.015384615384615441,0.28846153846153844,-0.000692303748868528,SMOTE favorable
LogisticRegression,0.05118343195266262,0.05386315520846896,0.13846153846153847,-0.13461538461538458,0.0036999416654781014,SMOTE improves sensitivity but reduces specificity
LightGBM,0.04289940828402361,-0.01672909097502595,0.030769230769230715,-0.038461538461538436,0.005545740638051744,SMOTE improves sensitivity but reduces specificity
KNN,0.022633136094674655,0.027479485567824535,-0.01538461538461533,0.057692307692307654,0.00786914669743699,Mixed effect
RandomForest,0.020118343195266286,0.0340349305572647,-0.07692307692307698,0.019230769230769273,0.005485108136251415,Mixed effect
GradientBoosting,0.016568047337278013,-0.020881352896614414,-0.07692307692307698,-0.019230769230769218,-0.0011660423768177774,Mixed effect
NaiveBayes,-0.002071005917159696,-0.02832062622418574,0.09230769230769231,-0.1923076923076923,-0.01072749417048946,Baseline preferred
ExtraTrees,-0.011242603550295938,-0.03121490427461515,-0.03076923076923077,0.07692307692307687,-0.0035964155799429187,Baseline preferred
XGBoost,-0.020414201183431957,-0.07295611704948746,0.0,0.019230769230769273,-0.016669766718383938,Baseline preferred
