Metric,Baseline,SMOTE
Sensitivity,0.7384615384615385,0.8153846153846154
Specificity,0.21153846153846154,0.34615384615384615
PPV,0.5393258426966292,0.6091954022988506
NPV,0.39285714285714285,0.6
Kappa,-0.05241935483870952,0.1686746987951806
