Model,Fold,ROC_AUC
LogisticRegression,1,0.7986111111111112
SVM_RBF,1,0.8472222222222222
SVM_Linear,1,0.8055555555555556
RandomForest,1,0.7986111111111112
GradientBoosting,1,0.75
ExtraTrees,1,0.8125
KNN,1,0.7256944444444445
NaiveBayes,1,0.7291666666666666
XGBoost,1,0.7430555555555555
LightGBM,1,0.7013888888888888
LogisticRegression,2,0.592857142857143
SVM_RBF,2,0.5571428571428572
SVM_Linear,2,0.5142857142857143
RandomForest,2,0.6428571428571429
GradientBoosting,2,0.575
ExtraTrees,2,0.6357142857142857
KNN,2,0.5714285714285714
NaiveBayes,2,0.7000000000000001
XGBoost,2,0.5785714285714286
LightGBM,2,0.6107142857142858
LogisticRegression,3,0.7777777777777778
SVM_RBF,3,0.8888888888888888
SVM_Linear,3,0.7638888888888888
RandomForest,3,0.8472222222222222
GradientBoosting,3,0.7916666666666666
ExtraTrees,3,0.861111111111111
KNN,3,0.8819444444444444
NaiveBayes,3,0.7083333333333333
XGBoost,3,0.8611111111111112
LightGBM,3,0.8055555555555556
LogisticRegression,4,0.7777777777777778
SVM_RBF,4,0.7388888888888889
SVM_Linear,4,0.7555555555555555
RandomForest,4,0.7388888888888889
GradientBoosting,4,0.7083333333333334
ExtraTrees,4,0.7
KNN,4,0.7666666666666666
NaiveBayes,4,0.7444444444444445
XGBoost,4,0.7277777777777779
LightGBM,4,0.7055555555555555
LogisticRegression,5,0.6309523809523809
SVM_RBF,5,0.7023809523809523
SVM_Linear,5,0.6785714285714286
RandomForest,5,0.6785714285714286
GradientBoosting,5,0.6309523809523809
ExtraTrees,5,0.6785714285714286
KNN,5,0.7559523809523809
NaiveBayes,5,0.4642857142857143
XGBoost,5,0.5952380952380952
LightGBM,5,0.4880952380952381
