Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,Balanced_Accuracy,Youden_Index,TP,FP,TN,FN
0.01,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.02,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.03,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.04,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.05,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.060000000000000005,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.06999999999999999,1.0,0.0,0.5575221238938053,,0.5575221238938053,0.5,0.0,63,50,0,0
0.08,1.0,0.02,0.5625,1.0,0.5663716814159292,0.51,0.020000000000000018,63,49,1,0
0.09,1.0,0.04,0.5675675675675675,1.0,0.5752212389380531,0.52,0.040000000000000036,63,48,2,0
0.09999999999999999,1.0,0.06,0.5727272727272728,1.0,0.584070796460177,0.53,0.06000000000000005,63,47,3,0
0.11,1.0,0.06,0.5727272727272728,1.0,0.584070796460177,0.53,0.06000000000000005,63,47,3,0
0.12,1.0,0.06,0.5727272727272728,1.0,0.584070796460177,0.53,0.06000000000000005,63,47,3,0
0.13,0.9682539682539683,0.06,0.5648148148148148,0.6,0.5663716814159292,0.5141269841269841,0.028253968253968198,61,47,3,2
0.14,0.9682539682539683,0.08,0.5700934579439252,0.6666666666666666,0.5752212389380531,0.5241269841269841,0.048253968253968216,61,46,4,2
0.15000000000000002,0.9523809523809523,0.08,0.5660377358490566,0.5714285714285714,0.5663716814159292,0.5161904761904762,0.0323809523809524,60,46,4,3
0.16,0.9523809523809523,0.08,0.5660377358490566,0.5714285714285714,0.5663716814159292,0.5161904761904762,0.0323809523809524,60,46,4,3
0.17,0.9523809523809523,0.08,0.5660377358490566,0.5714285714285714,0.5663716814159292,0.5161904761904762,0.0323809523809524,60,46,4,3
0.18000000000000002,0.9523809523809523,0.1,0.5714285714285714,0.625,0.5752212389380531,0.5261904761904762,0.05238095238095242,60,45,5,3
0.19,0.9523809523809523,0.14,0.5825242718446602,0.7,0.5929203539823009,0.5461904761904761,0.09238095238095223,60,43,7,3
0.2,0.9523809523809523,0.14,0.5825242718446602,0.7,0.5929203539823009,0.5461904761904761,0.09238095238095223,60,43,7,3
0.21000000000000002,0.9365079365079365,0.14,0.5784313725490197,0.6363636363636364,0.584070796460177,0.5382539682539682,0.07650793650793641,59,43,7,4
0.22,0.9365079365079365,0.14,0.5784313725490197,0.6363636363636364,0.584070796460177,0.5382539682539682,0.07650793650793641,59,43,7,4
0.23,0.9365079365079365,0.16,0.5841584158415841,0.6666666666666666,0.5929203539823009,0.5482539682539682,0.09650793650793643,59,42,8,4
0.24000000000000002,0.9365079365079365,0.16,0.5841584158415841,0.6666666666666666,0.5929203539823009,0.5482539682539682,0.09650793650793643,59,42,8,4
0.25,0.9365079365079365,0.16,0.5841584158415841,0.6666666666666666,0.5929203539823009,0.5482539682539682,0.09650793650793643,59,42,8,4
0.26,0.9365079365079365,0.16,0.5841584158415841,0.6666666666666666,0.5929203539823009,0.5482539682539682,0.09650793650793643,59,42,8,4
0.27,0.9365079365079365,0.18,0.59,0.6923076923076923,0.6017699115044248,0.5582539682539682,0.11650793650793645,59,41,9,4
0.28,0.9206349206349206,0.18,0.5858585858585859,0.6428571428571429,0.5929203539823009,0.5503174603174603,0.10063492063492063,58,41,9,5
0.29000000000000004,0.9206349206349206,0.18,0.5858585858585859,0.6428571428571429,0.5929203539823009,0.5503174603174603,0.10063492063492063,58,41,9,5
0.3,0.9047619047619048,0.18,0.5816326530612245,0.6,0.584070796460177,0.5423809523809524,0.08476190476190482,57,41,9,6
0.31,0.9047619047619048,0.18,0.5816326530612245,0.6,0.584070796460177,0.5423809523809524,0.08476190476190482,57,41,9,6
0.32,0.9047619047619048,0.18,0.5816326530612245,0.6,0.584070796460177,0.5423809523809524,0.08476190476190482,57,41,9,6
0.33,0.9047619047619048,0.18,0.5816326530612245,0.6,0.584070796460177,0.5423809523809524,0.08476190476190482,57,41,9,6
0.34,0.8888888888888888,0.18,0.5773195876288659,0.5625,0.5752212389380531,0.5344444444444444,0.06888888888888878,56,41,9,7
0.35000000000000003,0.873015873015873,0.2,0.5789473684210527,0.5555555555555556,0.5752212389380531,0.5365079365079365,0.07301587301587298,55,40,10,8
0.36000000000000004,0.8571428571428571,0.2,0.574468085106383,0.5263157894736842,0.5663716814159292,0.5285714285714286,0.05714285714285716,54,40,10,9
0.37,0.8571428571428571,0.24,0.5869565217391305,0.5714285714285714,0.584070796460177,0.5485714285714285,0.09714285714285698,54,38,12,9
0.38,0.8571428571428571,0.26,0.5934065934065934,0.5909090909090909,0.5929203539823009,0.5585714285714285,0.117142857142857,54,37,13,9
0.39,0.8571428571428571,0.26,0.5934065934065934,0.5909090909090909,0.5929203539823009,0.5585714285714285,0.117142857142857,54,37,13,9
0.4,0.8571428571428571,0.3,0.6067415730337079,0.625,0.6106194690265486,0.5785714285714285,0.15714285714285703,54,35,15,9
0.41000000000000003,0.8571428571428571,0.3,0.6067415730337079,0.625,0.6106194690265486,0.5785714285714285,0.15714285714285703,54,35,15,9
0.42000000000000004,0.8571428571428571,0.3,0.6067415730337079,0.625,0.6106194690265486,0.5785714285714285,0.15714285714285703,54,35,15,9
0.43,0.8571428571428571,0.3,0.6067415730337079,0.625,0.6106194690265486,0.5785714285714285,0.15714285714285703,54,35,15,9
0.44,0.8571428571428571,0.32,0.6136363636363636,0.64,0.6194690265486725,0.5885714285714285,0.17714285714285705,54,34,16,9
0.45,0.8571428571428571,0.32,0.6136363636363636,0.64,0.6194690265486725,0.5885714285714285,0.17714285714285705,54,34,16,9
0.46,0.8571428571428571,0.34,0.6206896551724138,0.6538461538461539,0.6283185840707964,0.5985714285714285,0.19714285714285706,54,33,17,9
0.47000000000000003,0.8571428571428571,0.36,0.627906976744186,0.6666666666666666,0.6371681415929203,0.6085714285714285,0.21714285714285708,54,32,18,9
0.48000000000000004,0.8253968253968254,0.38,0.6265060240963856,0.6333333333333333,0.6283185840707964,0.6026984126984127,0.20539682539682547,52,31,19,11
0.49,0.8095238095238095,0.38,0.6219512195121951,0.6129032258064516,0.6194690265486725,0.5947619047619048,0.18952380952380965,51,31,19,12
0.5,0.8095238095238095,0.38,0.6219512195121951,0.6129032258064516,0.6194690265486725,0.5947619047619048,0.18952380952380965,51,31,19,12
0.51,0.8095238095238095,0.44,0.6455696202531646,0.6470588235294118,0.6460176991150443,0.6247619047619047,0.24952380952380948,51,28,22,12
0.52,0.8095238095238095,0.5,0.6710526315789473,0.6756756756756757,0.672566371681416,0.6547619047619048,0.30952380952380953,51,25,25,12
0.53,0.7936507936507936,0.54,0.684931506849315,0.675,0.6814159292035398,0.6668253968253968,0.33365079365079353,50,23,27,13
0.54,0.7936507936507936,0.56,0.6944444444444444,0.6829268292682927,0.6902654867256637,0.6768253968253968,0.35365079365079355,50,22,28,13
0.55,0.7777777777777778,0.56,0.6901408450704225,0.6666666666666666,0.6814159292035398,0.6688888888888889,0.33777777777777773,49,22,28,14
0.56,0.7619047619047619,0.56,0.6857142857142857,0.6511627906976745,0.672566371681416,0.660952380952381,0.3219047619047619,48,22,28,15
0.5700000000000001,0.746031746031746,0.56,0.6811594202898551,0.6363636363636364,0.6637168141592921,0.653015873015873,0.3060317460317461,47,22,28,16
0.5800000000000001,0.746031746031746,0.6,0.7014925373134329,0.6521739130434783,0.6814159292035398,0.6730158730158731,0.34603174603174613,47,20,30,16
0.59,0.7301587301587301,0.64,0.71875,0.6530612244897959,0.6902654867256637,0.6850793650793651,0.37015873015873013,46,18,32,17
0.6,0.6984126984126984,0.68,0.7333333333333333,0.6415094339622641,0.6902654867256637,0.6892063492063492,0.3784126984126983,44,16,34,19
0.61,0.6349206349206349,0.7,0.7272727272727273,0.603448275862069,0.6637168141592921,0.6674603174603174,0.33492063492063484,40,15,35,23
0.62,0.6190476190476191,0.7,0.7222222222222222,0.5932203389830508,0.6548672566371682,0.6595238095238095,0.319047619047619,39,15,35,24
0.63,0.6190476190476191,0.7,0.7222222222222222,0.5932203389830508,0.6548672566371682,0.6595238095238095,0.319047619047619,39,15,35,24
0.64,0.6031746031746031,0.7,0.7169811320754716,0.5833333333333334,0.6460176991150443,0.6515873015873015,0.303174603174603,38,15,35,25
0.65,0.5873015873015873,0.7,0.7115384615384616,0.5737704918032787,0.6371681415929203,0.6436507936507936,0.28730158730158717,37,15,35,26
0.66,0.5873015873015873,0.74,0.74,0.5873015873015873,0.6548672566371682,0.6636507936507936,0.3273015873015872,37,13,37,26
