Dataset,Run_Name,FS_METHOD,FS_N_FEATURES,USE_SMOTE,Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Pooled_PR_AUC,Mean_Bal_Acc,Pooled_Bal_Acc,Mean_F1,Pooled_F1,Avg_Features,N_Unique_Selected_Features,Mean_Kappa,Std_Kappa,Pooled_Kappa,Pooled_Kappa_CI95_Low,Pooled_Kappa_CI95_High,Pooled_AUC_CI95_Low,Pooled_AUC_CI95_High,Pooled_PR_AUC_CI95_Low,Pooled_PR_AUC_CI95_High,Pooled_Acc_CI95_Low,Pooled_Acc_CI95_High,Pooled_Bal_Acc_CI95_Low,Pooled_Bal_Acc_CI95_High,Pooled_F1_CI95_Low,Pooled_F1_CI95_High,Pooled_Rec_CI95_Low,Pooled_Rec_CI95_High,Pooled_Specificity_CI95_Low,Pooled_Specificity_CI95_High,Pooled_Brier,Pooled_Brier_CI95_Low,Pooled_Brier_CI95_High
Pre_Post1_Post2_ADC_T2,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr,auto,False,SVM_RBF,0.747,0.117,0.724,0.81,0.792,0.625,0.595,0.711,0.703,12.4,38,0.25,0.155,0.197,0.025,0.374,0.602,0.825,0.573,0.907,0.487,0.732,0.513,0.678,0.538,0.814,0.667,0.918,0.242,0.535,0.22,0.171,0.278
Pre_Post1_Post2_ADC_T2,elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr,auto,True,RandomForest,0.742,0.068,0.714,0.758,0.723,0.69,0.681,0.737,0.733,12.4,38,0.371,0.146,0.366,0.182,0.524,0.601,0.816,0.538,0.885,0.596,0.774,0.592,0.762,0.593,0.825,0.638,0.863,0.462,0.733,0.215,0.176,0.258
Pre_Post1_Post2_ADC_T2,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr,auto,False,LightGBM,0.723,0.065,0.715,0.749,0.719,0.663,0.657,0.669,0.672,8.4,36,0.311,0.126,0.31,0.102,0.489,0.602,0.818,0.525,0.884,0.55,0.748,0.552,0.749,0.504,0.785,0.458,0.783,0.561,0.806,0.221,0.186,0.254
Pre_Post1_Post2_ADC_T2,mrmr_then_elasticnet_no_corr_auto_k_smote,mrmr_then_elasticnet_no_corr,auto,True,SVM_Linear,0.722,0.116,0.715,0.789,0.785,0.616,0.615,0.662,0.656,8.4,36,0.229,0.291,0.23,0.011,0.432,0.587,0.823,0.619,0.901,0.504,0.723,0.506,0.722,0.494,0.775,0.491,0.794,0.436,0.733,0.214,0.176,0.255
Pre_Post1_Post2_ADC_T2,corr_mrmr_auto_k_no_smote,corr_mrmr,auto,False,GradientBoosting,0.685,0.197,0.647,0.78,0.735,0.593,0.573,0.634,0.641,12.8,43,0.198,0.207,0.148,-0.076,0.378,0.498,0.805,0.531,0.886,0.46,0.707,0.462,0.692,0.474,0.77,0.487,0.843,0.328,0.667,0.236,0.188,0.285
Pre_Post1_Post2_ADC_T2,corr_mrmr_auto_k_smote,corr_mrmr,auto,True,GradientBoosting,0.679,0.159,0.636,0.765,0.692,0.606,0.575,0.638,0.636,10.4,41,0.196,0.211,0.152,-0.066,0.374,0.501,0.772,0.485,0.847,0.471,0.696,0.467,0.69,0.49,0.746,0.51,0.782,0.333,0.69,0.236,0.199,0.271
