Quad_Tag,Dataset_A,Dataset_B,Dataset_C,Dataset_D,Rows_After_Merge,N_Features_Total,Label_Counts,FS_METHOD,FS_N_FEATURES,USE_SMOTE,Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Pooled_PR_AUC,Mean_Bal_Acc,Pooled_Bal_Acc,Mean_F1,Pooled_F1,Avg_Features,N_Unique_Selected_Features,Pooled_AUC_Macro_OvR,Pooled_AUC_Micro_OvR,Pooled_AUC_CI95_Low,Pooled_AUC_CI95_High,Std_PR_AUC,Pooled_PR_AUC_CI95_Low,Pooled_PR_AUC_CI95_High,Mean_Acc,Std_Acc,Pooled_Acc,Pooled_Acc_CI95_Low,Pooled_Acc_CI95_High,Std_Bal_Acc,Pooled_Bal_Acc_CI95_Low,Pooled_Bal_Acc_CI95_High,Mean_Prec,Std_Prec,Pooled_Prec,Pooled_Prec_CI95_Low,Pooled_Prec_CI95_High,Mean_Rec,Std_Rec,Pooled_Rec,Pooled_Rec_CI95_Low,Pooled_Rec_CI95_High,Std_F1,Pooled_F1_CI95_Low,Pooled_F1_CI95_High,Std_Specificity,Pooled_Specificity_CI95_Low,Pooled_Specificity_CI95_High,Mean_Kappa,Std_Kappa,Pooled_Kappa,Pooled_Kappa_CI95_Low,Pooled_Kappa_CI95_High,Pooled_Brier,Pooled_Brier_CI95_Low,Pooled_Brier_CI95_High,CI_Bootstrap_Requested,CI_Bootstrap_Min_Successful,Run_Name,Run_Dir,Final_Status,Result_Error
ADC_Post2_Pre_T2,ADC,Post2,Pre,T2,114,579,"{""0"": 50, ""1"": 64}",elasticnet_then_mrmr,auto,True,SVM_RBF,0.802000283076838,0.095892962648782,0.7234375000000001,0.8440880904250359,0.7968824456939129,0.7189845826687933,0.7003125,0.7010839118255998,0.7008547008547008,13.2,37,0.7234375,0.7236842105263158,0.6056010882233709,0.8241410105553547,0.1271137623845791,0.5806604120765464,0.9102920583034516,0.697592262809654,0.1060535397726451,0.6929824561403509,0.59043391188251,0.7933884297520661,0.1058230808056286,0.5917789938556067,0.8015347400979421,0.7813186813186813,0.1233600441489292,0.7735849056603774,0.5675450450450451,0.92,0.6743328017012228,0.1883203822387237,0.640625,0.4736602870813397,0.7894949066213921,0.1015880405334052,0.5392755324501091,0.8135651665692578,0.1688833308253669,0.6249487704918034,0.8947642543859647,0.4046798923858203,0.2130278713461547,0.3912114739090632,0.1809396173834001,0.5822311599810288,0.2172100836458411,0.1751735138399992,0.261066744543692,2000,2000,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_quad_concat_batch_smote_compare/ADC_Post2_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,success,
ADC_Post1_Post2_Pre,ADC,Post1,Post2,Pre,113,579,"{""0"": 50, ""1"": 63}",elasticnet_then_mrmr,auto,True,SVM_RBF,0.7904761904761906,0.0629960786151556,0.7650793650793651,0.8190883370104233,0.7948672459253328,0.7217063492063491,0.7188888888888889,0.7579310344827587,0.7596899224806202,6.0,17,0.7650793650793651,0.7726133604824184,0.6500027263041297,0.8563580280763323,0.1050956519047305,0.6009447238721968,0.9107763011237848,0.7319887955182072,0.051265448017402,0.7256637168141593,0.6354915528396837,0.8095357142857142,0.0310173311220029,0.6335716031280547,0.802019042465471,0.7519949494949495,0.1014917933828591,0.7424242424242424,0.5573711943793911,0.8764044943820225,0.7979365079365079,0.1468160443181758,0.7777777777777778,0.6585365853658537,0.8850621820237422,0.0666571535027777,0.625,0.8504241808483616,0.1779806099148694,0.5142664092664092,0.7916666666666666,0.4416178718736169,0.0682136144074541,0.440504711707395,0.2682220403855338,0.5977098666268166,0.1936880855441604,0.1561805699552629,0.2370145981427031,2000,2000,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_quad_concat_batch_smote_compare/ADC_Post1_Post2_Pre/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,success,
ADC_Post1_Post2_T2,ADC,Post1,Post2,T2,113,579,"{""0"": 50, ""1"": 63}",elasticnet_then_mrmr,auto,True,LogisticRegression,0.7879365079365079,0.072436712718471,0.7704761904761904,0.8429068148626971,0.8224610558316985,0.6972222222222222,0.6912698412698413,0.7191686702757483,0.7107438016528925,8.0,26,0.7704761904761905,0.7605920588926306,0.6611087570621469,0.8596451960267231,0.0655575771936872,0.6563752245065508,0.9212510612894104,0.6994677871148459,0.0774488985187802,0.6902654867256637,0.594045319166063,0.7767857142857143,0.0752312300129525,0.5915198233453954,0.7807583019003055,0.7460539460539461,0.0654527584503426,0.7413793103448276,0.5344540229885058,0.8933404255319148,0.7106349206349206,0.1247538266297084,0.6825396825396826,0.5483678955453148,0.7963041431261769,0.0726165636296303,0.5640625,0.8113234501347709,0.1201227641125939,0.5370257452574526,0.8571428571428571,0.3853130203130203,0.1599034845146707,0.3786331500392773,0.1805245141367287,0.5439808353808354,0.1984057437604249,0.1642500952883043,0.2384642923625972,2000,2000,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_quad_concat_batch_smote_compare/ADC_Post1_Post2_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,success,
ADC_Post1_Pre_T2,ADC,Post1,Pre,T2,113,579,"{""0"": 50, ""1"": 63}",elasticnet_then_mrmr,auto,False,SVM_Linear,0.7671428571428571,0.0632870698673597,0.725079365079365,0.818654977046231,0.7954687364473012,0.7020238095238096,0.6671428571428571,0.7087404549473516,0.7086614173228346,9.6,33,0.725079365079365,0.7273866395175816,0.6099714890843922,0.8338627055443486,0.116883896575042,0.615232310948288,0.9131979578272632,0.6729411764705883,0.0744958707302836,0.672566371681416,0.5555555555555556,0.7857316227461857,0.0691857312377595,0.5528907774306246,0.7834087127899089,0.7426767676767676,0.1789768162216044,0.703125,0.4827149716281101,0.8888888888888888,0.7433333333333334,0.1619480178755737,0.7142857142857143,0.56,0.8333333333333334,0.0712388499258581,0.5399920634920635,0.8275862068965517,0.2278759259810552,0.4459084084084084,0.8269396551724136,0.3706183645583201,0.1319918925816228,0.3349769365357086,0.1026647539267306,0.544600014605722,0.2118192135364878,0.1664994355749804,0.2585141050303912,2000,2000,elasticnet_then_mrmr_auto_k_no_smote,nested_cv_outputs_all_quad_concat_batch_smote_compare/ADC_Post1_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_no_smote,success,
Post1_Post2_Pre_T2,Post1,Post2,Pre,T2,116,580,"{""0"": 52, ""1"": 64}",elasticnet_then_mrmr,auto,True,SVM_RBF,0.7559943977591036,0.1839374122358487,0.7133413461538461,0.8328546045814754,0.7452620340191469,0.6855648926237162,0.6646634615384616,0.6724549643904483,0.6829268292682927,15.2,41,0.7133413461538461,0.7155915576694413,0.5573713570127504,0.8469227904040403,0.1338146082183603,0.5282080206391476,0.9115868108499056,0.6728406681688106,0.1438875934820609,0.6637931034482759,0.5309734513274337,0.778629331892184,0.155948184106682,0.5317727987150707,0.7782001040547798,0.6896428571428571,0.1045042828056178,0.711864406779661,0.4909005145797598,0.875,0.691764705882353,0.2212765730919293,0.65625,0.4489619985925405,0.8130959923966418,0.1321954481692872,0.4931026195626052,0.8062869447728424,0.137953768076411,0.5111111111111111,0.8292682926829268,0.3378331089485996,0.2807738284302252,0.3263847528290649,0.0608613572001683,0.5425539576280313,0.2238356309866159,0.1615005494731787,0.2995759387043935,2000,2000,elasticnet_then_mrmr_auto_k_smote,nested_cv_outputs_all_quad_concat_batch_smote_compare/Post1_Post2_Pre_T2/fs_method_comparison/elasticnet_then_mrmr_auto_k_smote,success,
