fold,n_estimators,max_depth,learning_rate,subsample
1,100,1,0.06549750379683224,0.7822221241125097
2,25,2,0.01087617173758401,0.9671234690326227
3,50,3,0.06571271013022326,0.8008335850362696
4,25,2,0.010131844303624045,0.7757279060334521
5,50,3,0.06571271013022326,0.8008335850362696
