Dataset,Run_Name,FS_METHOD,FS_N_FEATURES,USE_SMOTE,Model,Mean_AUC,Std_AUC,Pooled_AUC,Mean_PR_AUC,Pooled_PR_AUC,Mean_Bal_Acc,Pooled_Bal_Acc,Mean_F1,Pooled_F1,Avg_Features,N_Unique_Selected_Features,Mean_Kappa,Std_Kappa,Pooled_Kappa,Pooled_Kappa_CI95_Low,Pooled_Kappa_CI95_High,Pooled_AUC_CI95_Low,Pooled_AUC_CI95_High,Pooled_PR_AUC_CI95_Low,Pooled_PR_AUC_CI95_High,Pooled_Acc_CI95_Low,Pooled_Acc_CI95_High,Pooled_Bal_Acc_CI95_Low,Pooled_Bal_Acc_CI95_High,Pooled_F1_CI95_Low,Pooled_F1_CI95_High,Pooled_Rec_CI95_Low,Pooled_Rec_CI95_High,Pooled_Specificity_CI95_Low,Pooled_Specificity_CI95_High,Pooled_Brier,Pooled_Brier_CI95_Low,Pooled_Brier_CI95_High
ADC_M1,mrmr_then_elasticnet_no_corr_auto_k_smote,mrmr_then_elasticnet_no_corr,auto,True,SVM_Linear,0.764,0.08,0.691,0.799,0.72,0.693,0.682,0.671,0.684,8.8,29,0.367,0.131,0.356,0.165,0.525,0.563,0.809,0.513,0.894,0.581,0.765,0.585,0.775,0.533,0.797,0.477,0.761,0.604,0.87,0.229,0.189,0.274
ADC_M1,mrmr_then_elasticnet_no_corr_auto_k_no_smote,mrmr_then_elasticnet_no_corr,auto,False,LogisticRegression,0.762,0.072,0.715,0.816,0.758,0.714,0.698,0.686,0.706,8.8,29,0.401,0.121,0.389,0.199,0.557,0.592,0.832,0.559,0.907,0.6,0.783,0.603,0.79,0.554,0.808,0.5,0.786,0.607,0.878,0.217,0.178,0.258
ADC_M1,elasticnet_then_mrmr_auto_k_smote,elasticnet_then_mrmr,auto,True,LightGBM,0.76,0.06,0.726,0.817,0.766,0.685,0.664,0.701,0.698,13.2,27,0.362,0.178,0.326,0.116,0.521,0.607,0.836,0.583,0.894,0.56,0.769,0.559,0.766,0.545,0.808,0.528,0.829,0.486,0.795,0.238,0.172,0.306
ADC_M1,corr_mrmr_auto_k_no_smote,corr_mrmr,auto,False,LogisticRegression,0.748,0.026,0.703,0.802,0.764,0.689,0.672,0.669,0.678,12.0,36,0.366,0.131,0.338,0.125,0.532,0.583,0.816,0.579,0.899,0.562,0.767,0.565,0.772,0.516,0.796,0.452,0.784,0.566,0.854,0.221,0.19,0.252
ADC_M1,corr_mrmr_auto_k_smote,corr_mrmr,auto,True,LogisticRegression,0.732,0.032,0.696,0.796,0.758,0.689,0.668,0.681,0.689,12.0,36,0.358,0.105,0.332,0.132,0.522,0.58,0.81,0.569,0.893,0.568,0.767,0.567,0.77,0.543,0.803,0.5,0.8,0.52,0.833,0.226,0.194,0.26
ADC_M1,elasticnet_then_mrmr_auto_k_no_smote,elasticnet_then_mrmr,auto,False,KNN,0.728,0.041,0.668,0.745,0.699,0.681,0.666,0.688,0.694,13.2,27,0.34,0.115,0.329,0.133,0.512,0.541,0.783,0.504,0.849,0.568,0.763,0.568,0.761,0.539,0.8,0.521,0.805,0.509,0.804,0.236,0.187,0.289
