Fold,n_train,n_test,n_features,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,BestInnerAUC
2,97,20,16,"['Pre_D_P13', 'Pre_D_P14', 'Pre_D_P24', 'Pre_D_P26', 'Pre_D_P29', 'Pre_D_P30', 'Pre_D_P33', 'Pre_D_P36', 'Pre_D_P40', 'Pre_D_P48', 'Pre_D_P5']",SVM_Linear,0.5959595959595959,0.45,0.4292929292929293,0.6742827434003904,0.5,0.6363636363636364,0.56,0.2222222222222222,0.6081830065359477
2,97,20,16,"['Pre_D_P13', 'Pre_D_P14', 'Pre_D_P24', 'Pre_D_P26', 'Pre_D_P29', 'Pre_D_P30', 'Pre_D_P33', 'Pre_D_P36', 'Pre_D_P40', 'Pre_D_P48', 'Pre_D_P5']",RandomForest,0.40404040404040403,0.6,0.6262626262626263,0.6542443249592138,0.8,0.36363636363636365,0.5,0.8888888888888888,0.7045882352941176
2,97,20,16,"['Pre_D_P13', 'Pre_D_P14', 'Pre_D_P24', 'Pre_D_P26', 'Pre_D_P29', 'Pre_D_P30', 'Pre_D_P33', 'Pre_D_P36', 'Pre_D_P40', 'Pre_D_P48', 'Pre_D_P5']",GradientBoosting,0.40404040404040403,0.45,0.4595959595959596,0.668742660847924,0.5,0.36363636363636365,0.42105263157894735,0.5555555555555556,0.747157894736842
2,97,20,16,"['Pre_D_P13', 'Pre_D_P14', 'Pre_D_P24', 'Pre_D_P26', 'Pre_D_P29', 'Pre_D_P30', 'Pre_D_P33', 'Pre_D_P36', 'Pre_D_P40', 'Pre_D_P48', 'Pre_D_P5']",ExtraTrees,0.48484848484848486,0.5,0.5151515151515151,0.6808766943723319,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.6666666666666666,0.6594385964912282
2,97,20,16,"['Pre_D_P13', 'Pre_D_P14', 'Pre_D_P24', 'Pre_D_P26', 'Pre_D_P29', 'Pre_D_P30', 'Pre_D_P33', 'Pre_D_P36', 'Pre_D_P40', 'Pre_D_P48', 'Pre_D_P5']",KNN,0.5404040404040404,0.45,0.4292929292929293,0.5949494949494949,0.5,0.6363636363636364,0.56,0.2222222222222222,0.6637385620915033
2,97,20,16,"['Pre_D_P13', 'Pre_D_P14', 'Pre_D_P24', 'Pre_D_P26', 'Pre_D_P29', 'Pre_D_P30', 'Pre_D_P33', 'Pre_D_P36', 'Pre_D_P40', 'Pre_D_P48', 'Pre_D_P5']",NaiveBayes,0.5151515151515151,0.5,0.4949494949494949,0.6350568549097961,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.4444444444444444,0.5804912280701754
2,97,20,16,"['Pre_D_P13', 'Pre_D_P14', 'Pre_D_P24', 'Pre_D_P26', 'Pre_D_P29', 'Pre_D_P30', 'Pre_D_P33', 'Pre_D_P36', 'Pre_D_P40', 'Pre_D_P48', 'Pre_D_P5']",XGBoost,0.4848484848484848,0.5,0.5151515151515151,0.6964802827031931,0.5714285714285714,0.36363636363636365,0.4444444444444444,0.6666666666666666,0.745764705882353
2,97,20,16,"['Pre_D_P13', 'Pre_D_P14', 'Pre_D_P24', 'Pre_D_P26', 'Pre_D_P29', 'Pre_D_P30', 'Pre_D_P33', 'Pre_D_P36', 'Pre_D_P40', 'Pre_D_P48', 'Pre_D_P5']",LightGBM,0.494949494949495,0.45,0.46969696969696967,0.6725133405544326,0.5,0.2727272727272727,0.35294117647058826,0.6666666666666666,0.6604705882352941
3,86,31,16,"['Pre_D_P15', 'Pre_D_P18', 'Pre_D_P27', 'Pre_D_P41', 'Pre_D_P43', 'Pre_D_P46', 'Pre_D_P47', 'Pre_D_P50', 'Pre_D_P6']",LogisticRegression,0.5,0.4838709677419355,0.5,0.5161290322580645,0.0,0.0,0.0,1.0,0.484
3,86,31,16,"['Pre_D_P15', 'Pre_D_P18', 'Pre_D_P27', 'Pre_D_P41', 'Pre_D_P43', 'Pre_D_P46', 'Pre_D_P47', 'Pre_D_P50', 'Pre_D_P6']",SVM_RBF,0.2458333333333333,0.5161290322580645,0.5,0.3907713344464814,0.5161290322580645,1.0,0.6808510638297872,0.0,0.6339999999999999
3,86,31,16,"['Pre_D_P15', 'Pre_D_P18', 'Pre_D_P27', 'Pre_D_P41', 'Pre_D_P43', 'Pre_D_P46', 'Pre_D_P47', 'Pre_D_P50', 'Pre_D_P6']",SVM_Linear,0.4041666666666666,0.5161290322580645,0.5,0.46970541983912373,0.5161290322580645,1.0,0.6808510638297872,0.0,0.5885751633986928
3,86,31,16,"['Pre_D_P15', 'Pre_D_P18', 'Pre_D_P27', 'Pre_D_P41', 'Pre_D_P43', 'Pre_D_P46', 'Pre_D_P47', 'Pre_D_P50', 'Pre_D_P6']",RandomForest,0.6166666666666667,0.6129032258064516,0.6125,0.5946490760589226,0.625,0.625,0.625,0.6,0.5281176470588235
3,86,31,16,"['Pre_D_P15', 'Pre_D_P18', 'Pre_D_P27', 'Pre_D_P41', 'Pre_D_P43', 'Pre_D_P46', 'Pre_D_P47', 'Pre_D_P50', 'Pre_D_P6']",GradientBoosting,0.6104166666666667,0.6451612903225806,0.64375,0.6162426982739483,0.6470588235294118,0.6875,0.6666666666666666,0.6,0.4938039215686274
3,86,31,16,"['Pre_D_P15', 'Pre_D_P18', 'Pre_D_P27', 'Pre_D_P41', 'Pre_D_P43', 'Pre_D_P46', 'Pre_D_P47', 'Pre_D_P50', 'Pre_D_P6']",ExtraTrees,0.6958333333333333,0.6774193548387096,0.675,0.6600085236866015,0.6666666666666666,0.75,0.7058823529411765,0.6,0.41200000000000003
3,86,31,16,"['Pre_D_P15', 'Pre_D_P18', 'Pre_D_P27', 'Pre_D_P41', 'Pre_D_P43', 'Pre_D_P46', 'Pre_D_P47', 'Pre_D_P50', 'Pre_D_P6']",KNN,0.6916666666666667,0.6451612903225806,0.6416666666666666,0.6564862334223747,0.631578947368421,0.75,0.6857142857142857,0.5333333333333333,0.4800000000000001
