,LogisticRegression,SVM_RBF,SVM_Linear,XGBoost,NaiveBayes,LightGBM,GradientBoosting,RandomForest,ExtraTrees,KNN
LogisticRegression,1.0,0.036146438584007325,0.028688827443973944,0.9555177749182794,0.023858443650074567,0.35387889750539414,0.17548766303538033,0.03330141292781608,0.04615406552529869,0.00020209022450629177
SVM_RBF,0.036146438584007325,1.0,0.4984338971576666,0.4739827385041351,0.1957313157886994,0.8262604233134491,0.49095477182429725,0.17520474430549193,0.188846074213462,0.0012599667207270574
SVM_Linear,0.028688827443973944,0.4984338971576666,1.0,0.3244269360904817,0.34548588064896535,0.9923310219406618,0.614701789128203,0.25678446747329153,0.2724369641538531,0.003540923725493097
XGBoost,0.9555177749182794,0.4739827385041351,0.3244269360904817,1.0,0.1482587391610377,0.2651005348597435,0.05532781853527718,0.012973397211427883,0.058565667495499026,0.00047863233992380654
NaiveBayes,0.023858443650074567,0.1957313157886994,0.34548588064896535,0.1482587391610377,1.0,0.47849088453934907,0.7581067962908223,0.9877887722028501,0.9838144627718425,0.11834098524024057
LightGBM,0.35387889750539414,0.8262604233134491,0.9923310219406618,0.2651005348597435,0.47849088453934907,1.0,0.5904065632972484,0.22347429229377969,0.35142672083828197,0.012510658829796231
GradientBoosting,0.17548766303538033,0.49095477182429725,0.614701789128203,0.05532781853527718,0.7581067962908223,0.5904065632972484,1.0,0.49029635781846737,0.627323930577327,0.016828348869087816
RandomForest,0.03330141292781608,0.17520474430549193,0.25678446747329153,0.012973397211427883,0.9877887722028501,0.22347429229377969,0.49029635781846737,1.0,0.9334565726821158,0.044478688821703284
ExtraTrees,0.04615406552529869,0.188846074213462,0.2724369641538531,0.058565667495499026,0.9838144627718425,0.35142672083828197,0.627323930577327,0.9334565726821158,1.0,0.036688255615570535
KNN,0.00020209022450629177,0.0012599667207270574,0.003540923725493097,0.00047863233992380654,0.11834098524024057,0.012510658829796231,0.016828348869087816,0.044478688821703284,0.036688255615570535,1.0
