,LogisticRegression,RandomForest,SVM_Linear,ExtraTrees,LightGBM,KNN,GradientBoosting,XGBoost,SVM_RBF,NaiveBayes
LogisticRegression,0.0,3.02062248035825,5.213320304149402,2.504264768382036,3.414033066841608,2.7389983468496824,3.499253353168266,2.662575358930513,3.9314174241239446,4.623481081073986
RandomForest,-3.02062248035825,0.0,0.5170902949037972,-0.7757363666704166,0.8229518905326622,0.16849432593786606,0.8916659045593816,0.18706440785600378,0.8343263701647734,1.94866040342212
SVM_Linear,-5.213320304149402,-0.5170902949037972,0.0,-1.164624424388911,0.2506028748797645,-0.29891454937170325,0.43001413778313863,-0.20823051257478542,0.29992711497241664,2.015399905601806
ExtraTrees,-2.504264768382036,0.7757363666704166,1.164624424388911,0.0,1.3094484503182346,0.6938095220327298,1.3600668817711825,0.5709942603884146,1.1912835386395701,2.3901969368586835
LightGBM,-3.414033066841608,-0.8229518905326622,-0.2506028748797645,-1.3094484503182346,0.0,-0.5296222617077183,0.19445672602173408,-0.4196099094849571,-0.017028762191361704,1.2523096925884
KNN,-2.7389983468496824,-0.16849432593786606,0.29891454937170325,-0.6938095220327298,0.5296222617077183,0.0,0.6311637027964492,0.04480844803315419,0.5359109312625026,1.662981192097199
GradientBoosting,-3.499253353168266,-0.8916659045593816,-0.43001413778313863,-1.3600668817711825,-0.19445672602173408,-0.6311637027964492,0.0,-0.6564777179286048,-0.17689013222503971,1.0757230054272577
XGBoost,-2.662575358930513,-0.18706440785600378,0.20823051257478542,-0.5709942603884146,0.4196099094849571,-0.04480844803315419,0.6564777179286048,0.0,0.3976214200667613,1.5253596817288804
SVM_RBF,-3.9314174241239446,-0.8343263701647734,-0.29992711497241664,-1.1912835386395701,0.017028762191361704,-0.5359109312625026,0.17689013222503971,-0.3976214200667613,0.0,1.5072331731134332
NaiveBayes,-4.623481081073986,-1.94866040342212,-2.015399905601806,-2.3901969368586835,-1.2523096925884,-1.662981192097199,-1.0757230054272577,-1.5253596817288804,-1.5072331731134332,0.0
