Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
LightGBM,0.5264,+0.0961,4.59e-01,1.00e+00,✗,✗
GradientBoosting,0.5511,+0.0714,4.95e-01,1.00e+00,✗,✗
KNN,0.5664,+0.0560,7.16e-01,1.00e+00,✗,✗
XGBoost,0.5685,+0.0540,9.45e-01,1.00e+00,✗,✗
RandomForest,0.5841,+0.0384,8.50e-01,1.00e+00,✗,✗
SVM_Linear,0.5929,+0.0296,6.63e-02,1.00e+00,✗,✗
LogisticRegression,0.6015,+0.0209,8.79e-01,1.00e+00,✗,✗
ExtraTrees,0.6096,+0.0129,9.02e-01,1.00e+00,✗,✗
NaiveBayes,0.6169,+0.0055,6.73e-01,1.00e+00,✗,✗
