Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.756 ± 0.165,0.845 ± 0.087,0.707 ± 0.140,0.716 ± 0.145,0.764 ± 0.064,0.706 ± 0.219,0.719 ± 0.116,0.727 ± 0.157,10.400 ± 5.727
SVM_Linear,0.756 ± 0.119,0.799 ± 0.083,0.734 ± 0.144,0.744 ± 0.148,0.792 ± 0.062,0.719 ± 0.206,0.742 ± 0.119,0.769 ± 0.131,10.400 ± 5.727
LogisticRegression,0.745 ± 0.130,0.792 ± 0.084,0.717 ± 0.143,0.722 ± 0.152,0.756 ± 0.053,0.731 ± 0.196,0.735 ± 0.115,0.713 ± 0.144,10.400 ± 5.727
XGBoost,0.729 ± 0.144,0.797 ± 0.051,0.689 ± 0.038,0.708 ± 0.043,0.723 ± 0.145,0.738 ± 0.210,0.698 ± 0.077,0.678 ± 0.154,10.400 ± 5.727
ExtraTrees,0.726 ± 0.148,0.804 ± 0.058,0.691 ± 0.114,0.710 ± 0.119,0.743 ± 0.100,0.685 ± 0.240,0.687 ± 0.118,0.736 ± 0.132,10.400 ± 5.727
RandomForest,0.720 ± 0.190,0.831 ± 0.087,0.673 ± 0.090,0.688 ± 0.100,0.718 ± 0.096,0.696 ± 0.270,0.670 ± 0.120,0.680 ± 0.173,10.400 ± 5.727
LightGBM,0.717 ± 0.134,0.792 ± 0.026,0.646 ± 0.118,0.657 ± 0.133,0.674 ± 0.084,0.667 ± 0.245,0.648 ± 0.129,0.647 ± 0.117,10.400 ± 5.727
GradientBoosting,0.708 ± 0.182,0.793 ± 0.073,0.672 ± 0.159,0.694 ± 0.151,0.702 ± 0.116,0.666 ± 0.310,0.653 ± 0.197,0.722 ± 0.063,10.400 ± 5.727
KNN,0.697 ± 0.133,0.787 ± 0.049,0.667 ± 0.084,0.672 ± 0.095,0.719 ± 0.137,0.644 ± 0.100,0.666 ± 0.065,0.700 ± 0.167,10.400 ± 5.727
NaiveBayes,0.682 ± 0.156,0.730 ± 0.075,0.614 ± 0.140,0.609 ± 0.134,0.664 ± 0.129,0.659 ± 0.215,0.639 ± 0.115,0.560 ± 0.330,10.400 ± 5.727
