,SVM_RBF,SVM_Linear,LogisticRegression,XGBoost,ExtraTrees,RandomForest,LightGBM,GradientBoosting,KNN,NaiveBayes
SVM_RBF,0.0,0.3005155169270023,0.8425352731800732,0.9452639351165604,1.2011289113164998,1.29662926372701,1.2635120880863273,1.1568723376140795,1.7181837903329389,3.93865474227361
SVM_Linear,-0.3005155169270023,0.0,1.09560020803965,0.703578347322871,0.820443608701075,0.9383461005228477,1.0924297891112276,0.9065088267367354,1.5474004581032015,3.668961792322685
LogisticRegression,-0.8425352731800732,-1.09560020803965,0.0,0.45559329508858804,0.4860797061830163,0.661080952916494,0.9000763351702266,0.6278222055558086,1.296881482499026,3.4750331602723508
XGBoost,-0.9452639351165604,-0.703578347322871,-0.45559329508858804,0.0,-0.10636969271891639,0.27917141051759514,0.77137718551525,0.19360804739867138,0.7334232828287592,2.3688123200291153
ExtraTrees,-1.2011289113164998,-0.820443608701075,-0.4860797061830163,0.10636969271891639,0.0,0.39327708182134186,0.7144637586374328,0.31928235253764986,0.8662169801959699,2.9081366310837566
RandomForest,-1.29662926372701,-0.9383461005228477,-0.661080952916494,-0.27917141051759514,-0.39327708182134186,0.0,0.5727587990062932,-0.11168371595565328,0.5305121980460882,2.1328107649547112
LightGBM,-1.2635120880863273,-1.0924297891112276,-0.9000763351702266,-0.77137718551525,-0.7144637586374328,-0.5727587990062932,0.0,-0.6817078845921823,0.009225446760691017,1.3338396369495762
GradientBoosting,-1.1568723376140795,-0.9065088267367354,-0.6278222055558086,-0.19360804739867138,-0.31928235253764986,0.11168371595565328,0.6817078845921823,0.0,0.6185369816065309,2.259715448982747
KNN,-1.7181837903329389,-1.5474004581032015,-1.296881482499026,-0.7334232828287592,-0.8662169801959699,-0.5305121980460882,-0.009225446760691017,-0.6185369816065309,0.0,1.707810637951846
NaiveBayes,-3.93865474227361,-3.668961792322685,-3.4750331602723508,-2.3688123200291153,-2.9081366310837566,-2.1328107649547112,-1.3338396369495762,-2.259715448982747,-1.707810637951846,0.0
