Fold,Repeat,Fold_Within_Repeat,Split_Random_State,Outer_CV_Strategy,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,train_class_distribution,test_class_distribution,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,Decision_Threshold,BestInnerAUC
1,1,1,100,repeated_stratified_group_kfold,90,27,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 47, np.int64(0): 43}","{np.int64(1): 18, np.int64(0): 9}","['Pre_D_P1', 'Pre_D_P10', 'Pre_D_P16', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P3', 'Pre_D_P31', 'Pre_D_P4', 'Pre_D_P49', 'Pre_D_P7']",LogisticRegression,0.6358024691358024,0.6296296296296297,0.6666666666666667,0.7755834143114846,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.5546344155300482,0.7172142857142857
1,1,1,100,repeated_stratified_group_kfold,90,27,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 47, np.int64(0): 43}","{np.int64(1): 18, np.int64(0): 9}","['Pre_D_P1', 'Pre_D_P10', 'Pre_D_P16', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P3', 'Pre_D_P31', 'Pre_D_P4', 'Pre_D_P49', 'Pre_D_P7']",NaiveBayes,0.654320987654321,0.6666666666666666,0.6666666666666666,0.7917825879448687,0.8,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.5277755036321304,0.6363076923076922
1,1,1,100,repeated_stratified_group_kfold,90,27,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 47, np.int64(0): 43}","{np.int64(1): 18, np.int64(0): 9}","['Pre_D_P1', 'Pre_D_P10', 'Pre_D_P16', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P3', 'Pre_D_P31', 'Pre_D_P4', 'Pre_D_P49', 'Pre_D_P7']",SVM_Linear,0.6419753086419753,0.37037037037037035,0.5,0.7599076600011001,0.6666666666666666,0.1111111111111111,0.19047619047619047,0.8888888888888888,0.7281848260726141,0.6593846153846153
1,1,1,100,repeated_stratified_group_kfold,90,27,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 47, np.int64(0): 43}","{np.int64(1): 18, np.int64(0): 9}","['Pre_D_P1', 'Pre_D_P10', 'Pre_D_P16', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P3', 'Pre_D_P31', 'Pre_D_P4', 'Pre_D_P49', 'Pre_D_P7']",SVM_RBF,0.6419753086419754,0.37037037037037035,0.5,0.7840119020877985,0.6666666666666666,0.1111111111111111,0.19047619047619047,0.8888888888888888,0.6929138287935888,0.6547142857142857
1,1,1,100,repeated_stratified_group_kfold,90,27,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 47, np.int64(0): 43}","{np.int64(1): 18, np.int64(0): 9}","['Pre_D_P1', 'Pre_D_P10', 'Pre_D_P16', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P3', 'Pre_D_P31', 'Pre_D_P4', 'Pre_D_P49', 'Pre_D_P7']",XGBoost,0.7716049382716048,0.6296296296296297,0.6666666666666667,0.8986438806291748,0.8333333333333334,0.5555555555555556,0.6666666666666666,0.7777777777777778,0.5690885400772094,0.7170769230769231
1,1,1,100,repeated_stratified_group_kfold,90,27,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 47, np.int64(0): 43}","{np.int64(1): 18, np.int64(0): 9}","['Pre_D_P1', 'Pre_D_P10', 'Pre_D_P16', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P3', 'Pre_D_P31', 'Pre_D_P4', 'Pre_D_P49', 'Pre_D_P7']",LightGBM,0.7592592592592593,0.7037037037037037,0.7222222222222222,0.889023908190575,0.8571428571428571,0.6666666666666666,0.75,0.7777777777777778,0.48787948976451734,0.7172142857142857
1,1,1,100,repeated_stratified_group_kfold,90,27,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 47, np.int64(0): 43}","{np.int64(1): 18, np.int64(0): 9}","['Pre_D_P1', 'Pre_D_P10', 'Pre_D_P16', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P3', 'Pre_D_P31', 'Pre_D_P4', 'Pre_D_P49', 'Pre_D_P7']",ExtraTrees,0.7098765432098766,0.6296296296296297,0.5833333333333333,0.8542194619027527,0.7222222222222222,0.7222222222222222,0.7222222222222222,0.4444444444444444,0.4251896221991623,0.7209230769230769
2,1,2,100,repeated_stratified_group_kfold,97,20,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 54, np.int64(0): 43}","{np.int64(0): 9, np.int64(1): 11}","['Pre_D_P13', 'Pre_D_P14', 'Pre_D_P24', 'Pre_D_P26', 'Pre_D_P29', 'Pre_D_P30', 'Pre_D_P33', 'Pre_D_P36', 'Pre_D_P40', 'Pre_D_P48', 'Pre_D_P5']",LogisticRegression,0.7373737373737373,0.6,0.606060606060606,0.7994851108487473,0.6666666666666666,0.5454545454545454,0.6,0.6666666666666666,0.4718060230687536,0.7045263157894737
2,1,2,100,repeated_stratified_group_kfold,97,20,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 54, np.int64(0): 43}","{np.int64(0): 9, np.int64(1): 11}","['Pre_D_P13', 'Pre_D_P14', 'Pre_D_P24', 'Pre_D_P26', 'Pre_D_P29', 'Pre_D_P30', 'Pre_D_P33', 'Pre_D_P36', 'Pre_D_P40', 'Pre_D_P48', 'Pre_D_P5']",NaiveBayes,0.6161616161616162,0.6,0.6363636363636364,0.7213902118771243,1.0,0.2727272727272727,0.42857142857142855,1.0,0.9165610136762035,0.5704705882352942
2,1,2,100,repeated_stratified_group_kfold,97,20,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 54, np.int64(0): 43}","{np.int64(0): 9, np.int64(1): 11}","['Pre_D_P13', 'Pre_D_P14', 'Pre_D_P24', 'Pre_D_P26', 'Pre_D_P29', 'Pre_D_P30', 'Pre_D_P33', 'Pre_D_P36', 'Pre_D_P40', 'Pre_D_P48', 'Pre_D_P5']",SVM_Linear,0.7272727272727272,0.6,0.606060606060606,0.8127074945256765,0.6666666666666666,0.5454545454545454,0.6,0.6666666666666666,0.5152451517555123,0.6562807017543859
2,1,2,100,repeated_stratified_group_kfold,97,20,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 54, np.int64(0): 43}","{np.int64(0): 9, np.int64(1): 11}","['Pre_D_P13', 'Pre_D_P14', 'Pre_D_P24', 'Pre_D_P26', 'Pre_D_P29', 'Pre_D_P30', 'Pre_D_P33', 'Pre_D_P36', 'Pre_D_P40', 'Pre_D_P48', 'Pre_D_P5']",SVM_RBF,0.7373737373737373,0.65,0.6717171717171717,0.8161157024793388,0.8333333333333334,0.45454545454545453,0.5882352941176471,0.8888888888888888,0.5636847630259668,0.667202614379085
2,1,2,100,repeated_stratified_group_kfold,97,20,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 54, np.int64(0): 43}","{np.int64(0): 9, np.int64(1): 11}","['Pre_D_P13', 'Pre_D_P14', 'Pre_D_P24', 'Pre_D_P26', 'Pre_D_P29', 'Pre_D_P30', 'Pre_D_P33', 'Pre_D_P36', 'Pre_D_P40', 'Pre_D_P48', 'Pre_D_P5']",XGBoost,0.41414141414141414,0.6,0.6363636363636364,0.6382509303561935,1.0,0.2727272727272727,0.42857142857142855,1.0,0.7946107339859009,0.8044575163398693
2,1,2,100,repeated_stratified_group_kfold,97,20,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 54, np.int64(0): 43}","{np.int64(0): 9, np.int64(1): 11}","['Pre_D_P13', 'Pre_D_P14', 'Pre_D_P24', 'Pre_D_P26', 'Pre_D_P29', 'Pre_D_P30', 'Pre_D_P33', 'Pre_D_P36', 'Pre_D_P40', 'Pre_D_P48', 'Pre_D_P5']",LightGBM,0.35353535353535354,0.45,0.46969696969696967,0.5867746288798921,0.5,0.2727272727272727,0.35294117647058826,0.6666666666666666,0.6776055659398967,0.8116470588235294
2,1,2,100,repeated_stratified_group_kfold,97,20,6,6,6,fixed,elasticnet_then_mrmr,"{np.int64(1): 54, np.int64(0): 43}","{np.int64(0): 9, np.int64(1): 11}","['Pre_D_P13', 'Pre_D_P14', 'Pre_D_P24', 'Pre_D_P26', 'Pre_D_P29', 'Pre_D_P30', 'Pre_D_P33', 'Pre_D_P36', 'Pre_D_P40', 'Pre_D_P48', 'Pre_D_P5']",ExtraTrees,0.4848484848484848,0.45,0.46969696969696967,0.641394968667696,0.5,0.2727272727272727,0.35294117647058826,0.6666666666666666,0.49803416741340034,0.8028235294117647
