,LogisticRegression,NaiveBayes,SVM_Linear,XGBoost,ExtraTrees,SVM_RBF,LightGBM
LogisticRegression,1.0,0.013344230762364039,1.5950938069292903e-05,0.3603991297032768,0.015265803071664131,0.00028942569559066076,0.07525554982258033
NaiveBayes,0.013344230762364039,1.0,0.6099679303481294,0.35106360029003114,0.7906200451061033,0.7705972715339704,0.9088921617847764
SVM_Linear,1.5950938069292903e-05,0.6099679303481294,1.0,0.12338925321698009,0.39006410532211155,0.5298665992273959,0.579395153834353
XGBoost,0.3603991297032768,0.35106360029003114,0.12338925321698009,1.0,0.3494142103298097,0.17952378510020517,0.14470660845098626
ExtraTrees,0.015265803071664131,0.7906200451061033,0.39006410532211155,0.3494142103298097,1.0,0.5328145965542395,0.8965142231069916
SVM_RBF,0.00028942569559066076,0.7705972715339704,0.5298665992273959,0.17952378510020517,0.5328145965542395,1.0,0.7172741859911211
LightGBM,0.07525554982258033,0.9088921617847764,0.579395153834353,0.14470660845098626,0.8965142231069916,0.7172741859911211,1.0
