Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.683 ± 0.118,0.704 ± 0.159,0.632 ± 0.125,0.638 ± 0.109,0.637 ± 0.198,0.765 ± 0.151,0.667 ± 0.140,0.510 ± 0.266,6.000 ± 0.000
NaiveBayes,0.653 ± 0.113,0.693 ± 0.143,0.589 ± 0.149,0.582 ± 0.097,0.617 ± 0.218,0.707 ± 0.286,0.607 ± 0.199,0.457 ± 0.328,6.000 ± 0.000
SVM_Linear,0.651 ± 0.138,0.688 ± 0.151,0.545 ± 0.136,0.569 ± 0.107,0.607 ± 0.193,0.638 ± 0.277,0.553 ± 0.183,0.501 ± 0.324,6.000 ± 0.000
XGBoost,0.648 ± 0.132,0.739 ± 0.147,0.565 ± 0.077,0.594 ± 0.075,0.634 ± 0.232,0.638 ± 0.216,0.578 ± 0.125,0.550 ± 0.274,6.000 ± 0.000
ExtraTrees,0.635 ± 0.146,0.676 ± 0.172,0.568 ± 0.096,0.596 ± 0.097,0.598 ± 0.180,0.674 ± 0.218,0.595 ± 0.129,0.518 ± 0.210,6.000 ± 0.000
SVM_RBF,0.619 ± 0.174,0.660 ± 0.189,0.555 ± 0.123,0.593 ± 0.092,0.551 ± 0.290,0.520 ± 0.308,0.484 ± 0.246,0.667 ± 0.288,6.000 ± 0.000
LightGBM,0.607 ± 0.173,0.701 ± 0.169,0.524 ± 0.088,0.553 ± 0.093,0.579 ± 0.274,0.488 ± 0.222,0.483 ± 0.177,0.619 ± 0.254,6.000 ± 0.000
