Feature_Original,Feature_Sanitized,MeanAbsSHAP,Selection_Count
Pre_GLSZM_NormalisedGreyLevelNonUniformity,Pre_GLSZM_NormalisedGreyLevelNonUniformity,0.11309888330615225,3
ADC_IH_IntensityHistogramMedian_Intensity,ADC_IH_IntensityHistogramMedian_Intensity,0.1083680841598341,4
ADC_GLCM_ClusterTendency,ADC_GLCM_ClusterTendency,0.08590521172613401,3
T2_GLCM_ClusterShade,T2_GLCM_ClusterShade,0.05788979795569787,3
Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,Pre_Morph_MaxIntensityCoor_PerimeterCoor_2DSagittalSmallestDist_mm,0.05725220995690601,2
T2_IH_IntensityHistogramMinimumGreyLevel_Intensity,T2_IH_IntensityHistogramMinimumGreyLevel_Intensity,0.056002456587522516,2
Pre_GLSZM_LargeZoneLowGreyLevelEmphasis,Pre_GLSZM_LargeZoneLowGreyLevelEmphasis,0.04159791012365606,3
Pre_Morph_Compactness2,Pre_Morph_Compactness2,0.041013531642630316,4
Pre_Morph_Compactness1,Pre_Morph_Compactness1,0.0378524701820219,3
Pre_GLSZM_SmallZoneLowGreyLevelEmphasis,Pre_GLSZM_SmallZoneLowGreyLevelEmphasis,0.03658513498295397,2
Pre_GLSZM_ZonePercentage,Pre_GLSZM_ZonePercentage,0.03248799195980541,2
Pre_GLSZM_GreyLevelVariance,Pre_GLSZM_GreyLevelVariance,0.030403711921482928,3
Pre_GLSZM_LargeZoneHighGreyLevelEmphasis,Pre_GLSZM_LargeZoneHighGreyLevelEmphasis,0.028564864880654496,2
Pre_GLSZM_GreyLevelNonUniformity,Pre_GLSZM_GreyLevelNonUniformity,0.026682559171135115,2
Pre_GLSZM_NormalisedZoneSizeNonUniformity,Pre_GLSZM_NormalisedZoneSizeNonUniformity,0.023437125881030304,2
Pre_GLSZM_ZoneSizeVariance,Pre_GLSZM_ZoneSizeVariance,0.020786055780976823,3
ADC_IB_MedianIntensity,ADC_IB_MedianIntensity,0.013989171695756898,2
T2_Morph_SurfaceToVolumeRatio_cm,T2_Morph_SurfaceToVolumeRatio_cm,0.01219055803036126,2
T2_Morph_Compactness2,T2_Morph_Compactness2,0.004196180109699777,2
Pre_Morph_Sphericity,Pre_Morph_Sphericity,0.0024953789015135534,2
