fold,C
1,0.014914880124867256
2,0.004989653216697847
3,0.014914880124867256
4,0.23938918670661066
5,0.004989653216697847
6,0.014914880124867256
7,0.23938918670661066
8,0.014914880124867256
9,0.23938918670661066
10,0.23938918670661066
11,0.014914880124867256
12,0.014914880124867256
13,0.014914880124867256
14,0.014914880124867256
15,0.014914880124867256
