fold,auc,pr_auc,accuracy,bal_accuracy,f1_score,precision,recall,n_features
1,0.5,0.6666666666666666,0.6666666666666666,0.5,0.8,0.6666666666666666,1.0,6
2,0.5,0.55,0.55,0.5,0.7096774193548387,0.55,1.0,6
3,0.5,0.5161290322580645,0.5161290322580645,0.5,0.6808510638297872,0.5161290322580645,1.0,6
4,0.5,0.6153846153846154,0.6153846153846154,0.5,0.7619047619047619,0.6153846153846154,1.0,6
5,0.5,0.3076923076923077,0.3076923076923077,0.5,0.47058823529411764,0.3076923076923077,1.0,6
6,0.5,0.5263157894736842,0.5263157894736842,0.5,0.6896551724137931,0.5263157894736842,1.0,6
7,0.5,0.6774193548387096,0.6774193548387096,0.5,0.8076923076923077,0.6774193548387096,1.0,6
8,0.4909090909090909,0.6146111960047972,0.5945945945945946,0.5,0.7457627118644068,0.5945945945945946,1.0,6
9,0.15,0.24285714285714285,0.14285714285714285,0.25,0.25,0.16666666666666666,0.5,6
10,0.5,0.43478260869565216,0.43478260869565216,0.5,0.6060606060606061,0.43478260869565216,1.0,6
11,0.5,0.37037037037037035,0.6296296296296297,0.5,0.0,0.0,0.0,6
12,0.4888888888888889,0.6655494673461426,0.4642857142857143,0.4722222222222222,0.5161290322580645,0.6153846153846154,0.4444444444444444,6
13,0.5,0.6296296296296297,0.6296296296296297,0.5,0.7727272727272727,0.6296296296296297,1.0,6
14,0.6458333333333333,0.5285714285714286,0.25,0.5,0.4,0.25,1.0,6
15,0.5,0.8421052631578947,0.15789473684210525,0.5,0.0,0.0,0.0,6
