fold,auc,pr_auc,accuracy,bal_accuracy,f1_score,precision,recall,n_features
1,0.7385620915032679,0.8584808897975897,0.6153846153846154,0.6274509803921569,0.6666666666666666,0.7692307692307693,0.5882352941176471,6
2,0.59375,0.7777777777777778,0.4444444444444444,0.4375,0.5,0.5,0.5,6
3,0.542016806722689,0.5739126219628605,0.5806451612903226,0.5735294117647058,0.6285714285714286,0.6111111111111112,0.6470588235294118,6
4,0.7892156862745098,0.8356050212560867,0.6206896551724138,0.6519607843137255,0.5925925925925926,0.8,0.47058823529411764,6
5,0.611111111111111,0.5396825396825397,0.5,0.5555555555555556,0.4,0.2857142857142857,0.6666666666666666,6
6,0.7307692307692308,0.8574889011123827,0.7368421052631579,0.6730769230769231,0.8148148148148148,0.7857142857142857,0.8461538461538461,6
7,0.7407407407407407,0.7222702735860631,0.7142857142857143,0.7222222222222222,0.7,0.6363636363636364,0.7777777777777778,6
8,0.579059829059829,0.7020877126210683,0.5454545454545454,0.5555555555555556,0.5652173913043478,0.65,0.5,6
9,0.65,0.4585714285714286,0.6,0.55,0.4,0.4,0.4,6
10,0.6363636363636364,0.8310581130099847,0.5882352941176471,0.5681818181818181,0.6666666666666666,0.7,0.6363636363636364,6
11,0.8562091503267973,0.8493636050911593,0.6153846153846154,0.6797385620915033,0.6153846153846154,0.47058823529411764,0.8888888888888888,6
12,0.43356643356643354,0.5479262825238057,0.4583333333333333,0.465034965034965,0.43478260869565216,0.5,0.38461538461538464,6
13,0.625,0.8392924477483301,0.5555555555555556,0.6666666666666666,0.5,1.0,0.3333333333333333,6
14,0.515625,0.6431703099419985,0.5,0.55625,0.43478260869565216,0.7142857142857143,0.3125,6
15,0.7276785714285714,0.7986190396904682,0.6363636363636364,0.6071428571428572,0.7142857142857143,0.7142857142857143,0.7142857142857143,6
