metric,mean,std,min,max,pooled
AUC,0.6784982882041707,0.09292372971362668,0.525,0.7983193277310925,0.654747596153846
PR_AUC,0.7448815373844753,0.08239940716189251,0.6606746031746031,0.8660890220003373,0.7190679503801425
Accuracy,0.5946055921584287,0.06467337157218543,0.5,0.6774193548387096,0.6120689655172413
Bal_Accuracy,0.6026493930905696,0.041252878700112176,0.5555555555555556,0.6680672268907563,0.6105769230769231
F1_Score,0.5918192918192917,0.1271016174791264,0.4,0.7428571428571429,0.64
Precision,0.618984962406015,0.17391549030216838,0.2857142857142857,0.7777777777777778,0.6557377049180327
Recall,0.6215686274509803,0.14269337567576668,0.4117647058823529,0.7647058823529411,0.625
