fold,n_estimators,max_depth,learning_rate,subsample
1,25,2,0.07786135445417827,0.7627606366351568
2,25,2,0.01087617173758401,0.9671234690326227
3,25,2,0.01087617173758401,0.9671234690326227
4,25,2,0.07786135445417827,0.7627606366351568
5,25,1,0.046854260167712165,0.9477558265315142
