Metric,Value
ROC-AUC,0.7876190476190477
PR-AUC,0.8387662071197333
Balanced Acc.,0.7153968253968255
Sensitivity,0.6507936507936508
Specificity,0.78
PPV,0.7884615384615384
NPV,0.639344262295082
Kappa,0.4212323451808164
