Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
SVM_RBF,0.696 ± 0.120,0.765 ± 0.125,0.601 ± 0.123,0.592 ± 0.100,0.585 ± 0.307,0.555 ± 0.306,0.539 ± 0.263,0.630 ± 0.296,6.000 ± 0.000
SVM_Linear,0.692 ± 0.101,0.762 ± 0.130,0.597 ± 0.127,0.597 ± 0.100,0.630 ± 0.258,0.559 ± 0.273,0.556 ± 0.210,0.636 ± 0.316,6.000 ± 0.000
ExtraTrees,0.688 ± 0.132,0.760 ± 0.143,0.653 ± 0.082,0.635 ± 0.084,0.681 ± 0.172,0.627 ± 0.201,0.636 ± 0.151,0.644 ± 0.195,6.000 ± 0.000
NaiveBayes,0.680 ± 0.137,0.772 ± 0.112,0.614 ± 0.107,0.618 ± 0.115,0.705 ± 0.202,0.509 ± 0.199,0.563 ± 0.169,0.727 ± 0.216,6.000 ± 0.000
LightGBM,0.651 ± 0.113,0.722 ± 0.137,0.581 ± 0.084,0.593 ± 0.079,0.636 ± 0.181,0.578 ± 0.183,0.576 ± 0.127,0.608 ± 0.171,6.000 ± 0.000
XGBoost,0.641 ± 0.096,0.705 ± 0.128,0.609 ± 0.104,0.612 ± 0.086,0.655 ± 0.200,0.563 ± 0.248,0.568 ± 0.191,0.661 ± 0.194,6.000 ± 0.000
LogisticRegression,0.495 ± 0.019,0.539 ± 0.136,0.479 ± 0.140,0.500 ± 0.000,0.309 ± 0.283,0.600 ± 0.507,0.401 ± 0.354,0.400 ± 0.507,6.000 ± 0.000
