Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
LogisticRegression,0.4950,+0.2013,2.61e-07,5.47e-06,✓,✓
XGBoost,0.6414,+0.0549,6.50e-03,1.37e-01,✓,✗
LightGBM,0.6513,+0.0450,8.81e-04,1.85e-02,✓,✓
NaiveBayes,0.6803,+0.0160,2.91e-01,1.00e+00,✗,✗
ExtraTrees,0.6880,+0.0083,6.43e-01,1.00e+00,✗,✗
SVM_Linear,0.6924,+0.0039,8.95e-01,1.00e+00,✗,✗
