,SVM_RBF,SVM_Linear,ExtraTrees,NaiveBayes,LightGBM,XGBoost,LogisticRegression
SVM_RBF,1.0,0.8949820865272157,0.6425821842289648,0.2911716605164465,0.0008813377843812052,0.006502713715073788,2.6056652162150946e-07
SVM_Linear,0.8949820865272157,1.0,0.7209504216077585,0.3650587002511366,0.0015685215848249205,0.009527794047506007,1.855560011585785e-07
ExtraTrees,0.6425821842289648,0.7209504216077585,1.0,0.7126683024037535,0.0009011665176039804,0.00832729166570384,3.962352525535958e-07
NaiveBayes,0.2911716605164465,0.3650587002511366,0.7126683024037535,1.0,0.009344128388346327,0.047169765974659016,1.4611521324380565e-06
LightGBM,0.0008813377843812052,0.0015685215848249205,0.0009011665176039804,0.009344128388346327,1.0,0.38297837892584663,0.0021548974944140178
XGBoost,0.006502713715073788,0.009527794047506007,0.00832729166570384,0.047169765974659016,0.38297837892584663,1.0,0.0005535910813438652
LogisticRegression,2.6056652162150946e-07,1.855560011585785e-07,3.962352525535958e-07,1.4611521324380565e-06,0.0021548974944140178,0.0005535910813438652,1.0
