Fold,Repeat,Fold_Within_Repeat,Split_Random_State,Outer_CV_Strategy,n_train,n_test,n_features,FS_N_FEATURES_SELECTED,FS_N_FEATURES_CONFIG,FS_N_FEATURES_MODE,FS_METHOD,train_class_distribution,test_class_distribution,test_patients,Model,AUC,Acc,BalAcc,PRAUC,Precision,Recall,F1,Specificity,Decision_Threshold,BestInnerAUC
1,1,1,100,repeated_stratified_group_kfold,90,27,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 47, np.int64(0): 43}","{np.int64(1): 18, np.int64(0): 9}","['Pre_D_P1', 'Pre_D_P10', 'Pre_D_P16', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P3', 'Pre_D_P31', 'Pre_D_P4', 'Pre_D_P49', 'Pre_D_P7']",ExtraTrees,0.7222222222222223,0.6666666666666666,0.6666666666666666,0.8505661528508368,0.8,0.6666666666666666,0.7272727272727273,0.6666666666666666,0.4574059060920123,0.6973571428571429
2,1,2,100,repeated_stratified_group_kfold,97,20,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 54, np.int64(0): 43}","{np.int64(0): 9, np.int64(1): 11}","['Pre_D_P13', 'Pre_D_P14', 'Pre_D_P24', 'Pre_D_P26', 'Pre_D_P29', 'Pre_D_P30', 'Pre_D_P33', 'Pre_D_P36', 'Pre_D_P40', 'Pre_D_P48', 'Pre_D_P5']",ExtraTrees,0.4141414141414141,0.5,0.5050505050505051,0.660486945974562,0.5555555555555556,0.4545454545454545,0.5,0.5555555555555556,0.4997377127048759,0.7727017543859649
3,1,3,100,repeated_stratified_group_kfold,86,31,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 49, np.int64(0): 37}","{np.int64(1): 16, np.int64(0): 15}","['Pre_D_P15', 'Pre_D_P18', 'Pre_D_P27', 'Pre_D_P41', 'Pre_D_P43', 'Pre_D_P46', 'Pre_D_P47', 'Pre_D_P50', 'Pre_D_P6']",ExtraTrees,0.6916666666666668,0.7096774193548387,0.7083333333333333,0.6886008950407128,0.7058823529411765,0.75,0.7272727272727273,0.6666666666666666,0.5097646547935698,0.5410196078431373
4,1,4,100,repeated_stratified_group_kfold,91,26,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 49, np.int64(0): 42}","{np.int64(1): 16, np.int64(0): 10}","['Pre_D_P11', 'Pre_D_P12', 'Pre_D_P17', 'Pre_D_P19', 'Pre_D_P21', 'Pre_D_P34', 'Pre_D_P35', 'Pre_D_P39']",ExtraTrees,0.4187499999999999,0.5384615384615384,0.475,0.5828470656450533,0.6,0.75,0.6666666666666666,0.2,0.482313978094841,0.7174901960784313
5,1,5,100,repeated_stratified_group_kfold,104,13,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 61, np.int64(0): 43}","{np.int64(1): 4, np.int64(0): 9}","['Pre_D_P2', 'Pre_D_P23', 'Pre_D_P28', 'Pre_D_P32', 'Pre_D_P37', 'Pre_D_P42', 'Pre_D_P44', 'Pre_D_P45', 'Pre_D_P9']",ExtraTrees,0.7777777777777778,0.4615384615384615,0.5416666666666666,0.75,0.3333333333333333,0.75,0.4615384615384615,0.3333333333333333,0.4758244621898263,0.7878333333333334
6,2,1,101,repeated_stratified_group_kfold,98,19,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 55, np.int64(0): 43}","{np.int64(1): 10, np.int64(0): 9}","['Pre_D_P1', 'Pre_D_P11', 'Pre_D_P17', 'Pre_D_P23', 'Pre_D_P28', 'Pre_D_P30', 'Pre_D_P31', 'Pre_D_P37', 'Pre_D_P47', 'Pre_D_P6', 'Pre_D_P7']",ExtraTrees,0.8,0.6842105263157895,0.6722222222222223,0.754476911976912,0.6428571428571429,0.9,0.75,0.4444444444444444,0.507455633473889,0.7118879551820728
7,2,2,101,repeated_stratified_group_kfold,86,31,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 44, np.int64(0): 42}","{np.int64(1): 21, np.int64(0): 10}","['Pre_D_P16', 'Pre_D_P19', 'Pre_D_P24', 'Pre_D_P27', 'Pre_D_P29', 'Pre_D_P39', 'Pre_D_P40', 'Pre_D_P41', 'Pre_D_P42', 'Pre_D_P48', 'Pre_D_P50']",ExtraTrees,0.6761904761904761,0.6129032258064516,0.530952380952381,0.8527941647582644,0.6956521739130435,0.7619047619047619,0.7272727272727273,0.3,0.4973099271594914,0.6044999999999999
8,2,3,101,repeated_stratified_group_kfold,80,37,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 43, np.int64(0): 37}","{np.int64(1): 22, np.int64(0): 15}","['Pre_D_P12', 'Pre_D_P14', 'Pre_D_P15', 'Pre_D_P18', 'Pre_D_P2', 'Pre_D_P26', 'Pre_D_P3', 'Pre_D_P33', 'Pre_D_P34', 'Pre_D_P45', 'Pre_D_P49']",ExtraTrees,0.5575757575757576,0.5135135135135135,0.5272727272727272,0.6400982958136928,0.625,0.4545454545454545,0.5263157894736842,0.6,0.4943594675551989,0.7336666666666667
9,2,4,101,repeated_stratified_group_kfold,110,7,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 63, np.int64(0): 47}","{np.int64(0): 5, np.int64(1): 2}","['Pre_D_P10', 'Pre_D_P21', 'Pre_D_P32', 'Pre_D_P35', 'Pre_D_P44']",ExtraTrees,0.9,0.7142857142857143,0.5,0.8333333333333333,0.0,0.0,0.0,1.0,0.5668995074113392,0.637
10,2,5,101,repeated_stratified_group_kfold,94,23,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 55, np.int64(0): 39}","{np.int64(1): 10, np.int64(0): 13}","['Pre_D_P13', 'Pre_D_P20', 'Pre_D_P22', 'Pre_D_P25', 'Pre_D_P36', 'Pre_D_P4', 'Pre_D_P43', 'Pre_D_P46', 'Pre_D_P5', 'Pre_D_P9']",ExtraTrees,0.7076923076923076,0.5652173913043478,0.5346153846153846,0.6076369902027796,0.5,0.3,0.375,0.7692307692307693,0.5316726531705176,0.7753333333333333
11,3,1,102,repeated_stratified_group_kfold,90,27,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 55, np.int64(0): 35}","{np.int64(1): 10, np.int64(0): 17}","['Pre_D_P1', 'Pre_D_P13', 'Pre_D_P20', 'Pre_D_P26', 'Pre_D_P28', 'Pre_D_P3', 'Pre_D_P35', 'Pre_D_P43', 'Pre_D_P48', 'Pre_D_P6']",ExtraTrees,0.7352941176470589,0.5925925925925926,0.5735294117647058,0.6388614081996434,0.4545454545454545,0.5,0.4761904761904761,0.6470588235294118,0.5207021790740883,0.6843076923076923
12,3,2,102,repeated_stratified_group_kfold,89,28,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 47, np.int64(0): 42}","{np.int64(0): 10, np.int64(1): 18}","['Pre_D_P14', 'Pre_D_P18', 'Pre_D_P19', 'Pre_D_P21', 'Pre_D_P24', 'Pre_D_P32', 'Pre_D_P33', 'Pre_D_P37', 'Pre_D_P39', 'Pre_D_P42', 'Pre_D_P45', 'Pre_D_P5']",ExtraTrees,0.5222222222222221,0.5714285714285714,0.5777777777777777,0.7118826154629164,0.7142857142857143,0.5555555555555556,0.625,0.6,0.487675671184911,0.7102539682539682
13,3,3,102,repeated_stratified_group_kfold,90,27,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 48, np.int64(0): 42}","{np.int64(1): 17, np.int64(0): 10}","['Pre_D_P17', 'Pre_D_P22', 'Pre_D_P23', 'Pre_D_P25', 'Pre_D_P27', 'Pre_D_P30', 'Pre_D_P4', 'Pre_D_P46', 'Pre_D_P49', 'Pre_D_P50']",ExtraTrees,0.788235294117647,0.7407407407407407,0.7117647058823529,0.8860326219529027,0.7777777777777778,0.8235294117647058,0.8,0.6,0.4745410163891039,0.585939393939394
14,3,4,102,repeated_stratified_group_kfold,101,16,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 61, np.int64(0): 40}","{np.int64(1): 4, np.int64(0): 12}","['Pre_D_P10', 'Pre_D_P11', 'Pre_D_P31', 'Pre_D_P34', 'Pre_D_P40', 'Pre_D_P41', 'Pre_D_P44', 'Pre_D_P7', 'Pre_D_P9']",ExtraTrees,0.6458333333333334,0.375,0.5,0.5416666666666667,0.25,0.75,0.375,0.25,0.5164083237254816,0.755157894736842
15,3,5,102,repeated_stratified_group_kfold,98,19,8,8,8,fixed,elasticnet_then_mrmr,"{np.int64(1): 49, np.int64(0): 49}","{np.int64(1): 16, np.int64(0): 3}","['Pre_D_P12', 'Pre_D_P15', 'Pre_D_P16', 'Pre_D_P2', 'Pre_D_P29', 'Pre_D_P36', 'Pre_D_P47']",ExtraTrees,0.9375,0.3684210526315789,0.625,0.9891493055555556,1.0,0.25,0.4,1.0,0.5253162195652634,0.5764444444444444
