fold,auc,pr_auc,accuracy,bal_accuracy,f1_score,precision,recall,n_features
1,0.7592592592592593,0.8639561352359173,0.7407407407407407,0.6666666666666666,0.8205128205128205,0.7619047619047619,0.8888888888888888,10
2,0.696969696969697,0.7967409252098248,0.55,0.5909090909090909,0.3076923076923077,1.0,0.18181818181818182,10
3,0.7708333333333334,0.7969075319850664,0.5483870967741935,0.5333333333333333,0.6956521739130435,0.5333333333333333,1.0,10
4,0.6312500000000001,0.6792654257292414,0.4230769230769231,0.5125,0.21052631578947367,0.6666666666666666,0.125,10
5,0.4722222222222222,0.3409090909090909,0.46153846153846156,0.5416666666666666,0.46153846153846156,0.3333333333333333,0.75,10
6,0.6666666666666667,0.7274458874458873,0.5789473684210527,0.5666666666666667,0.6666666666666666,0.5714285714285714,0.8,10
7,0.5333333333333333,0.6947400971123563,0.3548387096774194,0.4714285714285714,0.23076923076923078,0.6,0.14285714285714285,10
8,0.6303030303030304,0.7236451802586711,0.5675675675675675,0.5515151515151515,0.6363636363636364,0.6363636363636364,0.6363636363636364,10
9,0.8,0.5833333333333333,0.5714285714285714,0.7,0.5714285714285714,0.4,1.0,10
10,0.6538461538461539,0.5776846100759143,0.6086956521739131,0.6192307692307693,0.6086956521739131,0.5384615384615384,0.7,10
11,0.7764705882352941,0.8243873517786561,0.48148148148148145,0.5264705882352941,0.5,0.3888888888888889,0.7,10
12,0.5111111111111111,0.6859171240982387,0.42857142857142855,0.4888888888888889,0.38461538461538464,0.625,0.2777777777777778,10
13,0.5588235294117647,0.6896869009081285,0.5555555555555556,0.5235294117647059,0.6470588235294118,0.6470588235294118,0.6470588235294118,10
14,0.7083333333333334,0.44375,0.625,0.6666666666666667,0.5,0.375,0.75,10
15,1.0,1.0,0.5263157894736842,0.71875,0.6086956521739131,1.0,0.4375,10
