k,mean_score,std_score,fold_scores,metric,tuning_model
6,0.5377770406408178,0.1493766942424466,"[0.45394736842105265, 0.7476190476190476, 0.411764705882353]",auc,LogisticRegression
8,0.5244729470735662,0.13500264461861824,"[0.44736842105263164, 0.7142857142857143, 0.4117647058823529]",auc,LogisticRegression
18,0.5185549658459875,0.10232487954997826,"[0.3881578947368421, 0.638095238095238, 0.5294117647058824]",auc,LogisticRegression
16,0.5143692564745196,0.11117321647962526,"[0.3859649122807018, 0.6571428571428571, 0.5]",auc,LogisticRegression
14,0.5131578947368421,0.12032794352954534,"[0.3728070175438597, 0.6666666666666667, 0.5]",auc,LogisticRegression
4,0.5042741658066735,0.14197209595682356,"[0.4451754385964912, 0.7, 0.36764705882352944]",auc,LogisticRegression
10,0.486984618408767,0.16405056453920402,"[0.44736842105263164, 0.7047619047619048, 0.3088235294117647]",auc,LogisticRegression
12,0.4254779104624306,0.19096991734331936,"[0.3991228070175439, 0.6714285714285715, 0.20588235294117646]",auc,LogisticRegression
