fold,n_estimators,max_depth,learning_rate,num_leaves,subsample,colsample_bytree,reg_alpha,reg_lambda
1,150,7,0.237933852365708,33,0.9000527227751662,0.878256522297616,3.2624964973321766e-07,0.00917247773462422
2,100,3,0.011648420257877943,36,0.7505009817189452,0.7964027004879433,0.004671720805549375,1.9204492282294416e-07
3,150,5,0.018163193130680908,47,0.7912492391721527,0.7060154808236792,0.0007897418730589527,0.00016191373731387504
4,200,2,0.05763191470228649,48,0.6137303828194354,0.7192327629375481,0.020317963926263966,1.5725436906246775
5,300,8,0.03507906647170256,41,0.8368089579803488,0.9981691340328352,6.242141283082756e-05,2.188876959858343e-08
