,LogisticRegression,SVM_Linear,SVM_RBF,XGBoost,KNN,LightGBM,RandomForest,ExtraTrees,NaiveBayes,GradientBoosting
LogisticRegression,0.0,3.1883431343159563,2.334660590539331,1.2138799907024471,2.5356848305244064,1.5851556270468607,2.538863339859383,2.7886793562523575,4.436394029819363,2.9340725903427276
SVM_Linear,-3.1883431343159563,0.0,-0.9403371991719941,-0.3491634059405542,1.2165018453351153,0.13149952394264536,1.348355838134986,1.5855612471910727,3.5382060263644206,1.3536809898849629
SVM_RBF,-2.334660590539331,0.9403371991719941,0.0,-0.040356287124454986,1.6586754405343258,0.43707480458017417,1.7075120164183526,1.9429406006501768,3.6403453026899086,1.7578307235008335
XGBoost,-1.2138799907024471,0.3491634059405542,0.040356287124454986,0.0,1.1840014906608445,0.6304756489165959,1.8987377212936145,1.627523854079404,3.3262822512791903,1.6972354493337667
KNN,-2.5356848305244064,-1.2165018453351153,-1.6586754405343258,-1.1840014906608445,0.0,-0.7252824178662025,0.4057571994093192,0.324460368777015,2.481314941827703,0.07066146900958083
LightGBM,-1.5851556270468607,-0.13149952394264536,-0.43707480458017417,-0.6304756489165959,0.7252824178662025,0.0,1.157042691799382,1.0032984490151693,2.6287366566958354,0.9636806430670638
RandomForest,-2.538863339859383,-1.348355838134986,-1.7075120164183526,-1.8987377212936145,-0.4057571994093192,-1.157042691799382,0.0,-0.19232009477827178,2.0613302589027334,-0.4513510860207195
ExtraTrees,-2.7886793562523575,-1.5855612471910727,-1.9429406006501768,-1.627523854079404,-0.324460368777015,-1.0032984490151693,0.19232009477827178,0.0,2.4198363488064802,-0.28113426013074083
NaiveBayes,-4.436394029819363,-3.5382060263644206,-3.6403453026899086,-3.3262822512791903,-2.481314941827703,-2.6287366566958354,-2.0613302589027334,-2.4198363488064802,0.0,-2.390391257181105
GradientBoosting,-2.9340725903427276,-1.3536809898849629,-1.7578307235008335,-1.6972354493337667,-0.07066146900958083,-0.9636806430670638,0.4513510860207195,0.28113426013074083,2.390391257181105,0.0
