Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
GradientBoosting,0.6969,+0.0928,3.35e-03,1.51e-01,✓,✗
NaiveBayes,0.6980,+0.0917,9.15e-06,4.12e-04,✓,✓
ExtraTrees,0.6998,+0.0899,5.29e-03,2.38e-01,✓,✗
RandomForest,0.7064,+0.0833,1.11e-02,5.00e-01,✓,✗
LightGBM,0.7151,+0.0746,1.13e-01,1.00e+00,✗,✗
KNN,0.7208,+0.0688,1.12e-02,5.05e-01,✓,✗
XGBoost,0.7441,+0.0456,2.25e-01,1.00e+00,✗,✗
SVM_RBF,0.7522,+0.0375,1.96e-02,8.80e-01,✓,✗
SVM_Linear,0.7588,+0.0309,1.43e-03,6.44e-02,✓,✗
