Model,AUC,PR_AUC,Accuracy,Balanced_Accuracy,Precision,Recall,F1,Specificity,n_feats
LogisticRegression,0.790 ± 0.058,0.828 ± 0.092,0.668 ± 0.064,0.706 ± 0.052,0.762 ± 0.183,0.659 ± 0.180,0.675 ± 0.071,0.752 ± 0.196,14.400 ± 5.367
SVM_Linear,0.759 ± 0.103,0.804 ± 0.124,0.624 ± 0.049,0.656 ± 0.073,0.684 ± 0.187,0.754 ± 0.204,0.678 ± 0.041,0.558 ± 0.257,14.400 ± 5.367
SVM_RBF,0.752 ± 0.116,0.785 ± 0.130,0.608 ± 0.097,0.641 ± 0.093,0.689 ± 0.197,0.671 ± 0.203,0.640 ± 0.099,0.611 ± 0.232,14.400 ± 5.367
XGBoost,0.744 ± 0.149,0.762 ± 0.196,0.618 ± 0.089,0.666 ± 0.067,0.719 ± 0.218,0.683 ± 0.243,0.644 ± 0.110,0.649 ± 0.268,14.400 ± 5.367
KNN,0.721 ± 0.132,0.758 ± 0.127,0.587 ± 0.040,0.615 ± 0.058,0.658 ± 0.214,0.708 ± 0.179,0.642 ± 0.066,0.521 ± 0.280,14.400 ± 5.367
LightGBM,0.715 ± 0.120,0.748 ± 0.185,0.572 ± 0.076,0.607 ± 0.091,0.659 ± 0.209,0.622 ± 0.222,0.599 ± 0.097,0.592 ± 0.233,14.400 ± 5.367
RandomForest,0.706 ± 0.130,0.765 ± 0.151,0.617 ± 0.127,0.641 ± 0.136,0.689 ± 0.214,0.622 ± 0.222,0.627 ± 0.149,0.661 ± 0.205,14.400 ± 5.367
ExtraTrees,0.700 ± 0.122,0.771 ± 0.130,0.600 ± 0.111,0.630 ± 0.113,0.690 ± 0.197,0.600 ± 0.192,0.611 ± 0.113,0.661 ± 0.205,14.400 ± 5.367
NaiveBayes,0.698 ± 0.107,0.762 ± 0.157,0.552 ± 0.116,0.603 ± 0.137,0.673 ± 0.256,0.730 ± 0.235,0.632 ± 0.049,0.475 ± 0.471,14.400 ± 5.367
GradientBoosting,0.697 ± 0.158,0.751 ± 0.172,0.580 ± 0.053,0.606 ± 0.088,0.648 ± 0.210,0.715 ± 0.231,0.636 ± 0.081,0.496 ± 0.288,14.400 ± 5.367
