,LogisticRegression,SVM_Linear,SVM_RBF,XGBoost,KNN,LightGBM,RandomForest,ExtraTrees,NaiveBayes,GradientBoosting
LogisticRegression,1.0,0.0014309062430427379,0.01956115856715938,0.22479355478870156,0.01122276871846306,0.11293097943086039,0.011121325557816478,0.005292343383241862,9.14783356817029e-06,0.0033454595704050733
SVM_Linear,0.0014309062430427379,1.0,0.34704462427331906,0.7269666371940592,0.2237938085138247,0.8953801631433959,0.1775439606761442,0.11283887297040296,0.0004028555905767491,0.17583817561058457
SVM_RBF,0.01956115856715938,0.34704462427331906,1.0,0.9678090796584331,0.09718121087079407,0.6620570989106365,0.08772692625355313,0.05202333562965839,0.0002722726539464237,0.07877631604619237
XGBoost,0.22479355478870156,0.7269666371940592,0.9678090796584331,1.0,0.2364124727403245,0.5283834299732741,0.057598969281131236,0.10362588658473876,0.0008801275642797619,0.08965215559549751
KNN,0.01122276871846306,0.2237938085138247,0.09718121087079407,0.2364124727403245,1.0,0.468278789799612,0.6849210097258456,0.745589521802999,0.01308986603664011,0.9436671874241127
LightGBM,0.11293097943086039,0.8953801631433959,0.6620570989106365,0.5283834299732741,0.468278789799612,1.0,0.2472549186062568,0.3157168842470025,0.008570269992469738,0.3352060619521299
RandomForest,0.011121325557816478,0.1775439606761442,0.08772692625355313,0.057598969281131236,0.6849210097258456,0.2472549186062568,1.0,0.8474914788418384,0.03927154332337601,0.6517365310870245
ExtraTrees,0.005292343383241862,0.11283887297040296,0.05202333562965839,0.10362588658473876,0.745589521802999,0.3157168842470025,0.8474914788418384,1.0,0.015527493351315569,0.7786074246017513
NaiveBayes,9.14783356817029e-06,0.0004028555905767491,0.0002722726539464237,0.0008801275642797619,0.01308986603664011,0.008570269992469738,0.03927154332337601,0.015527493351315569,1.0,0.01683043237987239
GradientBoosting,0.0033454595704050733,0.17583817561058457,0.07877631604619237,0.08965215559549751,0.9436671874241127,0.3352060619521299,0.6517365310870245,0.7786074246017513,0.01683043237987239,1.0
