fold,auc,pr_auc,accuracy,bal_accuracy,f1_score,precision,recall,n_features
1,0.803921568627451,0.889317991949571,0.7692307692307693,0.7450980392156863,0.8235294117647058,0.8235294117647058,0.8235294117647058,6
2,0.575,0.744330808080808,0.6666666666666666,0.7,0.5714285714285714,1.0,0.4,6
3,0.634453781512605,0.6422514328777362,0.6774193548387096,0.6617647058823529,0.7368421052631579,0.6666666666666666,0.8235294117647058,6
4,0.6666666666666667,0.7772398024238982,0.5517241379310345,0.6053921568627451,0.43478260869565216,0.8333333333333334,0.29411764705882354,6
5,0.6296296296296295,0.6388888888888888,0.6666666666666666,0.6666666666666666,0.5,0.4,0.6666666666666666,6
6,0.7435897435897435,0.8741397491397491,0.7368421052631579,0.6730769230769231,0.8148148148148148,0.7857142857142857,0.8461538461538461,6
7,0.6481481481481481,0.6120650953984288,0.6190476190476191,0.6388888888888888,0.6363636363636364,0.5384615384615384,0.7777777777777778,6
8,0.5641025641025641,0.6945728936967102,0.5454545454545454,0.5213675213675214,0.6296296296296297,0.6071428571428571,0.6538461538461539,6
9,0.6000000000000001,0.43479797979797985,0.6,0.55,0.4,0.4,0.4,6
10,0.6363636363636364,0.8310581130099847,0.6470588235294118,0.5757575757575758,0.75,0.6923076923076923,0.8181818181818182,6
11,0.7712418300653595,0.6011870845204179,0.6923076923076923,0.6862745098039216,0.6,0.5454545454545454,0.6666666666666666,6
12,0.4475524475524476,0.5569172915148147,0.375,0.4020979020979021,0.11764705882352941,0.25,0.07692307692307693,6
13,0.625,0.8317895339954164,0.5555555555555556,0.625,0.5555555555555556,0.8333333333333334,0.4166666666666667,6
14,0.5249999999999999,0.6652265684195032,0.5769230769230769,0.58125,0.6206896551724138,0.6923076923076923,0.5625,6
15,0.75,0.7742054415926597,0.45454545454545453,0.5446428571428571,0.3333333333333333,0.75,0.21428571428571427,6
