fold,C,l1_ratio
1,0.014914880124867256,0.27836938509379616
2,0.014914880124867256,0.27836938509379616
3,0.014914880124867256,0.27836938509379616
4,0.014914880124867256,0.27836938509379616
5,0.014914880124867256,0.27836938509379616
6,0.014914880124867256,0.27836938509379616
7,0.014914880124867256,0.27836938509379616
8,0.014914880124867256,0.27836938509379616
9,0.014914880124867256,0.27836938509379616
10,0.014914880124867256,0.27836938509379616
11,0.014914880124867256,0.27836938509379616
12,0.014914880124867256,0.27836938509379616
13,0.014914880124867256,0.27836938509379616
14,0.014914880124867256,0.27836938509379616
15,0.014914880124867256,0.27836938509379616
