Competitor,Competitor_Mean_AUC,ΔMean_AUC,p_value,p_Bonferroni,Significant_uncorrected,Significant_Bonferroni
XGBoost,0.6655,+0.1316,5.92e-04,2.67e-02,✓,✓
NaiveBayes,0.7238,+0.0733,1.33e-02,5.98e-01,✓,✗
GradientBoosting,0.7330,+0.0641,1.83e-02,8.21e-01,✓,✗
RandomForest,0.7387,+0.0584,4.11e-02,1.00e+00,✓,✗
ExtraTrees,0.7408,+0.0563,2.51e-03,1.13e-01,✓,✗
LightGBM,0.7642,+0.0329,4.59e-01,1.00e+00,✗,✗
KNN,0.7818,+0.0153,4.27e-02,1.00e+00,✓,✗
SVM_RBF,0.7961,+0.0010,2.25e-01,1.00e+00,✗,✗
SVM_Linear,0.7962,+0.0009,7.50e-01,1.00e+00,✗,✗
