,LogisticRegression,SVM_Linear,SVM_RBF,KNN,LightGBM,ExtraTrees,RandomForest,GradientBoosting,NaiveBayes,XGBoost
LogisticRegression,1.0,0.750338693437907,0.2249603514824967,0.042711560399081104,0.4592628232673227,0.002509566086285309,0.04108786788256182,0.018250372575840373,0.01329984182424157,0.000592369397048922
SVM_Linear,0.750338693437907,1.0,0.44247378193069653,0.11290969062332859,0.5265288166461799,0.005166147815617362,0.05160975304875585,0.04655028411770766,0.015978681915304514,0.0019306490868055623
SVM_RBF,0.2249603514824967,0.44247378193069653,1.0,0.20406314139965687,0.7224753844195184,0.001891596306008623,0.08563154151592044,0.037754892585383754,0.03130779216364566,0.0026825350227684254
KNN,0.042711560399081104,0.11290969062332859,0.20406314139965687,1.0,0.804485137377468,0.08700959464548007,0.569954677154726,0.3605344021176726,0.18023789410403757,0.04759632856295518
LightGBM,0.4592628232673227,0.5265288166461799,0.7224753844195184,0.804485137377468,1.0,0.13986999088116986,0.4072432862030675,0.2625553503155499,0.1755027992224868,0.02954698614501807
ExtraTrees,0.002509566086285309,0.005166147815617362,0.001891596306008623,0.08700959464548007,0.13986999088116986,1.0,0.2179575764211198,0.46432959576295285,0.7344498903804321,0.4816094940945588
RandomForest,0.04108786788256182,0.05160975304875585,0.08563154151592044,0.569954677154726,0.4072432862030675,0.2179575764211198,1.0,0.5662067780418704,0.34175236585940116,0.062103413465783366
GradientBoosting,0.018250372575840373,0.04655028411770766,0.037754892585383754,0.3605344021176726,0.2625553503155499,0.46432959576295285,0.5662067780418704,1.0,0.4845867127425121,0.20428020409039083
NaiveBayes,0.01329984182424157,0.015978681915304514,0.03130779216364566,0.18023789410403757,0.1755027992224868,0.7344498903804321,0.34175236585940116,0.4845867127425121,1.0,0.8492135297071717
XGBoost,0.000592369397048922,0.0019306490868055623,0.0026825350227684254,0.04759632856295518,0.02954698614501807,0.4816094940945588,0.062103413465783366,0.20428020409039083,0.8492135297071717,1.0
